,Open,High,Low,Close,Volume
2020-04-16 09:15:00,4.9,4.9,4.9,4.9,197715
2020-04-17 09:15:00,5.1,5.1,5.1,5.1,313510
2020-04-20 09:15:00,5.35,5.35,5.35,5.35,474790
2020-04-21 09:15:00,5.6,5.6,5.1,5.1,8716248
2020-04-22 09:15:00,5.05,5.1,4.85,4.9,3500166
2020-04-23 09:15:00,4.9,5.1,4.9,5.1,1285269
2020-04-24 09:15:00,5.3,5.35,4.85,4.9,3888246
2020-04-27 09:15:00,4.95,5.1,4.9,5.05,2235604
2020-04-28 09:15:00,5.1,5.15,4.9,5.0,944061
2020-04-29 09:15:00,4.95,5.05,4.95,4.95,817491
2020-04-30 09:15:00,4.95,5.05,4.9,4.95,1536061
2020-05-04 09:15:00,4.9,4.9,4.75,4.75,974132
2020-05-05 09:15:00,4.7,4.85,4.55,4.55,1438623
2020-05-06 09:15:00,4.6,4.6,4.4,4.55,890181
2020-05-07 09:15:00,4.55,4.6,4.45,4.55,521700
2020-05-08 09:15:00,4.65,4.7,4.55,4.65,755500
2020-05-11 09:15:00,4.8,4.8,4.65,4.7,948516
2020-05-12 09:15:00,4.65,4.75,4.55,4.6,610270
2020-05-13 09:15:00,4.8,4.8,4.65,4.8,985543
2020-05-14 09:15:00,4.85,5.0,4.75,4.85,2417783
2020-05-15 09:15:00,4.85,4.85,4.65,4.7,1539090
2020-05-18 09:15:00,4.7,4.75,4.5,4.5,1210525
2020-05-19 09:15:00,4.55,4.55,4.35,4.4,1044179
2020-05-20 09:15:00,4.35,4.45,4.3,4.35,650189
2020-05-21 09:15:00,4.35,4.55,4.25,4.5,1563109
2020-05-22 09:15:00,4.55,4.6,4.3,4.35,1528214
2020-05-26 09:15:00,4.4,4.45,4.3,4.3,675869
2020-05-27 09:15:00,4.3,4.35,4.2,4.3,686875
2020-05-28 09:15:00,4.3,4.4,4.25,4.3,1267985
2020-05-29 09:15:00,4.3,4.5,4.2,4.45,1948985
2020-06-01 09:15:00,4.5,4.65,4.5,4.65,2792909
2020-06-02 09:15:00,4.7,4.85,4.65,4.85,3564553
2020-06-03 09:15:00,4.95,5.05,4.9,5.05,2741292
2020-06-04 09:15:00,5.15,5.25,4.8,5.0,3622992
2020-06-05 09:15:00,5.05,5.25,5.0,5.25,4603754
2020-06-08 09:15:00,5.5,5.5,5.25,5.5,7112400
2020-06-09 09:15:00,5.75,5.75,5.25,5.25,4135964
2020-06-10 09:15:00,5.45,5.45,5.3,5.45,3100847
2020-06-11 09:15:00,5.5,5.5,5.2,5.25,2523286
2020-06-12 09:15:00,5.1,5.15,5.0,5.05,3696394
2020-06-15 09:15:00,5.05,5.2,5.05,5.15,3647309
2020-06-16 09:15:00,5.2,5.25,4.9,4.95,3584211
2020-06-17 09:15:00,4.9,5.0,4.8,4.9,1603913
2020-06-18 09:15:00,4.95,4.95,4.9,4.95,3852991
2020-06-19 09:15:00,5.0,5.15,4.95,5.15,3538268
2020-06-22 09:15:00,5.3,5.4,5.2,5.4,2724879
2020-06-23 09:15:00,5.65,5.65,5.65,5.65,592522
2020-06-24 09:15:00,5.9,5.9,5.9,5.9,884966
2020-06-25 09:15:00,6.15,6.15,5.7,6.15,4741341
2020-06-26 09:15:00,6.45,6.45,6.25,6.45,11329440
2020-06-29 09:15:00,6.75,6.75,6.15,6.25,7492022
2020-06-30 09:15:00,6.25,6.3,5.95,5.95,4003979
2020-07-01 09:15:00,6.0,6.2,5.7,6.2,4168098
2020-07-02 09:15:00,6.25,6.4,6.05,6.2,5311369
2020-07-03 09:15:00,6.25,6.35,5.95,6.0,3256382
2020-07-06 09:15:00,6.0,6.05,5.7,5.7,5450247
2020-07-07 09:15:00,5.7,5.95,5.55,5.9,6408580
2020-07-08 09:15:00,6.0,6.05,5.65,5.65,7005109
2020-07-09 09:15:00,5.7,5.9,5.5,5.9,14726758
2020-07-10 15:29:25,6.15,6.15,5.95,6.1,19107701
