,Open,High,Low,Close,Volume
2020-05-07 09:15:00,337.0,342.9,333.7,336.75,27656346
2020-05-08 09:15:00,344.0,352.5,333.7,337.7,42968091
2020-05-11 09:15:00,341.0,343.55,318.2,320.15,83665601
2020-05-12 09:15:00,318.3,324.4,308.0,321.2,69072308
2020-05-13 09:15:00,343.5,348.4,332.3,338.05,72816461
2020-05-14 09:15:00,330.0,334.5,325.65,327.4,33999095
2020-05-15 09:15:00,329.3,330.55,318.8,322.7,31828868
2020-05-18 09:15:00,320.0,320.5,293.25,298.5,74034133
2020-05-19 09:15:00,307.05,311.5,297.1,300.3,61827491
2020-05-20 09:15:00,299.0,308.25,297.5,305.65,42238419
2020-05-21 09:15:00,306.0,312.8,302.0,304.4,43075357
2020-05-22 09:15:00,301.0,307.7,285.55,291.05,80358245
2020-05-26 09:15:00,296.05,297.9,290.0,292.7,46681705
2020-05-27 09:15:00,296.1,321.95,294.85,318.85,80541990
2020-05-28 09:15:00,322.25,329.75,320.75,326.85,66136408
2020-05-29 09:15:00,322.9,334.3,320.0,331.95,60487477
2020-06-01 09:15:00,339.0,348.0,336.2,339.25,44024770
2020-06-02 09:15:00,337.0,350.0,332.5,348.4,47558213
2020-06-03 09:15:00,357.9,373.0,353.8,356.85,69689299
2020-06-04 09:15:00,357.0,363.0,345.5,347.85,57061575
2020-06-05 09:15:00,350.0,360.0,347.0,357.2,37251097
2020-06-08 09:15:00,366.55,373.75,353.15,359.8,46827341
2020-06-09 09:15:00,360.05,369.35,345.25,348.55,47621969
2020-06-10 09:15:00,348.55,356.85,345.3,353.0,36292403
2020-06-11 09:15:00,352.45,354.2,340.1,341.25,36999490
2020-06-12 09:15:00,324.2,346.15,324.1,344.2,47509067
2020-06-15 09:15:00,341.2,342.25,325.5,331.1,43500660
2020-06-16 09:15:00,342.25,347.9,326.05,342.95,57511237
2020-06-17 09:15:00,338.6,351.0,336.1,341.95,37107002
2020-06-18 09:15:00,340.0,354.7,337.2,352.0,39285919
2020-06-19 09:15:00,351.0,365.45,349.2,363.8,51367236
2020-06-22 09:15:00,367.0,375.25,365.15,367.55,40133602
2020-06-23 09:15:00,369.0,378.3,364.2,376.15,32493320
2020-06-24 09:15:00,380.0,380.0,345.0,348.1,57955780
2020-06-25 09:15:00,345.9,355.6,338.5,351.0,69902888
2020-06-26 09:15:00,355.6,358.5,346.1,349.1,34596104
2020-06-29 09:15:00,345.25,345.6,338.5,343.1,27384244
2020-06-30 09:15:00,347.0,354.45,346.3,351.45,47526095
2020-07-01 09:15:00,354.25,365.75,351.6,364.05,36922617
2020-07-02 09:15:00,366.0,370.9,361.35,362.85,50964311
2020-07-03 09:15:00,364.65,367.15,359.8,361.0,28779044
2020-07-06 09:15:00,367.85,367.85,360.5,361.85,33334074
2020-07-07 09:15:00,363.0,378.0,362.1,376.05,46030825
2020-07-08 09:15:00,377.9,379.0,367.55,368.95,46315597
2020-07-09 09:15:00,373.45,376.0,365.3,370.35,35144463
2020-07-10 09:15:00,364.9,368.2,359.0,360.35,27864858
2020-07-13 09:15:00,364.1,367.0,352.5,353.6,32379935
2020-07-14 09:15:00,351.5,352.45,340.6,345.55,34031256
2020-07-15 09:15:00,349.5,356.8,343.75,345.8,30442553
2020-07-16 09:15:00,347.95,348.6,341.0,344.65,35535437
2020-07-17 09:15:00,346.0,356.0,345.45,353.8,27511781
2020-07-20 09:15:00,358.0,366.35,355.25,363.0,36312529
2020-07-21 09:15:00,371.0,379.9,370.05,378.8,45559912
2020-07-22 09:15:00,386.9,389.5,375.3,381.1,45500191
2020-07-23 09:15:00,382.55,395.65,378.85,392.25,37838027
2020-07-24 09:15:00,388.3,388.7,372.15,381.8,52980980
2020-07-27 09:15:00,385.0,385.8,356.6,358.5,73275058
2020-07-28 09:15:00,361.1,362.75,343.2,352.1,125939354
2020-07-29 09:15:00,353.2,357.65,348.2,351.05,50194622
2020-07-30 15:26:22,353.4,354.6,340.4,345.25,40166235
