,Open,High,Low,Close,Volume
2020-07-30 09:15:00,353.4,354.55,353.4,353.75,304318
2020-07-30 09:17:00,353.6,353.85,352.15,352.7,502458
2020-07-30 09:19:00,352.5,353.6,352.5,353.25,337885
2020-07-30 09:21:00,353.3,353.35,352.6,352.65,371163
2020-07-30 09:23:00,352.85,353.0,352.45,352.55,228888
2020-07-30 09:25:00,352.6,353.2,352.55,352.95,306664
2020-07-30 09:27:00,352.85,353.25,352.85,353.15,204858
2020-07-30 09:29:00,353.2,353.8,352.05,352.1,321526
2020-07-30 09:31:00,352.2,352.9,352.05,352.65,170285
2020-07-30 09:33:00,352.65,352.85,352.25,352.7,161312
2020-07-30 09:35:00,352.7,353.1,352.5,352.95,119192
2020-07-30 09:37:00,352.9,353.25,352.8,353.25,148472
2020-07-30 09:39:00,353.25,353.45,352.9,353.3,143525
2020-07-30 09:41:00,353.35,353.4,352.5,352.95,138432
2020-07-30 09:43:00,352.95,353.0,352.5,352.65,114698
2020-07-30 09:45:00,352.65,353.0,352.55,352.65,134352
2020-07-30 09:47:00,352.65,353.25,352.5,352.95,240700
2020-07-30 09:49:00,352.85,353.4,352.85,353.3,74550
2020-07-30 09:51:00,353.35,353.6,353.3,353.4,250770
2020-07-30 09:53:00,353.4,353.75,353.2,353.7,188079
2020-07-30 09:55:00,353.85,353.9,353.6,353.75,152040
2020-07-30 09:57:00,353.65,354.1,353.6,353.8,238914
2020-07-30 09:59:00,353.8,353.95,353.15,353.25,127371
2020-07-30 10:01:00,353.25,354.05,353.25,353.85,164089
2020-07-30 10:03:00,353.85,353.95,353.6,353.85,86493
2020-07-30 10:05:00,353.85,354.1,353.7,354.0,175308
2020-07-30 10:07:00,354.0,354.05,353.8,353.8,99569
2020-07-30 10:09:00,353.8,353.85,353.4,353.6,108347
2020-07-30 10:11:00,353.5,353.6,353.2,353.55,96083
2020-07-30 10:13:00,353.55,353.75,353.4,353.6,62204
2020-07-30 10:15:00,353.6,354.1,353.6,353.8,167980
2020-07-30 10:17:00,353.75,353.95,353.65,353.75,77649
2020-07-30 10:19:00,353.75,353.95,353.65,353.7,96415
2020-07-30 10:21:00,353.65,353.9,353.6,353.8,67753
2020-07-30 10:23:00,353.75,353.8,353.1,353.1,198760
2020-07-30 10:25:00,353.2,353.4,353.0,353.3,188361
2020-07-30 10:27:00,353.25,353.4,353.1,353.4,82146
2020-07-30 10:29:00,353.4,353.45,353.2,353.4,57593
2020-07-30 10:31:00,353.4,353.65,353.25,353.6,135525
2020-07-30 10:33:00,353.6,353.9,353.55,353.85,103223
2020-07-30 10:35:00,353.85,353.95,353.75,353.9,104893
2020-07-30 10:37:00,353.95,354.0,353.5,353.5,282338
2020-07-30 10:39:00,353.6,353.75,353.45,353.6,49233
2020-07-30 10:41:00,353.6,353.85,353.6,353.75,51035
2020-07-30 10:43:00,353.75,353.75,353.45,353.6,70743
2020-07-30 10:45:00,353.6,353.65,353.0,353.2,151867
2020-07-30 10:47:00,353.15,353.45,353.15,353.3,51728
2020-07-30 10:49:00,353.3,353.4,353.2,353.35,70564
2020-07-30 10:51:00,353.25,353.35,352.45,352.8,395513
2020-07-30 10:53:00,352.85,353.2,352.65,353.05,76453
2020-07-30 10:55:00,353.05,353.2,352.35,352.4,141613
2020-07-30 10:57:00,352.4,352.7,352.4,352.65,81140
2020-07-30 10:59:00,352.55,352.9,352.55,352.55,75688
2020-07-30 11:01:00,352.55,352.65,351.5,351.65,369636
2020-07-30 11:03:00,351.8,352.3,351.6,352.2,139529
2020-07-30 11:05:00,352.3,352.45,352.15,352.4,113815
2020-07-30 11:07:00,352.45,352.95,352.35,352.65,123598
2020-07-30 11:09:00,352.65,352.95,352.65,352.95,82088
2020-07-30 11:11:00,352.95,353.0,352.65,352.85,161530
2020-07-30 11:13:00,352.75,352.8,352.6,352.6,69969
2020-07-30 11:15:00,352.6,352.85,352.55,352.55,149081
2020-07-30 11:17:00,352.55,352.55,352.1,352.2,155725
2020-07-30 11:19:00,352.2,352.3,351.75,351.95,171596
2020-07-30 11:21:00,351.95,352.2,351.85,352.15,91293
2020-07-30 11:23:00,352.2,352.45,352.1,352.2,76277
2020-07-30 11:25:00,352.2,352.35,352.05,352.3,91774
2020-07-30 11:27:00,352.35,352.45,352.2,352.4,89056
2020-07-30 11:29:00,352.4,352.4,352.1,352.1,71385
2020-07-30 11:31:00,352.1,352.35,351.95,352.3,97961
2020-07-30 11:33:00,352.2,352.4,352.15,352.4,75177
2020-07-30 11:35:00,352.35,353.0,352.35,352.9,186927
2020-07-30 11:37:00,352.95,353.05,352.85,352.85,72831
2020-07-30 11:39:00,352.85,352.9,352.65,352.75,70747
2020-07-30 11:41:00,352.75,352.85,352.7,352.85,56184
2020-07-30 11:43:00,352.8,352.85,352.5,352.7,74942
