,Open,High,Low,Close,Volume
2020-04-16 09:15:00,15.4,16.1,15.35,15.95,3168120
2020-04-17 09:15:00,16.7,16.7,16.2,16.7,3554984
2020-04-20 09:15:00,17.3,17.5,17.2,17.5,2203330
2020-04-21 09:15:00,17.95,17.95,16.65,16.65,4791566
2020-04-22 09:15:00,16.7,16.75,15.85,15.85,2336402
2020-04-23 09:15:00,15.85,16.5,15.4,15.6,3795757
2020-04-24 09:15:00,15.7,15.75,14.85,14.85,4150163
2020-04-27 09:15:00,15.0,15.15,14.4,14.55,5690348
2020-04-28 09:15:00,14.9,15.0,14.3,14.6,4422717
2020-04-29 09:15:00,14.8,14.95,14.45,14.45,6295011
2020-04-30 09:15:00,14.75,14.75,14.4,14.5,5878057
2020-05-04 09:15:00,14.5,14.5,13.8,13.85,4823676
2020-05-05 09:15:00,14.25,14.25,13.8,13.85,4071314
2020-05-06 09:15:00,13.95,14.1,13.7,13.9,3064921
2020-05-07 09:15:00,13.9,14.1,13.8,13.9,1786602
2020-05-08 09:15:00,14.0,14.55,13.95,14.25,2976183
2020-05-11 09:15:00,14.45,14.7,13.85,13.95,2789283
2020-05-12 09:15:00,14.05,14.15,13.8,13.9,4690071
2020-05-13 09:15:00,14.55,14.55,13.95,14.2,9550414
2020-05-14 09:15:00,14.35,14.4,13.95,13.95,5024918
2020-05-15 09:15:00,14.0,14.1,13.95,14.0,1716485
2020-05-18 09:15:00,14.0,14.05,13.45,13.5,5527263
2020-05-19 09:15:00,13.9,13.9,13.45,13.45,3358326
2020-05-20 09:15:00,13.45,13.6,13.45,13.5,1324408
2020-05-21 09:15:00,13.45,13.65,13.45,13.5,1598819
2020-05-22 09:15:00,13.6,13.65,13.4,13.4,2790128
2020-05-26 09:15:00,13.55,13.75,13.5,13.6,4442042
2020-05-27 09:15:00,13.55,13.7,13.4,13.45,5183717
2020-05-28 09:15:00,13.5,13.85,13.45,13.6,2963480
2020-05-29 09:15:00,13.6,14.25,13.55,14.25,18099086
2020-06-01 09:15:00,14.85,14.95,14.6,14.95,10975281
2020-06-02 09:15:00,15.55,15.65,15.1,15.65,11812878
2020-06-03 09:15:00,16.15,16.4,15.6,15.85,13113853
2020-06-04 09:15:00,15.75,15.95,15.1,15.1,7829889
2020-06-05 09:15:00,15.2,17.25,14.9,17.15,25367404
2020-06-08 09:15:00,18.05,19.5,17.9,18.45,26606281
2020-06-09 09:15:00,18.65,18.95,17.1,17.4,12891798
2020-06-10 09:15:00,17.4,18.6,17.1,18.05,22094076
2020-06-11 09:15:00,18.1,19.1,17.6,17.8,24314887
2020-06-12 09:15:00,16.85,18.65,16.6,18.2,30317847
2020-06-15 09:15:00,18.8,20.25,18.6,19.3,28951835
2020-06-16 09:15:00,19.7,19.7,18.3,18.85,13080117
2020-06-17 09:15:00,18.5,18.85,18.3,18.4,6495053
2020-06-18 09:15:00,18.65,19.5,18.5,19.25,13014882
2020-06-19 09:15:00,19.35,19.8,19.0,19.4,10711316
2020-06-22 09:15:00,19.5,22.3,19.0,21.5,57978570
2020-06-23 09:15:00,21.85,21.95,20.85,21.2,21416299
2020-06-24 09:15:00,21.2,21.8,19.5,20.0,22475287
2020-06-25 09:15:00,20.0,20.6,19.25,19.9,18207666
2020-06-26 09:15:00,20.1,20.35,19.25,19.3,12822476
2020-06-29 09:15:00,19.3,19.5,18.55,18.85,11882410
2020-06-30 09:15:00,19.0,19.2,18.25,18.4,7688480
2020-07-01 09:15:00,18.45,19.05,18.2,18.6,13980004
2020-07-02 09:15:00,18.85,19.25,18.7,19.05,9594840
2020-07-03 09:15:00,19.15,19.25,18.85,19.05,6236883
2020-07-06 09:15:00,19.2,19.4,19.05,19.1,5171929
2020-07-07 09:15:00,19.2,20.7,19.15,20.55,27528676
2020-07-08 09:15:00,20.7,20.8,20.1,20.25,15716755
2020-07-09 09:15:00,20.3,20.8,20.2,20.3,9258735
2020-07-10 15:30:00,20.05,20.05,19.1,19.3,14295660
