,Open,High,Low,Close,Volume
2020-04-17 09:15:00,116.9,127.55,111.55,125.35,82090865
2020-04-20 09:15:00,131.75,132.9,123.1,129.0,51746714
2020-04-21 09:15:00,120.0,122.35,113.15,115.9,37693350
2020-04-22 09:15:00,114.0,117.5,108.0,115.55,35036210
2020-04-23 09:15:00,115.55,121.0,115.0,119.45,22783429
2020-04-24 09:15:00,114.0,118.4,111.0,112.95,19607836
2020-04-27 09:15:00,115.0,120.5,114.0,115.65,21438379
2020-04-28 09:15:00,117.65,120.0,114.6,117.1,21751561
2020-04-29 09:15:00,119.0,132.4,117.35,126.9,67869631
2020-04-30 09:15:00,130.7,134.9,127.4,132.7,30142557
2020-05-04 09:15:00,124.5,126.4,119.55,121.4,13678814
2020-05-05 09:15:00,125.0,127.2,117.4,118.9,19456602
2020-05-06 09:15:00,120.05,126.0,118.3,123.55,18027087
2020-05-07 09:15:00,125.0,130.9,123.55,125.2,17034782
2020-05-08 09:15:00,128.9,131.5,121.7,123.25,17378946
2020-05-11 09:15:00,126.0,126.4,121.15,122.5,12569442
2020-05-12 09:15:00,120.0,120.3,112.7,119.0,21614680
2020-05-13 09:15:00,129.0,139.65,125.35,136.6,53862950
2020-05-14 09:15:00,135.0,144.9,130.05,131.4,52919773
2020-05-15 09:15:00,132.0,134.8,128.55,133.45,26315670
2020-05-18 09:15:00,131.9,131.9,117.2,118.95,28889473
2020-05-19 09:15:00,122.05,124.6,117.8,120.4,23666457
2020-05-20 09:15:00,119.4,125.8,118.55,124.25,19926250
2020-05-21 09:15:00,124.25,126.65,120.45,121.8,12315699
2020-05-22 09:15:00,121.35,123.65,114.5,115.65,20932974
2020-05-26 09:15:00,117.45,118.45,113.8,115.2,10996639
2020-05-27 09:15:00,115.9,123.95,115.65,121.8,24535758
2020-05-28 09:15:00,123.0,126.0,119.65,120.8,14826054
2020-05-29 09:15:00,118.5,122.75,117.2,122.15,15758658
2020-06-01 09:15:00,125.0,131.0,124.0,127.95,19158784
2020-06-02 09:15:00,128.4,130.3,124.7,126.8,12604346
2020-06-03 09:15:00,129.0,135.65,128.0,128.65,18711284
2020-06-04 09:15:00,128.65,133.5,125.8,127.75,15509750
2020-06-05 09:15:00,129.7,131.9,127.0,130.25,15448434
2020-06-08 09:15:00,134.8,152.3,132.8,149.0,54828918
2020-06-09 09:15:00,155.0,156.6,141.4,144.5,44235723
2020-06-10 09:15:00,145.0,164.7,144.5,161.8,58870168
2020-06-11 09:15:00,160.95,165.35,152.3,153.2,31526092
2020-06-12 09:15:00,141.0,155.65,141.0,153.45,28395260
2020-06-15 09:15:00,153.0,159.4,150.3,153.5,27221131
2020-06-16 09:15:00,158.9,160.9,144.5,152.35,24450538
2020-06-17 09:15:00,148.85,157.4,148.2,152.25,19248364
2020-06-18 09:15:00,152.0,157.5,151.75,155.15,16132026
2020-06-19 09:15:00,157.4,209.45,156.85,203.4,97948282
2020-06-22 09:15:00,219.8,254.25,215.8,242.2,85313320
2020-06-23 09:15:00,251.0,263.25,235.4,240.3,60999596
2020-06-24 09:15:00,243.1,245.9,193.8,208.1,49608925
2020-06-25 09:15:00,200.0,239.2,197.45,227.3,83051819
2020-06-26 09:15:00,233.0,239.4,217.65,227.65,46061302
2020-06-29 09:15:00,223.9,228.25,208.55,216.65,34076740
2020-06-30 09:15:00,224.0,224.0,204.35,207.15,34683391
2020-07-01 09:15:00,209.0,232.4,203.8,220.15,76077518
2020-07-02 09:15:00,226.05,233.0,221.55,225.3,44146182
2020-07-03 09:15:00,227.25,234.9,214.75,231.05,64216518
2020-07-06 09:15:00,229.0,236.75,222.0,231.8,43374585
2020-07-07 09:15:00,230.0,235.0,227.5,231.45,27095730
2020-07-08 09:15:00,233.0,236.0,225.7,228.3,14362656
2020-07-09 09:15:00,230.0,233.0,228.05,229.25,10391110
2020-07-10 09:15:00,227.0,238.75,223.1,235.45,20677282
2020-07-13 15:30:00,238.45,250.8,235.6,238.4,54372576
