,Open,High,Low,Close,Volume
2020-05-18 09:15:00,25.4,25.4,23.4,23.45,13359
2020-05-19 09:15:00,23.25,24.4,23.25,23.9,20176
2020-05-20 09:15:00,23.3,24.4,23.3,24.0,5918
2020-05-21 09:15:00,24.4,24.8,23.5,24.45,14368
2020-05-22 09:15:00,24.65,24.75,24.1,24.25,7632
2020-05-26 09:15:00,24.75,24.75,23.7,24.1,15550
2020-05-27 09:15:00,24.8,24.8,23.9,24.05,10473
2020-05-28 09:15:00,24.05,24.8,24.0,24.35,5285
2020-05-29 09:15:00,24.35,24.85,24.05,24.25,9903
2020-06-01 09:15:00,24.4,24.9,24.0,24.65,6698
2020-06-02 09:15:00,24.7,25.85,24.2,25.45,29332
2020-06-03 09:15:00,26.1,26.5,25.05,25.85,24094
2020-06-04 09:15:00,26.1,26.7,25.15,26.0,13858
2020-06-05 09:15:00,26.75,28.6,26.25,28.5,58297
2020-06-08 09:15:00,29.45,30.5,28.5,28.8,29673
2020-06-09 09:15:00,29.1,29.85,27.55,27.75,19852
2020-06-10 09:15:00,28.45,30.5,26.35,29.95,112115
2020-06-11 09:15:00,30.0,30.7,27.55,27.65,64967
2020-06-12 09:15:00,27.65,27.9,25.2,27.4,33007
2020-06-15 09:15:00,28.5,28.5,26.5,27.6,11977
2020-06-16 09:15:00,27.9,30.2,27.35,28.65,80710
2020-06-17 09:15:00,28.25,31.5,28.25,31.5,293653
2020-06-18 09:15:00,33.45,34.65,32.15,34.6,263783
2020-06-19 09:15:00,35.85,35.95,31.65,32.3,198926
2020-06-22 09:15:00,33.2,35.5,32.15,35.5,174440
2020-06-23 09:15:00,36.9,37.25,36.7,37.25,76571
2020-06-24 09:15:00,39.1,39.1,39.1,39.1,83054
2020-06-25 09:15:00,41.05,41.05,41.05,41.05,57961
2020-06-26 09:15:00,43.1,43.1,43.1,43.1,34548
2020-06-29 09:15:00,45.25,45.25,40.95,40.95,159069
2020-06-30 09:15:00,38.95,38.95,38.95,38.95,4394
2020-07-01 09:15:00,37.05,38.4,37.05,37.05,191834
2020-07-02 09:15:00,37.0,38.9,35.65,38.9,68830
2020-07-03 09:15:00,40.8,40.8,40.8,40.8,41876
2020-07-06 09:15:00,42.8,42.8,41.15,42.8,134026
2020-07-07 09:15:00,44.9,44.9,44.9,44.9,107525
2020-07-08 09:15:00,47.1,47.1,47.1,47.1,75298
2020-07-09 09:15:00,49.45,49.45,44.75,44.75,196686
2020-07-10 09:15:00,42.55,44.7,42.55,43.0,62382
2020-07-13 09:15:00,43.0,45.15,42.25,42.85,39017
2020-07-14 09:15:00,42.55,44.35,40.85,41.3,25433
2020-07-15 09:15:00,41.3,42.9,40.0,40.3,26698
2020-07-16 09:15:00,39.25,40.8,38.4,39.1,37050
2020-07-17 09:15:00,40.7,40.9,38.6,39.65,33342
2020-07-20 09:15:00,40.95,41.0,39.5,39.8,24432
2020-07-21 09:15:00,39.8,40.95,38.8,39.55,24839
2020-07-22 09:15:00,38.55,39.95,38.55,39.0,19435
2020-07-23 09:15:00,40.5,40.5,38.55,39.95,24701
2020-07-24 09:15:00,39.2,40.2,39.2,39.7,12980
2020-07-27 09:15:00,38.75,40.5,37.9,38.15,31013
2020-07-28 09:15:00,38.75,39.7,36.55,37.0,54532
2020-07-29 09:15:00,36.75,37.2,35.15,35.15,86112
2020-07-30 09:15:00,33.8,36.0,33.4,33.6,102752
2020-07-31 09:15:00,33.6,34.75,33.6,34.4,83867
2020-08-03 09:15:00,35.9,35.9,34.05,34.85,145834
2020-08-04 09:15:00,35.95,36.35,35.35,35.7,45867
2020-08-05 09:15:00,36.15,36.45,34.75,35.05,77142
2020-08-06 09:15:00,35.15,35.45,34.3,34.55,40914
2020-08-07 09:15:00,35.35,36.05,34.5,34.75,117368
2020-08-10 15:29:20,35.25,36.6,35.05,35.55,221486
