,Open,High,Low,Close,Volume
2015-08-10 00:00:00,32.45,34.0,29.35,30.5,273173.0
2015-08-17 00:00:00,30.0,37.0,29.1,34.85,887150.0
2015-08-24 00:00:00,33.4,33.4,26.0,30.6,296264.0
2015-08-31 00:00:00,30.7,31.0,27.5,29.3,122294.0
2015-09-07 00:00:00,29.0,30.8,26.25,28.6,100535.0
2015-09-14 00:00:00,29.15,29.2,27.15,28.65,37403.0
2015-09-21 00:00:00,28.25,31.3,27.55,30.45,110832.0
2015-09-28 00:00:00,30.55,33.35,29.0,31.7,194625.0
2015-10-05 00:00:00,32.9,34.8,31.25,32.4,228113.0
2015-10-12 00:00:00,33.55,36.95,31.25,35.15,368900.0
2015-10-19 00:00:00,36.2,40.9,35.8,37.5,603590.0
2015-10-26 00:00:00,38.2,39.95,35.45,35.75,235178.0
2015-11-02 00:00:00,36.8,36.9,32.15,32.45,114683.0
2015-11-09 00:00:00,32.05,34.8,30.85,33.05,54042.0
2015-11-16 00:00:00,33.1,36.5,32.35,34.9,231866.0
2015-11-23 00:00:00,34.75,38.6,34.5,37.7,311400.0
2015-11-30 00:00:00,39.05,53.8,38.95,51.3,2941717.0
2015-12-07 00:00:00,51.6,52.3,42.15,46.1,744291.0
2015-12-14 00:00:00,44.65,51.9,43.4,49.65,887289.0
2015-12-21 00:00:00,49.0,55.0,49.0,50.9,949783.0
2015-12-28 00:00:00,51.25,53.0,48.2,51.2,551614.0
2016-01-04 00:00:00,51.35,62.9,50.2,55.95,2005022.0
2016-01-11 00:00:00,55.2,57.7,43.1,43.7,873140.0
2016-01-18 00:00:00,42.75,43.4,35.75,40.2,570719.0
2016-01-25 00:00:00,40.95,46.95,40.8,44.75,272856.0
2016-02-01 00:00:00,45.8,47.8,38.5,42.0,277363.0
2016-02-08 00:00:00,42.5,43.9,31.5,34.1,196045.0
2016-02-15 00:00:00,35.2,37.8,32.4,34.35,129665.0
2016-02-22 00:00:00,33.95,35.9,33.05,34.0,82355.0
2016-02-29 00:00:00,33.6,39.4,32.7,38.45,151478.0
2016-03-07 00:00:00,38.45,41.0,36.95,38.75,119081.0
2016-03-14 00:00:00,39.3,40.9,36.2,36.8,107340.0
2016-03-21 00:00:00,37.2,38.0,36.15,36.6,47356.0
2016-03-28 00:00:00,36.05,36.75,31.5,33.85,204389.0
2016-04-04 00:00:00,33.7,36.0,33.65,34.15,126511.0
2016-04-11 00:00:00,34.5,36.5,34.15,36.15,75031.0
2016-04-18 00:00:00,36.05,38.2,35.65,36.7,81979.0
2016-04-25 00:00:00,36.2,37.45,34.25,34.5,122811.0
2016-05-02 00:00:00,34.1,36.0,33.05,33.25,62660.0
2016-05-09 00:00:00,33.7,36.75,33.0,36.15,106917.0
2016-05-16 00:00:00,36.3,37.5,34.1,34.25,107167.0
2016-05-23 00:00:00,35.4,35.5,32.9,34.2,66702.0
2016-05-30 00:00:00,34.05,44.95,33.1,38.6,1063961.0
2016-06-06 00:00:00,39.45,41.65,38.25,38.6,342725.0
2016-06-13 00:00:00,38.45,43.3,36.25,39.95,379896.0
2016-06-20 00:00:00,39.35,40.85,34.95,38.25,133198.0
2016-06-27 00:00:00,37.7,45.0,37.7,42.3,491999.0
2016-07-04 00:00:00,42.4,44.0,39.9,40.15,149060.0
2016-07-11 00:00:00,41.25,41.75,38.6,38.9,108791.0
2016-07-18 00:00:00,38.95,40.9,38.05,39.0,113422.0
2016-07-25 00:00:00,39.0,39.9,37.65,38.25,92100.0
2016-08-01 00:00:00,37.8,39.3,35.25,36.6,109829.0
2016-08-08 00:00:00,36.35,38.2,34.75,35.25,92704.0
2016-08-15 00:00:00,35.25,35.85,33.85,35.2,59025.0
2016-08-22 00:00:00,35.8,37.0,34.6,34.85,50682.0
2016-08-29 00:00:00,34.7,35.8,33.1,34.6,95096.0
2016-09-05 00:00:00,34.6,38.3,33.8,36.55,193929.0
2016-09-12 00:00:00,35.95,37.8,34.65,36.75,116612.0
2016-09-19 00:00:00,36.15,37.9,36.1,36.5,83517.0
2016-09-26 00:00:00,37.4,45.3,35.8,38.6,1002568.0
2016-10-03 00:00:00,38.7,46.95,38.1,43.3,589992.0
2016-10-10 00:00:00,43.9,44.95,40.3,41.6,111278.0
2016-10-17 00:00:00,41.0,43.35,40.25,40.4,95174.0
2016-10-24 00:00:00,40.5,41.9,39.5,41.25,59476.0
2016-10-31 00:00:00,41.25,43.0,36.25,39.05,96535.0
2016-11-07 00:00:00,40.6,40.6,32.5,38.0,54027.0
2016-11-14 00:00:00,38.0,39.45,31.3,31.55,97351.0
2016-11-21 00:00:00,31.85,32.65,25.8,32.25,201014.0
2016-11-28 00:00:00,31.5,37.05,30.8,35.8,109731.0
2016-12-05 00:00:00,37.2,37.2,34.55,35.8,31470.0
2016-12-12 00:00:00,35.35,36.75,35.0,35.3,55740.0
2016-12-19 00:00:00,35.0,36.9,33.6,33.95,39546.0
2016-12-26 00:00:00,33.45,35.0,32.15,34.05,27442.0
2017-01-02 00:00:00,34.1,41.8,34.1,39.65,411030.0
2017-01-09 00:00:00,41.0,41.0,36.35,37.7,62047.0
2017-01-16 00:00:00,39.0,39.2,37.2,37.65,70976.0
2017-01-23 00:00:00,38.25,38.4,35.9,36.85,85379.0
2017-01-30 00:00:00,36.8,37.2,35.15,36.55,63459.0
2017-02-06 00:00:00,38.55,40.0,36.0,38.05,156193.0
2017-02-13 00:00:00,37.7,44.0,36.1,39.45,396980.0
2017-02-20 00:00:00,39.0,40.9,39.0,39.75,93442.0
2017-02-27 00:00:00,40.5,40.5,37.7,37.85,77900.0
2017-03-06 00:00:00,37.1,38.85,36.5,38.2,73662.0
