,Open,High,Low,Close,Volume
2020-05-07 09:15:00,122.2,124.95,120.0,122.25,5508
2020-05-08 09:15:00,122.35,124.45,117.2,118.7,7455
2020-05-11 09:15:00,120.05,124.9,118.4,118.95,10842
2020-05-12 09:15:00,119.95,122.4,116.5,117.2,7279
2020-05-13 09:15:00,123.0,124.0,119.2,123.05,13589
2020-05-14 09:15:00,122.4,122.4,116.95,117.75,14160
2020-05-15 09:15:00,118.55,123.8,113.45,122.95,21077
2020-05-18 09:15:00,126.7,126.7,115.4,115.95,13394
2020-05-19 09:15:00,121.0,124.95,116.4,118.35,24491
2020-05-20 09:15:00,118.4,123.5,117.65,121.9,7977
2020-05-21 09:15:00,122.0,134.05,122.0,128.6,113791
2020-05-22 09:15:00,129.0,141.45,122.5,139.2,136218
2020-05-26 09:15:00,142.0,153.1,140.95,153.1,278584
2020-05-27 09:15:00,155.35,158.4,146.0,147.3,148701
2020-05-28 09:15:00,147.3,150.8,142.35,143.45,27496
2020-05-29 09:15:00,144.9,144.9,140.0,141.85,27219
2020-06-01 09:15:00,141.3,148.9,140.0,143.0,48142
2020-06-02 09:15:00,143.95,148.6,140.45,143.8,25646
2020-06-03 09:15:00,143.95,146.15,140.15,141.95,27365
2020-06-04 09:15:00,140.05,145.0,139.75,140.7,20367
2020-06-05 09:15:00,143.5,147.7,142.3,147.7,53975
2020-06-08 09:15:00,152.5,152.5,145.5,146.25,36341
2020-06-09 09:15:00,148.85,148.9,142.05,142.95,12568
2020-06-10 09:15:00,143.55,150.0,143.0,148.35,33486
2020-06-11 09:15:00,148.6,151.0,145.0,145.45,21592
2020-06-12 09:15:00,141.25,144.7,138.5,141.3,20882
2020-06-15 09:15:00,141.9,143.2,138.25,141.3,10602
2020-06-16 09:15:00,141.65,147.8,134.25,139.35,14466
2020-06-17 09:15:00,141.0,146.3,136.85,146.25,47062
2020-06-18 09:15:00,147.0,153.25,145.05,149.8,62339
2020-06-19 09:15:00,154.0,155.0,150.0,152.15,29811
2020-06-22 09:15:00,149.45,158.0,149.45,156.25,36559
2020-06-23 09:15:00,158.95,164.05,156.0,162.15,39894
2020-06-24 09:15:00,163.7,167.7,154.05,154.05,79324
2020-06-25 09:15:00,146.45,150.75,146.35,146.75,58446
2020-06-26 09:15:00,151.8,151.8,142.7,145.2,18315
2020-06-29 09:15:00,145.2,145.2,138.2,140.7,20343
2020-06-30 09:15:00,143.5,147.0,140.0,140.65,13398
2020-07-01 09:15:00,142.0,144.8,138.85,142.0,11597
2020-07-02 09:15:00,141.95,144.35,139.7,141.15,9965
2020-07-03 09:15:00,143.5,143.5,139.95,141.8,8901
2020-07-06 09:15:00,147.0,148.85,142.05,148.5,42646
2020-07-07 09:15:00,149.95,150.7,146.1,147.15,18756
2020-07-08 09:15:00,149.85,150.3,144.0,144.6,24076
2020-07-09 09:15:00,146.85,146.9,142.6,144.8,9811
2020-07-10 09:15:00,145.1,145.15,140.8,142.65,9276
2020-07-13 09:15:00,146.5,146.5,141.3,142.65,8391
2020-07-14 09:15:00,142.8,143.95,141.0,142.3,14128
2020-07-15 09:15:00,143.4,143.95,140.05,140.45,8652
2020-07-16 09:15:00,139.45,140.7,137.0,137.95,10208
2020-07-17 09:15:00,140.0,143.0,135.25,140.75,13155
2020-07-20 09:15:00,139.35,142.35,139.05,140.2,6950
2020-07-21 09:15:00,140.2,145.25,140.2,141.85,13887
2020-07-22 09:15:00,141.15,144.5,140.4,141.8,10904
2020-07-23 09:15:00,141.1,143.75,137.3,140.5,7326
2020-07-24 09:15:00,140.55,140.55,138.25,139.65,4932
2020-07-27 09:15:00,142.95,143.05,136.05,137.2,6670
2020-07-28 09:15:00,137.05,138.95,136.65,138.1,5421
2020-07-29 09:15:00,142.5,142.5,133.5,137.65,11547
2020-07-30 15:26:03,137.7,144.0,137.7,138.8,48192
