,Open,High,Low,Close,Volume
2020-07-24 09:15:00,140.0,140.0,138.25,138.25,363.0
2020-07-24 09:25:00,139.05,139.05,139.05,139.05,760.0
2020-07-24 09:30:00,139.1,139.95,139.1,139.95,0.0
2020-07-24 09:35:00,138.95,139.05,138.65,138.65,1792.0
2020-07-24 09:40:00,140.15,140.15,140.15,140.15,752.0
2020-07-24 09:45:00,140.3,140.3,140.3,140.3,0.0
2020-07-24 09:50:00,140.3,140.3,140.3,140.3,0.0
2020-07-24 09:55:00,140.3,140.3,140.3,140.3,198.0
2020-07-24 10:10:00,140.3,140.3,140.3,140.3,300.0
2020-07-24 10:15:00,139.4,139.75,139.4,139.75,8.0
2020-07-24 10:20:00,139.8,139.8,139.8,139.8,118.0
2020-07-24 10:30:00,139.8,139.9,139.8,139.9,266.0
2020-07-24 10:35:00,139.9,140.35,139.9,140.35,92.0
2020-07-24 10:40:00,140.35,140.35,140.35,140.35,248.0
2020-07-24 10:45:00,140.35,140.35,140.0,140.0,0.0
2020-07-24 10:50:00,139.8,140.0,139.8,140.0,584.0
2020-07-24 11:00:00,139.5,139.5,139.35,139.35,260.0
2020-07-24 11:05:00,139.1,139.1,139.1,139.1,0.0
2020-07-24 11:15:00,139.0,139.0,139.0,139.0,432.0
2020-07-24 11:20:00,139.0,139.0,139.0,139.0,158.0
2020-07-24 11:25:00,139.1,139.1,139.1,139.1,12.0
2020-07-24 11:30:00,139.1,139.1,139.0,139.0,44.0
2020-07-24 11:35:00,140.0,140.0,140.0,140.0,718.0
2020-07-24 11:40:00,139.5,139.5,139.5,139.5,54.0
2020-07-24 11:45:00,139.5,139.5,139.5,139.5,198.0
2020-07-24 11:55:00,140.15,140.5,140.15,140.5,200.0
2020-07-24 12:05:00,140.5,140.5,140.5,140.5,4.0
2020-07-24 12:10:00,140.5,140.5,140.5,140.5,48.0
2020-07-24 12:35:00,140.25,140.25,139.65,139.65,170.0
2020-07-24 13:15:00,139.65,139.65,139.65,139.65,12.0
2020-07-24 13:40:00,139.8,140.3,139.55,140.3,0.0
2020-07-24 13:45:00,140.35,140.35,140.35,140.35,7750.0
2020-07-24 13:50:00,139.5,139.5,139.5,139.5,144.0
2020-07-24 14:00:00,139.5,139.5,139.5,139.5,8.0
2020-07-24 14:20:00,139.5,139.5,139.5,139.5,354.0
2020-07-24 14:25:00,140.4,140.4,140.4,140.4,112.0
2020-07-24 14:50:00,140.35,140.35,139.55,139.55,408.0
2020-07-24 14:55:00,139.55,140.2,139.55,140.2,0.0
2020-07-24 15:05:00,140.2,140.2,140.2,140.2,92.0
2020-07-24 15:10:00,140.2,140.2,140.2,140.2,246.0
2020-07-24 15:15:00,139.5,139.5,139.5,139.5,62.0
2020-07-24 15:20:00,139.35,139.35,139.35,139.35,4.0
2020-07-24 15:25:00,139.85,139.9,139.0,139.65,347.0
2020-07-27 09:15:00,142.95,142.95,136.05,140.0,0.0
2020-07-27 09:20:00,139.35,139.35,139.35,139.35,64.0
