,Open,High,Low,Close,Volume
2020-07-30 09:16:00,137.7,137.7,137.7,137.7,0.0
2020-07-30 09:19:00,139.0,139.55,139.0,139.55,76.0
2020-07-30 09:21:00,140.1,140.3,140.1,140.3,75.0
2020-07-30 09:24:00,139.5,139.5,139.5,139.5,507.0
2020-07-30 09:25:00,139.05,139.05,138.15,139.05,13.0
2020-07-30 09:28:00,138.7,138.7,138.7,138.7,14.0
2020-07-30 09:32:00,138.15,138.15,138.1,138.1,175.0
2020-07-30 09:36:00,139.15,139.15,139.15,139.15,0.0
2020-07-30 09:45:00,138.95,138.95,138.95,138.95,15.0
2020-07-30 09:46:00,139.1,139.1,139.1,139.1,34.0
2020-07-30 09:47:00,139.0,139.0,139.0,139.0,1456.0
2020-07-30 09:48:00,139.0,139.0,139.0,139.0,544.0
2020-07-30 09:49:00,139.0,139.0,139.0,139.0,100.0
2020-07-30 09:50:00,139.0,139.9,139.0,139.9,0.0
2020-07-30 09:51:00,139.95,140.95,139.95,140.95,821.0
2020-07-30 09:52:00,141.0,142.4,140.7,142.4,2052.0
2020-07-30 09:53:00,142.4,144.0,142.4,143.5,1072.0
2020-07-30 09:54:00,143.5,143.5,141.3,141.3,1106.0
2020-07-30 09:55:00,141.0,141.8,141.0,141.0,704.0
2020-07-30 09:56:00,140.65,140.7,140.65,140.7,152.0
2020-07-30 09:57:00,141.35,141.35,141.35,141.35,117.0
2020-07-30 09:58:00,141.2,141.2,141.2,141.2,79.0
2020-07-30 09:59:00,140.9,140.9,140.9,140.9,68.0
2020-07-30 10:00:00,141.05,141.05,141.05,141.05,292.0
2020-07-30 10:01:00,141.05,141.5,141.05,141.5,148.0
2020-07-30 10:02:00,141.5,141.5,141.5,141.5,261.0
2020-07-30 10:03:00,141.0,141.05,141.0,141.05,33.0
2020-07-30 10:04:00,140.9,140.9,140.9,140.9,875.0
2020-07-30 10:07:00,141.0,141.0,141.0,141.0,200.0
2020-07-30 10:08:00,141.1,141.5,141.1,141.5,143.0
2020-07-30 10:09:00,141.5,141.5,141.0,141.0,348.0
2020-07-30 10:10:00,141.3,141.3,141.3,141.3,0.0
2020-07-30 10:11:00,141.0,141.0,141.0,141.0,90.0
2020-07-30 10:12:00,141.0,141.0,141.0,141.0,0.0
2020-07-30 10:13:00,141.0,141.0,141.0,141.0,49.0
2020-07-30 10:15:00,141.0,141.0,141.0,141.0,175.0
2020-07-30 10:16:00,141.2,141.2,141.2,141.2,0.0
2020-07-30 10:17:00,141.2,141.2,141.2,141.2,18.0
2020-07-30 10:19:00,141.2,141.25,141.2,141.25,7.0
2020-07-30 10:22:00,141.0,141.0,141.0,141.0,98.0
2020-07-30 10:23:00,140.9,140.9,140.9,140.9,98.0
2020-07-30 10:32:00,140.65,140.65,140.65,140.65,0.0
2020-07-30 10:33:00,141.2,141.2,141.15,141.15,87.0
2020-07-30 10:35:00,141.0,141.0,141.0,141.0,87.0
2020-07-30 10:38:00,141.0,141.0,141.0,141.0,47.0
2020-07-30 10:39:00,141.0,141.0,141.0,141.0,53.0
2020-07-30 10:42:00,141.5,143.1,141.5,142.8,12512.0
2020-07-30 10:43:00,142.85,142.85,141.05,142.0,1243.0
2020-07-30 10:44:00,142.35,142.95,141.25,141.25,887.0
2020-07-30 10:45:00,142.0,143.5,141.1,142.55,3062.0
2020-07-30 10:46:00,142.1,142.35,141.6,141.6,0.0
2020-07-30 10:47:00,141.55,142.0,141.55,142.0,1077.0
2020-07-30 10:48:00,142.35,142.5,142.0,142.0,1624.0
2020-07-30 10:49:00,142.0,142.0,142.0,142.0,902.0
2020-07-30 10:50:00,142.0,142.0,142.0,142.0,0.0
2020-07-30 10:51:00,142.2,142.2,142.0,142.0,609.0
