,Open,High,Low,Close,Volume
2002-07-01 00:00:00,29.85,33.0,21.1,23.25,140736
2002-08-01 00:00:00,23.1,26.75,19.05,25.05,69580
2002-09-01 00:00:00,25.2,25.9,20.25,21.0,38437
2002-10-01 00:00:00,19.8,25.0,19.3,21.95,34681
2002-11-01 00:00:00,21.7,23.0,20.5,22.5,29390
2002-12-01 00:00:00,23.45,24.0,20.35,22.0,46727
2003-01-01 00:00:00,21.95,22.85,20.0,21.35,47041
2003-02-01 00:00:00,21.5,24.3,20.6,23.25,59281
2003-03-01 00:00:00,25.0,25.0,21.5,22.3,55697
2003-04-01 00:00:00,22.5,25.9,22.1,24.6,35422
2003-05-01 00:00:00,23.05,29.0,23.05,28.6,64785
2003-06-01 00:00:00,27.75,41.75,26.75,36.25,346800
2003-07-01 00:00:00,35.75,40.0,30.55,38.95,385700
2003-08-01 00:00:00,39.75,59.55,38.65,49.25,2528700
2003-09-01 00:00:00,51.9,52.0,35.3,39.9,394600
2003-10-01 00:00:00,39.0,43.5,34.85,37.7,292436
2003-11-01 00:00:00,39.0,48.75,37.75,45.15,513563
2003-12-01 00:00:00,46.05,57.8,43.5,51.65,1262600
2004-01-01 00:00:00,53.0,55.45,37.0,39.2,418500
2004-02-01 00:00:00,39.5,43.95,36.1,37.55,160100
2004-03-01 00:00:00,36.5,40.0,32.15,36.35,106500
2004-04-01 00:00:00,36.95,61.0,36.4,59.7,834792
2004-05-01 00:00:00,58.0,68.9,39.35,46.05,2119400
2004-06-01 00:00:00,46.9,48.45,38.0,43.75,244900
2004-07-01 00:00:00,43.1,53.75,40.0,50.75,558600
2004-08-01 00:00:00,50.0,69.9,49.9,66.6,2666278
2004-09-01 00:00:00,67.7,71.25,62.1,62.5,1049358
2004-10-01 00:00:00,63.0,85.0,62.35,73.65,2579593
2004-11-01 00:00:00,74.75,92.0,73.65,83.35,3305315
2004-12-01 00:00:00,83.85,102.9,79.7,99.15,2856929
2005-01-01 00:00:00,101.8,116.95,92.25,100.45,2592707
2005-02-01 00:00:00,102.0,126.2,98.3,106.15,2160100
2005-03-01 00:00:00,108.0,109.8,80.1,86.55,723609
2005-04-01 00:00:00,87.0,96.5,80.05,81.8,395138
2005-05-01 00:00:00,80.1,95.65,78.5,82.85,672220
2005-06-01 00:00:00,83.6,90.0,73.25,78.7,412519
2005-07-01 00:00:00,79.0,107.45,78.05,93.15,4974032
2005-08-01 00:00:00,90.15,127.5,90.15,109.7,1347353
