,Open,High,Low,Close,Volume
2020-07-30 09:15:00,137.7,137.7,137.7,137.7,0.0
2020-07-30 09:19:00,139.0,139.55,139.0,139.55,76.0
2020-07-30 09:21:00,140.1,140.3,140.1,140.3,75.0
2020-07-30 09:23:00,139.5,139.5,139.5,139.5,507.0
2020-07-30 09:25:00,139.05,139.05,138.15,139.05,13.0
2020-07-30 09:27:00,138.7,138.7,138.7,138.7,14.0
2020-07-30 09:31:00,138.15,138.15,138.1,138.1,175.0
2020-07-30 09:35:00,139.15,139.15,139.15,139.15,0.0
2020-07-30 09:45:00,138.95,139.1,138.95,139.1,49.0
2020-07-30 09:47:00,139.0,139.0,139.0,139.0,2000.0
2020-07-30 09:49:00,139.0,139.9,139.0,139.9,100.0
2020-07-30 09:51:00,139.95,142.4,139.95,142.4,2873.0
2020-07-30 09:53:00,142.4,144.0,141.3,141.3,2178.0
2020-07-30 09:55:00,141.0,141.8,140.65,140.7,856.0
2020-07-30 09:57:00,141.35,141.35,141.2,141.2,196.0
2020-07-30 09:59:00,140.9,141.05,140.9,141.05,360.0
2020-07-30 10:01:00,141.05,141.5,141.05,141.5,409.0
2020-07-30 10:03:00,141.0,141.05,140.9,140.9,908.0
2020-07-30 10:07:00,141.0,141.5,141.0,141.5,343.0
2020-07-30 10:09:00,141.5,141.5,141.0,141.3,348.0
2020-07-30 10:11:00,141.0,141.0,141.0,141.0,90.0
2020-07-30 10:13:00,141.0,141.0,141.0,141.0,49.0
2020-07-30 10:15:00,141.0,141.2,141.0,141.2,175.0
2020-07-30 10:17:00,141.2,141.2,141.2,141.2,18.0
2020-07-30 10:19:00,141.2,141.25,141.2,141.25,7.0
2020-07-30 10:21:00,141.0,141.0,141.0,141.0,98.0
2020-07-30 10:23:00,140.9,140.9,140.9,140.9,98.0
2020-07-30 10:31:00,140.65,140.65,140.65,140.65,0.0
2020-07-30 10:33:00,141.2,141.2,141.15,141.15,87.0
2020-07-30 10:35:00,141.0,141.0,141.0,141.0,87.0
2020-07-30 10:37:00,141.0,141.0,141.0,141.0,47.0
2020-07-30 10:39:00,141.0,141.0,141.0,141.0,53.0
2020-07-30 10:41:00,141.5,143.1,141.5,142.8,12512.0
2020-07-30 10:43:00,142.85,142.95,141.05,141.25,2130.0
2020-07-30 10:45:00,142.0,143.5,141.1,141.6,3062.0
2020-07-30 10:47:00,141.55,142.5,141.55,142.0,2701.0
2020-07-30 10:49:00,142.0,142.0,142.0,142.0,902.0
2020-07-30 10:51:00,142.2,142.2,141.5,141.5,1062.0
2020-07-30 10:53:00,142.0,142.0,139.5,139.55,947.0
2020-07-30 10:55:00,139.6,139.6,139.1,139.1,490.0
2020-07-30 10:57:00,140.0,140.0,140.0,140.0,0.0
2020-07-30 10:59:00,140.85,140.85,139.75,139.75,75.0
2020-07-30 11:01:00,139.75,140.0,139.75,140.0,127.0
2020-07-30 11:03:00,140.0,140.2,140.0,140.0,946.0
2020-07-30 11:07:00,139.85,139.85,139.85,139.85,232.0
2020-07-30 11:09:00,139.85,139.85,139.85,139.85,2.0
2020-07-30 11:13:00,140.05,140.05,139.85,139.85,60.0
2020-07-30 11:19:00,139.85,139.85,139.85,139.85,25.0
2020-07-30 11:29:00,139.85,139.85,139.85,139.85,28.0
2020-07-30 11:31:00,139.85,141.0,139.7,141.0,970.0
2020-07-30 11:33:00,141.0,141.05,141.0,141.0,552.0
2020-07-30 11:35:00,141.0,141.0,141.0,141.0,889.0
2020-07-30 11:37:00,141.55,141.55,141.25,141.25,0.0
2020-07-30 11:39:00,141.5,142.0,141.5,142.0,747.0
2020-07-30 11:41:00,141.15,141.2,141.15,141.2,0.0
2020-07-30 11:53:00,141.25,141.3,141.25,141.3,100.0
2020-07-30 11:59:00,141.15,141.15,141.0,141.0,488.0
2020-07-30 12:01:00,141.65,141.85,141.65,141.85,0.0
2020-07-30 12:05:00,141.05,141.05,141.0,141.0,299.0
2020-07-30 12:11:00,141.1,141.5,141.1,141.5,10.0
2020-07-30 12:21:00,141.1,141.1,141.1,141.1,7.0
2020-07-30 12:27:00,141.05,141.65,141.05,141.65,175.0
2020-07-30 12:33:00,141.0,141.0,139.5,139.5,397.0
2020-07-30 12:35:00,139.0,139.9,138.8,139.9,583.0
2020-07-30 12:39:00,139.9,139.9,139.9,139.9,2.0
2020-07-30 12:41:00,139.0,139.0,138.75,138.75,461.0
2020-07-30 12:45:00,139.0,139.0,139.0,139.0,0.0
2020-07-30 12:47:00,138.5,139.55,138.5,139.5,368.0
2020-07-30 12:49:00,139.5,139.5,139.5,139.5,29.0
2020-07-30 12:51:00,139.95,139.95,139.95,139.95,21.0
2020-07-30 12:53:00,139.5,139.5,139.5,139.5,956.0
2020-07-30 12:59:00,139.5,139.5,139.5,139.5,0.0
2020-07-30 13:07:00,139.65,139.65,138.25,138.25,213.0
2020-07-30 13:11:00,138.3,138.3,138.3,138.3,0.0
2020-07-30 13:29:00,138.45,138.45,138.45,138.45,20.0
2020-07-30 13:45:00,139.9,139.9,139.9,139.9,260.0
2020-07-30 13:51:00,139.1,139.15,139.1,139.15,35.0
2020-07-30 14:01:00,139.1,139.1,139.1,139.1,0.0
2020-07-30 14:09:00,138.65,138.65,138.65,138.65,27.0
2020-07-30 14:11:00,138.45,138.45,138.45,138.45,182.0
2020-07-30 14:13:00,138.9,138.9,138.9,138.9,0.0
2020-07-30 14:17:00,138.8,138.8,138.45,138.45,732.0
2020-07-30 14:23:00,138.45,138.45,138.45,138.45,200.0
2020-07-30 14:25:00,138.8,138.8,138.8,138.8,0.0
2020-07-30 14:27:00,138.5,138.5,138.45,138.45,38.0
2020-07-30 14:29:00,138.85,138.85,138.85,138.85,0.0
2020-07-30 14:31:00,138.5,138.5,138.45,138.45,49.0
2020-07-30 14:43:00,138.55,138.55,138.55,138.55,200.0
2020-07-30 14:45:00,138.8,138.8,138.8,138.8,30.0
2020-07-30 14:49:00,138.85,138.85,138.6,138.6,124.0
2020-07-30 14:51:00,139.05,139.05,139.05,139.05,43.0
2020-07-30 14:53:00,139.05,139.05,138.85,138.85,193.0
2020-07-30 14:59:00,138.85,138.85,138.8,138.8,328.0
2020-07-30 15:01:00,138.6,138.6,138.6,138.6,255.0
2020-07-30 15:05:00,139.75,139.75,139.75,139.75,62.0
2020-07-30 15:07:00,139.45,139.45,139.0,139.0,53.0
2020-07-30 15:09:00,139.0,139.0,139.0,139.0,527.0
2020-07-30 15:11:00,139.15,139.45,138.7,139.35,124.0
2020-07-30 15:13:00,138.75,139.0,138.6,139.0,38.0
2020-07-30 15:15:00,139.15,139.15,139.05,139.05,208.0
2020-07-30 15:17:00,139.05,139.05,138.5,138.55,694.0
2020-07-30 15:23:00,138.7,138.7,138.6,138.65,654.0
2020-07-30 15:25:00,138.8,138.8,138.8,138.8,26.0
2020-07-30 15:27:40,138.8,138.8,138.8,138.8,0.0
