,Open,High,Low,Close,Volume
2020-05-07 09:15:00,205.0,209.5,199.0,201.55,331300
2020-05-08 09:15:00,206.5,208.25,200.0,200.75,201116
2020-05-11 09:15:00,204.95,204.95,198.0,199.2,195334
2020-05-12 09:15:00,199.2,199.9,191.25,194.6,238407
2020-05-13 09:15:00,207.0,208.0,197.1,200.0,390640
2020-05-14 09:15:00,202.1,209.0,197.2,199.1,433100
2020-05-15 09:15:00,200.1,202.2,193.0,195.6,183727
2020-05-18 09:15:00,200.0,206.6,187.45,188.3,538616
2020-05-19 09:15:00,189.3,191.8,184.1,187.55,284464
2020-05-20 09:15:00,189.0,194.6,187.0,192.15,501830
2020-05-21 09:15:00,197.8,199.5,187.5,192.55,1711818
2020-05-22 09:15:00,192.0,194.45,189.2,191.25,635204
2020-05-26 09:15:00,194.5,197.0,192.3,196.45,327866
2020-05-27 09:15:00,200.0,209.9,196.35,206.1,726870
2020-05-28 09:15:00,208.3,212.1,206.4,207.3,477150
2020-05-29 09:15:00,205.0,206.0,200.3,205.1,807412
2020-06-01 09:15:00,212.5,212.55,206.0,206.85,433655
2020-06-02 09:15:00,207.45,209.35,205.0,207.95,529304
2020-06-03 09:15:00,208.9,215.5,207.8,211.4,1329997
2020-06-04 09:15:00,212.4,214.75,208.55,212.65,690256
2020-06-05 09:15:00,214.5,220.9,213.15,218.35,1239922
2020-06-08 09:15:00,223.4,226.0,211.1,214.6,1490156
2020-06-09 09:15:00,215.0,218.3,212.35,215.4,421501
2020-06-10 09:15:00,214.5,216.9,211.25,213.45,203360
2020-06-11 09:15:00,212.0,217.55,207.5,210.25,249080
2020-06-12 09:15:00,199.8,210.95,198.0,208.9,215282
2020-06-15 09:15:00,205.0,209.45,203.0,206.95,182671
2020-06-16 09:15:00,209.1,211.1,200.05,203.55,194564
2020-06-17 09:15:00,203.0,207.75,201.3,206.0,157314
2020-06-18 09:15:00,206.55,208.8,204.35,207.6,179832
2020-06-19 09:15:00,207.6,218.0,205.2,213.95,484717
2020-06-22 09:15:00,214.9,223.5,214.25,216.65,611113
2020-06-23 09:15:00,220.0,225.5,218.25,221.6,679889
2020-06-24 09:15:00,224.0,235.55,220.0,223.95,1589630
2020-06-25 09:15:00,222.5,229.9,222.5,224.75,499685
2020-06-26 09:15:00,226.8,228.5,221.95,223.5,332694
2020-06-29 09:15:00,221.0,222.8,212.8,213.35,463727
2020-06-30 09:15:00,215.6,217.5,212.15,216.55,266424
2020-07-01 09:15:00,225.0,225.2,220.2,221.5,769494
2020-07-02 09:15:00,223.0,224.45,219.1,223.4,345301
2020-07-03 09:15:00,225.0,237.6,220.1,234.15,1016804
2020-07-06 09:15:00,239.9,258.0,237.5,255.15,2457512
2020-07-07 09:15:00,260.0,277.45,258.0,268.05,1719692
2020-07-08 09:15:00,269.85,269.85,255.0,257.55,640303
2020-07-09 09:15:00,257.55,265.0,251.05,262.5,562735
2020-07-10 09:15:00,260.55,264.85,259.35,262.8,328413
2020-07-13 09:15:00,265.8,267.0,259.1,260.6,285411
2020-07-14 09:15:00,260.0,262.1,254.85,257.2,407877
2020-07-15 09:15:00,257.9,260.45,241.0,245.55,339763
2020-07-16 09:15:00,248.4,254.7,235.25,250.7,413013
2020-07-17 09:15:00,250.5,264.3,248.75,257.1,592568
2020-07-20 09:15:00,258.0,259.65,251.0,252.25,382367
2020-07-21 09:15:00,253.75,256.9,247.15,250.85,264255
2020-07-22 09:15:00,253.95,255.95,249.1,254.2,243596
2020-07-23 09:15:00,255.0,256.55,250.6,251.5,226369
2020-07-24 09:15:00,250.0,254.0,245.9,250.5,213025
2020-07-27 09:15:00,252.25,252.25,244.05,245.85,87382
2020-07-28 09:15:00,245.4,245.4,240.05,242.45,93307
2020-07-29 09:15:00,242.35,244.9,240.0,240.55,169262
2020-07-30 15:28:03,241.05,242.5,232.35,233.05,174375
