,Open,High,Low,Close,Volume
2020-07-30 09:15:00,241.05,242.5,240.75,240.75,249.0
2020-07-30 09:17:00,241.05,241.5,240.75,240.75,1714.0
2020-07-30 09:19:00,241.1,241.1,240.8,241.0,1908.0
2020-07-30 09:21:00,241.25,241.25,240.6,241.0,805.0
2020-07-30 09:23:00,241.0,241.0,241.0,241.0,117.0
2020-07-30 09:25:00,241.0,241.2,240.55,240.6,676.0
2020-07-30 09:27:00,240.85,240.85,240.05,240.05,899.0
2020-07-30 09:29:00,239.0,239.35,238.55,239.0,11645.0
2020-07-30 09:31:00,239.45,239.85,239.0,239.0,1482.0
2020-07-30 09:33:00,239.05,239.9,239.05,239.85,201.0
2020-07-30 09:35:00,239.25,239.7,239.25,239.3,664.0
2020-07-30 09:37:00,239.25,239.7,239.05,239.05,1355.0
2020-07-30 09:39:00,239.65,239.65,239.1,239.6,804.0
2020-07-30 09:41:00,239.15,239.45,239.05,239.4,394.0
2020-07-30 09:43:00,239.0,239.3,238.8,239.2,671.0
2020-07-30 09:45:00,239.3,240.05,239.3,240.05,947.0
2020-07-30 09:47:00,240.0,240.25,239.8,240.0,2168.0
2020-07-30 09:49:00,240.0,240.05,239.55,239.65,508.0
2020-07-30 09:51:00,239.65,240.0,239.3,240.0,240.0
2020-07-30 09:53:00,239.2,239.95,239.2,239.95,61.0
2020-07-30 09:55:00,239.95,239.95,239.9,239.9,651.0
2020-07-30 09:57:00,239.5,239.5,239.25,239.25,263.0
2020-07-30 09:59:00,239.25,239.5,239.25,239.5,292.0
2020-07-30 10:01:00,239.5,239.75,239.2,239.65,246.0
2020-07-30 10:03:00,240.05,240.35,239.9,240.3,9534.0
2020-07-30 10:05:00,240.0,240.0,240.0,240.0,98.0
2020-07-30 10:07:00,240.0,240.95,240.0,240.95,1007.0
2020-07-30 10:09:00,241.0,241.0,240.45,240.45,722.0
2020-07-30 10:11:00,240.15,240.4,240.0,240.15,439.0
2020-07-30 10:13:00,240.4,240.4,239.7,239.95,777.0
2020-07-30 10:15:00,239.9,240.0,239.8,239.8,2791.0
2020-07-30 10:17:00,239.9,240.15,239.85,240.0,46.0
2020-07-30 10:19:00,239.9,240.0,239.85,239.95,1144.0
2020-07-30 10:21:00,239.75,240.2,239.75,239.9,164.0
2020-07-30 10:23:00,239.95,240.0,239.8,240.0,1244.0
2020-07-30 10:25:00,240.2,240.2,239.9,240.1,723.0
2020-07-30 10:27:00,239.9,240.0,239.05,239.1,790.0
2020-07-30 10:29:00,239.05,239.65,239.05,239.65,417.0
2020-07-30 10:31:00,239.35,240.1,239.35,239.65,26.0
2020-07-30 10:33:00,239.7,240.0,239.65,240.0,154.0
