,Open,High,Low,Close,Volume
2020-04-20 09:15:00,27.25,27.25,24.2,25.15,26103
2020-04-21 09:15:00,25.15,25.8,22.5,23.9,74503
2020-04-22 09:15:00,23.9,23.9,22.15,23.2,41470
2020-04-23 09:15:00,24.9,25.5,23.3,23.9,192898
2020-04-24 09:15:00,23.85,23.9,22.15,22.55,33216
2020-04-27 09:15:00,24.0,24.0,21.15,22.15,36662
2020-04-28 09:15:00,22.25,22.75,21.25,22.15,20400
2020-04-29 09:15:00,23.5,23.5,21.4,21.9,22452
2020-04-30 09:15:00,22.6,23.2,21.75,21.95,37293
2020-05-04 09:15:00,21.6,21.95,20.5,20.7,32896
2020-05-05 09:15:00,21.8,21.85,18.4,18.8,90332
2020-05-06 09:15:00,19.7,20.45,18.2,19.15,45183
2020-05-07 09:15:00,19.5,19.8,19.0,19.25,10233
2020-05-08 09:15:00,19.9,20.95,19.0,19.2,28714
2020-05-11 09:15:00,19.85,20.2,18.7,18.85,31311
2020-05-12 09:15:00,18.75,19.95,18.45,19.7,23627
2020-05-13 09:15:00,19.7,20.9,19.4,19.9,75717
2020-05-14 09:15:00,20.1,20.1,19.0,19.15,18824
2020-05-15 09:15:00,19.55,20.35,19.2,20.05,35016
2020-05-18 09:15:00,20.3,20.4,18.6,18.85,26788
2020-05-19 09:15:00,19.7,19.8,18.9,19.35,46653
2020-05-20 09:15:00,19.35,19.5,17.65,19.25,21501
2020-05-21 09:15:00,19.0,20.8,18.8,20.15,154366
2020-05-22 09:15:00,20.3,20.9,19.3,19.75,29358
2020-05-26 09:15:00,20.25,20.35,19.1,19.2,14337
2020-05-27 09:15:00,19.2,20.25,19.05,19.5,25310
2020-05-28 09:15:00,20.0,21.75,20.0,20.9,94229
2020-05-29 09:15:00,20.15,22.4,20.0,21.35,80667
2020-06-01 09:15:00,23.0,24.0,22.5,23.35,161674
2020-06-02 09:15:00,24.8,24.9,23.6,24.3,121835
2020-06-03 09:15:00,25.45,25.45,23.8,24.1,97113
2020-06-04 09:15:00,24.75,24.75,22.8,23.05,53706
2020-06-05 09:15:00,23.35,27.65,23.2,27.5,264208
2020-06-08 09:15:00,28.4,31.45,27.5,28.1,346912
2020-06-09 09:15:00,29.0,29.45,25.5,26.3,135541
2020-06-10 09:15:00,26.3,26.95,24.5,25.6,72760
2020-06-11 09:15:00,25.6,26.6,24.25,24.45,53228
2020-06-12 09:15:00,24.0,24.8,22.7,24.3,78369
2020-06-15 09:15:00,24.3,24.95,23.75,24.05,15709
2020-06-16 09:15:00,24.25,24.6,23.4,23.55,34421
2020-06-17 09:15:00,23.5,27.95,23.0,25.25,259088
2020-06-18 09:15:00,25.25,30.3,24.5,30.1,1555873
2020-06-19 09:15:00,31.9,32.15,28.25,29.1,523874
2020-06-22 09:15:00,29.1,29.9,27.45,28.15,199071
2020-06-23 09:15:00,29.8,29.8,27.1,28.05,187792
2020-06-24 09:15:00,28.15,29.2,26.25,26.65,189156
2020-06-25 09:15:00,27.0,27.0,25.5,26.55,63973
2020-06-26 09:15:00,27.0,27.4,26.2,26.5,57481
2020-06-29 09:15:00,28.25,29.6,27.5,28.25,376816
2020-06-30 09:15:00,29.0,29.0,27.55,28.25,117951
2020-07-01 09:15:00,28.45,28.45,26.75,27.45,96117
2020-07-02 09:15:00,27.9,30.9,27.1,28.0,437241
2020-07-03 09:15:00,28.4,30.45,27.9,28.2,312745
2020-07-06 09:15:00,29.2,30.9,28.55,29.35,594703
2020-07-07 09:15:00,32.0,35.2,31.95,35.2,2466805
2020-07-08 09:15:00,39.4,42.0,38.2,38.5,2723914
2020-07-09 09:15:00,38.95,39.1,33.6,35.65,679250
2020-07-10 09:15:00,34.2,34.55,31.8,32.8,363771
2020-07-13 09:15:00,32.5,33.6,31.0,31.35,200536
2020-07-14 12:08:42,30.9,30.9,29.6,30.0,86464
