,Open,High,Low,Close,Volume
2016-12-19 00:00:00,489.9,498.0,465.7,475.65,22572411
2016-12-26 00:00:00,475.0,498.9,452.2,480.85,3440817
2017-01-02 00:00:00,482.0,488.0,471.55,472.75,550318
2017-01-09 00:00:00,477.95,499.7,462.8,494.6,957306
2017-01-16 00:00:00,496.0,498.8,475.0,478.8,1273276
2017-01-23 00:00:00,479.0,481.7,472.05,473.55,637770
2017-01-30 00:00:00,474.0,507.9,467.0,502.8,1635560
2017-02-06 00:00:00,510.0,585.0,507.0,535.8,5331191
2017-02-13 00:00:00,536.0,540.0,497.0,500.8,1297891
2017-02-20 00:00:00,505.9,534.1,498.0,521.2,1253255
2017-02-27 00:00:00,524.55,524.9,500.6,506.9,709055
2017-03-06 00:00:00,509.95,531.0,505.5,511.05,631375
2017-03-13 00:00:00,511.05,535.0,511.05,530.6,537792
2017-03-20 00:00:00,531.0,539.8,496.3,510.05,504580
2017-03-27 00:00:00,511.15,529.9,507.55,516.2,644466
2017-04-03 00:00:00,517.0,529.0,502.5,510.6,898104
2017-04-10 00:00:00,510.0,524.0,505.0,505.9,316864
2017-04-17 00:00:00,508.5,528.0,508.5,519.15,733528
2017-04-24 00:00:00,522.9,533.85,510.0,519.9,428645
2017-05-01 00:00:00,519.9,587.0,513.05,558.35,1107018
2017-05-08 00:00:00,553.0,566.8,550.1,557.1,348648
2017-05-15 00:00:00,560.0,593.9,540.0,549.4,905746
2017-05-22 00:00:00,560.0,570.0,525.0,555.9,652095
2017-05-29 00:00:00,558.0,618.3,528.6,600.75,1198431
2017-06-05 00:00:00,603.7,632.8,569.2,624.55,980898
2017-06-12 00:00:00,624.9,634.5,592.55,605.3,1145513
2017-06-19 00:00:00,613.3,619.45,597.1,608.3,828795
2017-06-26 00:00:00,608.3,617.0,605.1,615.15,366266
2017-07-03 00:00:00,617.0,636.05,615.5,619.9,737298
2017-07-10 00:00:00,620.0,640.0,594.7,609.4,553044
2017-07-17 00:00:00,608.85,617.4,595.4,597.5,589888
2017-07-24 00:00:00,603.85,604.4,586.0,592.05,172151
2017-07-31 00:00:00,571.55,595.0,570.1,583.95,226477
2017-08-07 00:00:00,580.8,584.0,515.1,543.05,404638
2017-08-14 00:00:00,549.0,558.6,534.0,534.9,261253
2017-08-21 00:00:00,550.0,554.1,515.6,521.35,249024
2017-08-28 00:00:00,521.0,541.0,418.9,539.7,680727
2017-09-04 00:00:00,533.05,557.4,533.05,545.0,261669
2017-09-11 00:00:00,544.85,568.0,524.0,548.25,956585
2017-09-18 00:00:00,560.0,560.0,535.0,540.35,295327
2017-09-25 00:00:00,535.1,545.8,504.9,507.15,282710
2017-10-02 00:00:00,507.15,553.35,502.25,541.4,259405
2017-10-09 00:00:00,540.0,549.8,526.8,543.3,278873
2017-10-16 00:00:00,540.0,556.95,540.0,545.0,308854
2017-10-23 00:00:00,539.25,548.45,533.35,536.4,262380
2017-10-30 00:00:00,536.4,545.0,532.0,534.7,271843
2017-11-06 00:00:00,542.95,557.85,524.0,529.7,649084
2017-11-13 00:00:00,524.05,555.0,519.15,529.25,521571
2017-11-20 00:00:00,533.95,546.0,524.85,537.75,456651
2017-11-27 00:00:00,539.0,549.5,514.7,525.95,425201
2017-12-04 00:00:00,532.0,535.0,499.0,503.35,539838
2017-12-11 00:00:00,503.0,534.0,501.9,523.85,546016
2017-12-18 00:00:00,530.0,579.9,505.0,551.5,1362976
2017-12-25 00:00:00,551.5,558.0,537.5,542.9,475606
2018-01-01 00:00:00,548.0,554.4,535.0,551.45,473528
2018-01-08 00:00:00,556.4,565.0,540.0,546.15,337248
2018-01-15 00:00:00,549.0,558.95,530.3,543.65,665377
2018-01-22 00:00:00,548.2,560.0,539.0,545.1,307742
2018-01-29 00:00:00,546.0,553.95,505.0,510.0,512183
2018-02-05 00:00:00,505.0,517.0,491.2,514.65,446286
2018-02-12 00:00:00,520.0,549.9,515.85,525.3,344361
2018-02-19 00:00:00,520.3,532.0,511.0,515.7,241392
2018-02-26 00:00:00,515.7,548.0,515.25,531.75,233160
2018-03-05 00:00:00,545.0,545.0,512.0,519.4,487053
2018-03-12 00:00:00,520.25,547.65,516.55,521.3,316990
2018-03-19 00:00:00,534.8,534.8,495.8,512.75,191372
2018-03-26 00:00:00,509.9,517.0,495.0,502.85,155812
2018-04-02 00:00:00,505.2,520.0,499.0,506.85,191797
2018-04-09 00:00:00,510.0,512.9,498.0,500.9,1042419
2018-04-16 00:00:00,500.0,510.8,496.9,508.7,271304
2018-04-23 00:00:00,507.2,514.75,500.0,504.0,315221
2018-04-30 00:00:00,514.0,519.8,500.1,506.05,176460
2018-05-07 00:00:00,507.05,510.35,478.0,487.5,161554
2018-05-14 00:00:00,487.0,487.5,455.0,459.4,171414
2018-05-21 00:00:00,464.95,466.5,437.05,462.85,1233852
2018-05-28 00:00:00,469.5,479.9,455.0,458.75,187580
2018-06-04 00:00:00,459.4,489.9,452.2,483.45,301155
2018-06-11 00:00:00,484.05,509.9,484.05,498.95,336397
2018-06-18 00:00:00,504.9,509.5,475.1,477.5,445769
2018-06-25 00:00:00,472.15,481.0,448.6,461.9,550162
2018-07-02 00:00:00,462.4,503.1,458.2,476.9,109563
2018-07-09 00:00:00,476.0,488.9,462.15,468.15,63209
2018-07-16 00:00:00,468.15,470.0,440.2,446.2,71890
2018-07-23 00:00:00,446.2,459.75,443.1,451.9,74340
2018-07-30 00:00:00,446.0,472.0,446.0,470.05,265910
2018-08-06 00:00:00,450.0,451.25,427.0,438.1,1542199
2018-08-13 00:00:00,437.0,450.0,435.1,443.55,607324
2018-08-20 00:00:00,445.05,464.7,433.0,441.55,438207
2018-08-27 00:00:00,444.0,468.95,434.6,438.45,1174490
2018-09-03 00:00:00,439.5,444.2,428.0,430.55,254835
2018-09-10 00:00:00,431.0,446.8,430.05,443.0,222701
2018-09-17 00:00:00,436.15,446.0,414.8,430.35,630278
2018-09-24 00:00:00,426.0,442.25,426.0,432.7,430864
2018-10-01 00:00:00,429.0,435.0,407.0,409.25,121716
2018-10-08 00:00:00,395.1,426.95,389.0,410.8,120911
2018-10-15 00:00:00,421.8,421.8,381.0,383.85,373905
2018-10-22 00:00:00,385.05,390.4,330.3,340.7,751557
2018-10-29 00:00:00,341.1,369.0,339.2,367.0,518363
2018-11-05 00:00:00,371.0,372.1,359.0,368.0,95775
2018-11-12 00:00:00,368.95,404.0,355.95,399.15,218301
2018-11-19 00:00:00,395.1,404.35,382.0,388.8,120485
2018-11-26 00:00:00,392.4,392.4,366.25,384.0,108538
2018-12-03 00:00:00,386.7,400.0,365.4,379.25,85693
2018-12-10 00:00:00,372.75,394.5,367.55,380.15,66553
2018-12-17 00:00:00,383.95,392.0,378.4,388.45,52912
2018-12-24 00:00:00,384.85,385.8,365.0,382.5,42585
2018-12-31 00:00:00,382.25,385.75,371.05,380.5,127163
2019-01-07 00:00:00,381.8,382.9,368.55,374.6,151163
2019-01-14 00:00:00,380.0,387.0,374.0,375.5,222326
