,Open,High,Low,Close,Volume
2018-07-03 09:15:00,460.2,478.0,460.2,473.95,9668
2018-07-13 09:15:00,462.15,470.0,462.15,468.15,9574
2018-07-18 09:15:00,458.1,464.8,450.0,450.95,12055
2018-07-23 09:15:00,446.2,455.0,443.1,452.65,7207
2018-08-02 09:15:00,459.0,470.0,455.0,467.2,17444
2018-08-07 09:15:00,438.1,442.65,433.3,435.15,269531
2018-08-17 09:15:00,444.45,448.0,437.5,443.55,31392
2018-08-27 09:15:00,444.0,448.0,434.6,440.4,313311
2018-09-06 09:15:00,434.85,436.8,429.05,433.55,35649
2018-09-11 09:15:00,436.0,438.15,430.05,430.95,50333
2018-09-21 09:15:00,439.1,439.1,414.8,430.35,142837
2018-09-26 09:15:00,431.2,438.55,431.2,435.1,40186
2018-10-01 09:15:00,429.0,430.1,420.8,428.4,48013
2018-10-11 09:15:00,405.25,422.0,405.2,420.45,10544
2018-10-16 09:15:00,410.95,413.9,406.55,409.25,6334
2018-10-26 09:15:00,344.8,356.5,330.3,340.7,363067
2018-10-31 09:15:00,347.6,356.85,339.5,340.85,149702
2018-11-05 09:00:00,371.0,371.0,360.0,364.7,31342
2018-11-15 09:15:00,373.45,384.0,373.45,382.25,21452
2018-11-20 09:15:00,398.5,404.05,395.1,396.45,30298
2018-11-30 09:15:00,378.0,386.95,374.55,384.0,24005
2018-12-05 09:15:00,386.4,386.45,375.0,378.25,8577
2018-12-10 09:15:00,372.75,378.0,370.0,373.9,10096
2018-12-20 09:15:00,385.7,389.3,381.55,385.25,11924
2019-01-04 09:15:00,378.0,382.8,371.05,380.5,106740
2019-01-09 09:15:00,375.6,379.95,370.1,374.65,20190
2019-01-14 09:15:00,380.0,387.0,375.1,377.25,29842
2019-01-24 09:15:00,385.0,385.0,375.2,377.7,11600
2019-01-29 09:15:00,365.05,368.0,350.2,355.5,13790
2019-02-08 09:15:00,347.95,349.85,344.85,346.4,12793
2019-02-18 09:15:00,327.35,330.0,321.35,329.5,11545
2019-02-28 09:15:00,331.9,335.05,331.8,333.45,7782
2019-03-05 09:15:00,337.0,349.0,337.0,348.65,19449
2019-03-15 09:15:00,379.9,393.9,379.0,386.75,814652
2019-03-20 09:15:00,390.0,395.0,384.0,385.85,78599
2019-03-25 09:15:00,384.9,384.9,369.1,373.9,108441
2019-04-04 09:15:00,387.8,393.55,385.0,386.15,44038
