,Open,High,Low,Close,Volume
2020-06-29 09:15:00,530.0,530.0,505.1,507.7,0
2020-06-29 09:20:00,507.55,510.5,506.65,510.25,1717785
2020-06-29 09:25:00,510.05,510.75,507.9,510.4,701694
2020-06-29 09:30:00,510.35,513.35,509.85,512.5,917099
2020-06-29 09:35:00,513.6,513.6,510.75,513.25,402381
2020-06-29 09:40:00,513.0,515.0,512.7,514.4,840052
2020-06-29 09:45:00,513.9,515.7,512.5,515.5,389673
2020-06-29 09:50:00,515.55,518.4,515.0,518.0,549012
2020-06-29 09:55:00,518.0,519.7,515.55,515.8,462862
2020-06-29 10:00:00,515.5,518.25,515.0,517.65,398494
2020-06-29 10:05:00,517.8,517.9,513.05,516.0,341756
2020-06-29 10:10:00,515.75,517.0,514.0,514.0,169294
2020-06-29 10:15:00,514.3,514.5,511.85,513.7,122080
2020-06-29 10:20:00,513.7,514.45,510.25,510.75,130189
2020-06-29 10:25:00,510.75,513.7,510.25,513.5,305145
2020-06-29 10:30:00,513.4,513.9,512.7,513.3,156640
2020-06-29 10:35:00,513.3,513.45,511.5,513.3,181912
2020-06-29 10:40:00,513.45,513.9,510.5,512.75,127176
2020-06-29 10:45:00,512.95,514.4,512.5,514.35,68666
2020-06-29 10:50:00,514.4,514.4,512.7,513.65,22294
2020-06-29 10:55:00,513.0,513.35,512.5,512.5,135397
2020-06-29 11:00:00,512.95,513.25,512.4,513.05,97073
2020-06-29 11:05:00,513.25,514.5,512.9,514.5,52569
2020-06-29 11:10:00,514.5,516.3,513.6,516.2,93301
2020-06-29 11:15:00,516.2,516.7,513.55,513.95,104157
2020-06-29 11:20:00,514.0,514.15,513.0,513.0,34910
2020-06-29 11:25:00,513.25,514.3,512.9,513.75,67245
2020-06-29 11:30:00,513.55,514.9,513.4,514.85,39321
2020-06-29 11:35:00,514.35,514.8,513.6,514.25,18936
2020-06-29 11:40:00,514.0,516.3,514.0,516.3,42948
2020-06-29 11:45:00,516.15,522.05,516.15,520.85,394013
2020-06-29 11:50:00,520.95,522.25,520.35,520.45,146650
2020-06-29 11:55:00,520.55,523.55,520.5,521.7,121878
2020-06-29 12:00:00,521.5,522.45,518.1,519.4,68068
2020-06-29 12:05:00,519.0,519.85,517.5,519.0,31011
2020-06-29 12:10:00,518.75,520.0,518.15,519.7,42192
2020-06-29 12:15:00,519.7,520.0,518.0,518.2,21780
2020-06-29 12:20:00,518.55,519.75,518.05,519.0,15922
2020-06-29 12:25:00,518.95,520.0,518.95,519.4,60400
2020-06-29 12:30:00,520.0,521.9,519.9,521.0,53680
2020-06-29 12:35:00,520.85,521.0,520.4,520.95,38661
2020-06-29 12:40:00,520.95,520.95,519.05,520.0,14482
2020-06-29 12:45:00,519.95,520.0,519.05,519.7,25156
2020-06-29 12:50:00,519.7,520.0,519.0,520.0,16728
2020-06-29 12:55:00,519.95,519.95,519.0,519.0,25995
2020-06-29 13:00:00,518.9,521.0,518.9,521.0,45534
2020-06-29 13:05:00,520.6,521.9,519.45,521.8,110492
2020-06-29 13:10:00,521.8,521.8,519.5,520.55,49521
2020-06-29 13:15:00,520.8,520.95,519.45,520.15,67125
2020-06-29 13:20:00,520.1,520.45,519.5,520.25,65486
2020-06-29 13:25:00,520.1,524.25,520.1,524.25,137747
2020-06-29 13:30:00,523.75,524.25,522.05,523.05,52062
2020-06-29 13:35:00,523.35,523.4,520.2,520.2,36890
2020-06-29 13:40:00,520.3,521.0,518.55,518.8,38926
2020-06-29 13:45:00,518.75,518.75,513.3,518.65,135721
2020-06-29 13:50:00,518.15,518.6,518.0,518.25,23131
2020-06-29 13:55:00,518.1,520.0,518.1,520.0,44433
2020-06-29 14:00:00,519.9,521.4,519.6,520.35,86204
2020-06-29 14:05:00,520.25,520.4,518.5,520.0,30266
2020-06-29 14:10:00,520.1,520.35,519.1,519.4,18580
2020-06-29 14:15:00,519.2,520.0,518.35,518.5,12303
2020-06-29 14:20:00,518.5,519.0,518.3,518.45,7793
2020-06-29 14:25:00,518.45,519.9,518.45,519.3,6032
2020-06-29 14:30:00,519.55,519.85,518.65,518.85,42134
2020-06-29 14:35:00,518.65,518.85,516.3,518.5,17523
2020-06-29 14:40:00,518.5,519.0,517.0,518.75,115899
2020-06-29 14:45:00,518.95,519.0,517.0,518.0,35398
2020-06-29 14:50:00,517.75,518.0,515.0,515.9,92353
2020-06-29 14:55:00,515.9,515.9,513.8,514.0,84928
2020-06-29 15:00:00,514.5,518.65,514.0,518.0,144757
2020-06-29 15:05:00,518.05,518.5,517.0,518.0,52470
2020-06-29 15:10:00,518.0,518.0,516.05,516.5,51268
2020-06-29 15:15:00,516.15,517.35,515.75,516.7,204326
2020-06-29 15:20:00,516.7,518.5,516.0,518.3,226352
2020-06-29 15:25:00,518.5,522.2,518.0,522.0,198020
2020-06-30 09:15:00,524.5,529.8,520.05,522.5,424699
2020-06-30 09:20:00,522.4,524.85,520.1,520.55,205154
2020-06-30 09:25:00,520.95,525.0,520.75,523.65,137276
2020-06-30 09:30:00,523.65,526.05,523.65,525.5,187122
