,Open,High,Low,Close,Volume
2020-06-03 10:45:00,482.5,482.9,476.0,479.6,54588
2020-06-03 12:15:00,478.7,480.9,473.6,475.95,310448
2020-06-03 13:45:00,476.0,478.1,469.0,471.0,376018
2020-06-03 15:15:00,471.0,471.95,469.7,470.7,89492
2020-06-04 09:15:00,473.0,478.0,468.65,475.7,213736
2020-06-04 10:45:00,475.7,475.7,467.1,469.85,159322
2020-06-04 12:15:00,469.85,469.9,465.3,469.6,97044
2020-06-04 13:45:00,469.9,473.35,467.0,470.15,127256
2020-06-04 15:15:00,470.0,471.3,469.95,469.95,69324
2020-06-05 09:15:00,471.2,475.0,468.2,472.0,135708
2020-06-05 10:45:00,472.0,477.9,471.4,474.5,152326
2020-06-05 12:15:00,474.5,475.0,473.0,475.0,67164
2020-06-05 13:45:00,474.95,475.0,469.65,471.5,169024
2020-06-05 15:15:00,471.1,475.0,470.1,471.05,64494
2020-06-08 09:15:00,475.7,477.0,470.6,472.95,176458
2020-06-08 10:45:00,472.9,473.8,471.0,471.6,47350
2020-06-08 12:15:00,470.35,472.45,464.05,469.75,164672
2020-06-08 13:45:00,469.8,471.1,466.1,467.95,512204
2020-06-08 15:15:00,468.6,468.8,467.0,467.0,35464
2020-06-09 09:15:00,470.0,473.35,465.5,470.0,336929
2020-06-09 10:45:00,469.7,479.3,469.65,475.95,443486
2020-06-09 12:15:00,475.5,480.0,473.5,474.5,410134
2020-06-09 13:45:00,474.5,479.4,472.1,474.8,424566
2020-06-09 15:15:00,475.25,476.0,472.1,474.95,91470
2020-06-10 09:15:00,475.05,479.4,473.0,477.5,289519
2020-06-10 10:45:00,477.5,488.45,474.0,485.7,374034
2020-06-10 12:15:00,485.2,489.6,482.65,484.2,481834
2020-06-10 13:45:00,484.8,485.25,477.4,482.0,311750
2020-06-10 15:15:00,483.8,484.9,480.2,482.2,95578
2020-06-11 09:15:00,483.0,493.8,480.2,489.0,466357
2020-06-11 10:45:00,489.0,494.75,485.9,492.0,405936
2020-06-11 12:15:00,491.55,496.35,488.0,493.8,555424
2020-06-11 13:45:00,493.8,495.0,483.0,487.3,441072
2020-06-11 15:15:00,487.3,492.65,486.75,488.3,122682
2020-06-12 09:15:00,466.35,482.75,466.35,476.6,335828
2020-06-12 10:45:00,476.85,483.45,475.05,482.0,228700
2020-06-12 12:15:00,482.0,488.9,478.35,486.9,167460
2020-06-12 13:45:00,486.8,494.5,484.05,494.0,314118
2020-06-12 15:15:00,493.6,494.5,489.4,492.55,104664
2020-06-15 09:15:00,494.8,509.65,491.0,502.7,832538
2020-06-15 10:45:00,502.35,504.9,497.0,497.35,215362
2020-06-15 12:15:00,497.3,508.45,495.55,505.7,343506
2020-06-15 13:45:00,505.75,514.75,503.3,506.8,919808
2020-06-15 15:15:00,506.9,510.3,506.0,508.35,198806
2020-06-16 09:15:00,512.25,513.4,504.0,510.75,348060
2020-06-16 10:45:00,510.35,510.75,505.0,506.0,154844
2020-06-16 12:15:00,505.75,506.5,485.0,494.45,456332
2020-06-16 13:45:00,493.7,505.0,493.7,500.3,279128
2020-06-16 15:15:00,500.9,504.25,500.0,501.95,103350
2020-06-17 09:15:00,505.0,510.0,497.25,499.0,213754
2020-06-17 10:45:00,498.7,506.1,498.4,504.2,126918
2020-06-17 12:15:00,504.65,507.1,500.65,502.45,167148
2020-06-17 13:45:00,503.1,506.0,500.05,505.0,152662
2020-06-17 15:15:00,505.3,506.0,502.6,504.6,112348
2020-06-18 09:15:00,505.6,514.4,502.55,509.85,345719
2020-06-18 10:45:00,510.2,510.25,507.1,509.0,73036
2020-06-18 12:15:00,509.4,510.85,506.5,510.45,66686
2020-06-18 13:45:00,510.0,510.6,505.6,508.8,112746
2020-06-18 15:15:00,508.8,509.35,506.3,508.45,23710
2020-06-19 09:15:00,510.7,520.0,507.45,517.05,469449
2020-06-19 10:45:00,517.75,518.95,514.95,518.4,167990
2020-06-19 12:15:00,518.7,519.95,515.0,517.9,137958
2020-06-19 13:45:00,518.3,535.5,515.7,535.5,869730
2020-06-19 15:15:00,535.5,541.9,534.5,534.5,448996
2020-06-22 09:15:00,544.0,567.8,542.05,550.0,1682617
2020-06-22 10:45:00,550.0,569.7,548.0,568.55,763330
2020-06-22 12:15:00,568.9,576.0,563.0,572.25,1036580
2020-06-22 13:45:00,572.25,575.0,563.1,571.0,803032
2020-06-22 15:15:00,571.0,580.15,570.6,579.0,600774
2020-06-23 09:15:00,585.0,587.8,567.0,570.55,749618
2020-06-23 10:45:00,570.25,572.4,546.9,554.15,532224
2020-06-23 12:15:00,554.9,565.0,553.6,557.8,270008
2020-06-23 13:45:00,557.9,563.35,555.8,557.0,226482
2020-06-23 15:15:00,557.0,561.45,557.0,559.3,112862
2020-06-24 09:15:00,556.95,563.0,546.65,548.55,439292
2020-06-24 10:45:00,548.95,549.0,540.5,541.55,268164
2020-06-24 12:15:00,541.5,544.35,536.05,538.4,195858
2020-06-24 13:45:00,537.5,539.9,530.1,534.5,310532
2020-06-24 15:15:00,534.8,539.0,534.5,539.0,90638
2020-06-25 09:15:00,534.9,550.5,531.0,542.6,330674
2020-06-25 10:45:00,542.0,544.0,537.5,538.75,100858
2020-06-25 12:15:00,539.25,540.4,538.6,539.85,139590
2020-06-25 13:45:00,540.0,540.35,538.3,540.0,114490
2020-06-25 15:15:00,539.95,540.0,538.05,539.8,52598
2020-06-26 09:15:00,542.2,549.65,541.0,545.5,206294
2020-06-26 10:45:00,545.5,548.0,537.2,539.75,194118
2020-06-26 12:15:00,539.8,541.2,531.0,537.0,308102
2020-06-26 13:45:00,537.5,542.5,535.35,542.5,171384
2020-06-26 15:15:00,542.85,544.05,539.05,541.65,43676
2020-06-29 09:15:00,530.0,530.0,505.1,512.75,18039922
2020-06-29 10:45:00,512.95,523.55,512.4,519.7,3161258
2020-06-29 12:15:00,519.7,524.25,518.0,518.8,1753174
2020-06-29 13:45:00,518.75,521.4,513.3,516.5,2002386
2020-06-29 15:15:00,516.15,522.2,515.75,522.0,1257396
2020-06-30 09:15:00,524.5,529.8,514.25,521.4,2314025
2020-06-30 10:45:00,521.4,524.5,518.05,522.3,498354
2020-06-30 12:15:00,522.75,523.9,520.6,522.6,412996
2020-06-30 13:45:00,522.8,523.35,516.0,519.0,631068
2020-06-30 15:15:00,519.0,521.35,518.2,519.45,94892
2020-07-01 09:15:00,524.35,524.35,516.5,520.65,357420
2020-07-01 10:45:00,520.7,525.0,518.6,524.05,236382
2020-07-01 12:15:00,524.0,524.95,521.55,522.8,167294
2020-07-01 13:45:00,522.8,524.95,521.5,524.85,209250
2020-07-01 15:15:00,524.95,530.35,524.75,527.2,287870
2020-07-02 09:15:00,532.0,536.35,528.1,531.05,509212
2020-07-02 10:45:00,531.0,537.9,528.1,530.6,704676
2020-07-02 12:15:00,530.6,531.0,528.65,530.0,143470
2020-07-02 13:45:00,530.0,530.8,524.0,525.2,264924
2020-07-02 15:15:00,525.5,526.95,525.1,525.3,73130
2020-07-03 09:15:00,528.0,528.8,521.55,527.8,146877
2020-07-03 10:45:00,527.8,528.5,526.75,528.0,88297
2020-07-03 12:07:33,528.25,528.25,528.25,528.25,0
