,Open,High,Low,Close,Volume
2020-07-03 09:15:00,528.0,528.0,527.1,527.1,0.0
2020-07-03 09:16:00,527.85,527.9,526.0,527.0,1131.0
2020-07-03 09:17:00,527.5,528.8,527.45,528.0,7881.0
2020-07-03 09:18:00,527.95,528.55,527.8,528.0,2447.0
2020-07-03 09:19:00,528.0,528.75,527.55,528.25,3362.0
2020-07-03 09:20:00,527.55,528.0,526.95,527.0,3291.0
2020-07-03 09:21:00,527.05,528.2,527.05,527.55,1167.0
2020-07-03 09:22:00,527.5,528.0,527.25,528.0,1292.0
2020-07-03 09:23:00,527.5,528.35,527.25,527.25,1602.0
2020-07-03 09:24:00,527.9,528.0,527.2,527.2,1385.0
2020-07-03 09:25:00,527.7,527.9,527.25,527.25,1572.0
2020-07-03 09:26:00,528.0,528.1,527.0,528.05,5353.0
2020-07-03 09:27:00,528.0,528.4,528.0,528.0,4131.0
2020-07-03 09:28:00,528.0,528.25,528.0,528.0,769.0
2020-07-03 09:29:00,528.25,528.25,528.0,528.15,2735.0
2020-07-03 09:30:00,528.15,528.7,528.0,528.05,858.0
2020-07-03 09:31:00,528.05,528.75,528.0,528.0,1006.0
2020-07-03 09:32:00,528.0,528.15,527.1,527.25,1417.0
2020-07-03 09:33:00,527.3,528.3,527.3,527.6,1479.0
2020-07-03 09:34:00,527.6,528.15,527.25,527.25,296.0
2020-07-03 09:35:00,527.0,527.0,525.05,525.05,6757.0
2020-07-03 09:36:00,525.0,525.0,524.1,524.4,1243.0
2020-07-03 09:37:00,524.8,526.0,524.5,525.7,2459.0
2020-07-03 09:38:00,525.95,526.0,524.4,524.4,988.0
2020-07-03 09:39:00,525.0,525.8,524.3,524.5,2046.0
2020-07-03 09:40:00,524.95,525.0,523.0,523.0,3022.0
2020-07-03 09:41:00,523.45,523.45,522.0,522.95,2655.0
2020-07-03 09:42:00,522.0,522.9,521.7,521.95,1894.0
2020-07-03 09:43:00,521.7,522.0,521.7,522.0,985.0
2020-07-03 09:44:00,522.0,523.4,521.95,523.4,1984.0
2020-07-03 09:45:00,522.85,524.9,522.0,524.9,1771.0
2020-07-03 09:46:00,524.0,524.0,522.6,523.45,2890.0
2020-07-03 09:47:00,523.45,524.15,522.0,522.0,3697.0
2020-07-03 09:48:00,522.55,523.95,521.55,523.95,4005.0
2020-07-03 09:49:00,523.3,524.4,523.3,524.4,422.0
2020-07-03 09:50:00,524.4,524.95,524.3,524.95,611.0
2020-07-03 09:51:00,525.0,527.7,524.9,527.7,2936.0
2020-07-03 09:52:00,526.9,527.1,526.15,526.15,830.0
2020-07-03 09:53:00,526.5,526.5,525.3,525.5,688.0
2020-07-03 09:54:00,525.5,525.9,525.0,525.1,730.0
2020-07-03 09:55:00,525.05,525.05,524.2,524.45,751.0
2020-07-03 09:56:00,525.0,525.0,524.5,524.6,232.0
2020-07-03 09:57:00,524.6,524.9,524.0,524.55,1051.0
2020-07-03 09:58:00,524.1,525.45,524.1,524.25,1721.0
2020-07-03 09:59:00,524.2,525.5,524.05,524.65,1634.0
2020-07-03 10:00:00,525.4,525.7,524.25,525.5,1806.0
2020-07-03 10:01:00,526.1,526.4,525.55,525.6,314.0
2020-07-03 10:02:00,525.65,527.65,525.65,527.65,1673.0
2020-07-03 10:03:00,527.3,527.5,524.2,524.2,7670.0
2020-07-03 10:04:00,525.25,525.95,525.25,525.25,858.0
2020-07-03 10:05:00,525.55,526.85,525.55,526.15,343.0
2020-07-03 10:06:00,526.45,527.4,526.45,526.8,585.0
2020-07-03 10:07:00,527.5,527.75,527.0,527.0,392.0
2020-07-03 10:08:00,527.5,527.6,527.0,527.6,1173.0
2020-07-03 10:09:00,527.1,527.75,527.0,527.05,377.0
2020-07-03 10:10:00,527.65,527.7,527.0,527.0,957.0
2020-07-03 10:11:00,527.05,527.5,527.05,527.15,557.0
2020-07-03 10:12:00,527.0,527.5,526.35,526.35,705.0
2020-07-03 10:13:00,526.4,527.0,526.35,526.55,355.0
2020-07-03 10:14:00,526.5,527.0,525.05,525.2,1563.0
2020-07-03 10:15:00,525.85,526.0,525.0,525.75,1047.0
2020-07-03 10:16:00,525.85,525.85,525.1,525.35,275.0
2020-07-03 10:17:00,526.0,526.0,525.35,525.75,3332.0
2020-07-03 10:18:00,526.55,526.55,525.8,525.8,441.0
2020-07-03 10:19:00,525.95,526.95,525.95,526.1,1791.0
2020-07-03 10:20:00,526.3,527.5,526.3,527.25,874.0
2020-07-03 10:21:00,527.9,527.9,526.8,527.05,1341.0
2020-07-03 10:22:00,528.0,528.25,527.55,528.0,2149.0
2020-07-03 10:23:00,528.0,528.6,527.35,527.6,3335.0
2020-07-03 10:24:00,528.5,528.5,527.6,527.75,281.0
2020-07-03 10:25:00,527.75,528.0,527.75,527.75,765.0
2020-07-03 10:26:00,527.75,528.35,527.6,527.6,5181.0
2020-07-03 10:27:00,527.6,527.7,527.15,527.4,517.0
2020-07-03 10:28:00,527.8,527.8,527.1,527.1,568.0
2020-07-03 10:29:00,527.85,527.95,525.55,526.0,3282.0
2020-07-03 10:30:00,526.0,527.75,526.0,527.25,299.0
2020-07-03 10:31:00,527.05,527.8,527.0,527.3,520.0
2020-07-03 10:32:00,527.4,527.5,527.0,527.1,385.0
2020-07-03 10:33:00,527.15,527.5,527.15,527.2,301.0
2020-07-03 10:34:00,527.5,527.5,527.2,527.3,741.0
2020-07-03 10:35:00,527.5,527.8,527.35,527.35,201.0
2020-07-03 10:36:00,527.8,527.8,527.0,527.2,1129.0
2020-07-03 10:37:00,527.1,527.7,527.05,527.35,1336.0
2020-07-03 10:38:00,527.3,527.95,527.3,527.35,802.0
2020-07-03 10:39:00,527.95,528.0,526.6,526.6,3700.0
2020-07-03 10:40:00,527.6,527.7,526.85,527.05,775.0
2020-07-03 10:41:00,527.05,527.9,527.05,527.2,291.0
2020-07-03 10:42:00,527.2,527.9,527.2,527.3,226.0
2020-07-03 10:43:00,527.35,527.8,527.35,527.75,312.0
2020-07-03 10:44:00,527.75,527.8,527.35,527.8,176.0
2020-07-03 10:45:00,527.8,527.8,527.8,527.8,13.0
2020-07-03 10:46:00,527.8,527.95,527.5,527.95,1486.0
2020-07-03 10:47:00,527.95,527.95,527.5,527.95,31.0
2020-07-03 10:48:00,527.95,527.95,527.95,527.95,140.0
2020-07-03 10:49:00,527.9,527.95,527.4,527.95,592.0
2020-07-03 10:50:00,527.95,527.95,527.8,527.8,20.0
2020-07-03 10:51:00,527.8,527.8,527.4,527.75,15.0
2020-07-03 10:52:00,527.4,527.7,527.4,527.5,248.0
2020-07-03 10:53:00,527.4,527.75,527.4,527.75,710.0
2020-07-03 10:54:00,527.75,527.75,527.6,527.75,250.0
2020-07-03 10:55:00,527.5,527.5,527.5,527.5,248.0
2020-07-03 10:56:00,527.5,527.5,527.5,527.5,5.0
2020-07-03 10:57:00,527.5,527.5,527.5,527.5,62.0
2020-07-03 10:58:00,527.5,527.7,527.2,527.7,1349.0
2020-07-03 10:59:00,527.7,528.25,527.7,528.25,5017.0
2020-07-03 11:00:00,528.0,528.25,527.0,527.8,2557.0
2020-07-03 11:01:00,527.25,527.95,527.05,527.05,866.0
2020-07-03 11:02:00,527.8,527.95,527.8,527.95,1200.0
2020-07-03 11:03:00,527.95,527.95,527.3,527.9,225.0
2020-07-03 11:04:00,527.9,527.9,527.5,527.75,262.0
2020-07-03 11:05:00,527.5,527.8,527.35,527.35,517.0
2020-07-03 11:06:00,527.75,527.8,527.75,527.75,170.0
2020-07-03 11:07:00,527.8,527.8,527.8,527.8,36.0
2020-07-03 11:08:00,527.8,527.9,527.35,527.35,1189.0
2020-07-03 11:09:00,527.45,527.95,527.0,527.0,2371.0
2020-07-03 11:10:00,527.0,527.35,527.0,527.35,802.0
2020-07-03 11:11:00,527.3,527.3,526.95,527.25,507.0
2020-07-03 11:12:00,527.25,527.25,526.75,527.05,636.0
2020-07-03 11:13:00,527.1,527.35,527.0,527.35,1094.0
2020-07-03 11:14:00,527.3,527.35,526.9,527.35,3383.0
2020-07-03 11:15:00,526.95,527.35,526.95,527.35,1982.0
2020-07-03 11:16:00,527.5,528.25,527.35,528.25,4114.0
2020-07-03 11:17:00,528.3,528.4,528.05,528.05,517.0
2020-07-03 11:18:00,528.3,528.3,528.3,528.3,40.0
2020-07-03 11:19:00,528.3,528.4,528.3,528.4,3120.0
2020-07-03 11:20:00,528.25,528.35,528.0,528.3,940.0
2020-07-03 11:21:00,528.3,528.4,528.0,528.0,4235.0
2020-07-03 11:22:00,528.0,528.4,528.0,528.0,87.0
2020-07-03 11:23:00,528.4,528.4,528.4,528.4,1952.0
2020-07-03 11:24:00,528.0,528.35,527.75,527.75,726.0
2020-07-03 11:25:00,527.9,527.9,527.65,527.9,224.0
2020-07-03 11:26:00,527.9,527.9,527.9,527.9,662.0
2020-07-03 11:27:00,527.9,527.9,527.9,527.9,47.0
2020-07-03 11:28:00,527.9,527.9,527.25,527.25,1166.0
2020-07-03 11:29:00,527.35,527.35,527.05,527.05,705.0
2020-07-03 11:30:00,527.55,527.55,527.0,527.0,597.0
2020-07-03 11:31:00,527.05,527.05,527.05,527.05,0.0
2020-07-03 11:33:00,527.05,527.05,527.05,527.05,350.0
2020-07-03 11:34:00,527.45,527.45,527.45,527.45,299.0
2020-07-03 11:35:00,527.65,527.65,527.65,527.65,0.0
2020-07-03 11:36:00,527.65,527.65,527.05,527.5,649.0
2020-07-03 11:37:00,527.85,527.85,527.15,527.15,639.0
2020-07-03 11:38:00,527.25,527.25,527.25,527.25,0.0
2020-07-03 11:39:00,528.0,528.0,527.35,527.45,1021.0
2020-07-03 11:40:00,528.0,528.0,527.45,527.45,1188.0
2020-07-03 11:41:00,528.0,528.0,527.55,527.55,0.0
2020-07-03 11:42:00,527.55,527.55,527.55,527.55,13.0
2020-07-03 11:43:00,528.0,528.35,527.75,528.35,983.0
2020-07-03 11:44:00,527.55,528.4,527.55,527.65,557.0
2020-07-03 11:45:00,527.6,527.6,527.45,527.45,0.0
2020-07-03 11:46:00,528.0,528.1,527.4,527.4,217.0
2020-07-03 11:47:00,528.05,528.05,528.05,528.05,0.0
2020-07-03 11:48:00,528.05,528.4,527.3,528.4,3413.0
2020-07-03 11:49:00,528.35,528.5,528.35,528.5,7406.0
2020-07-03 11:50:00,528.5,528.5,528.0,528.0,157.0
2020-07-03 11:51:00,527.9,528.5,527.9,528.05,463.0
2020-07-03 11:52:00,527.9,528.1,527.9,528.1,27.0
2020-07-03 11:53:00,528.1,528.1,528.1,528.1,175.0
2020-07-03 11:54:00,528.0,528.25,528.0,528.25,1005.0
2020-07-03 11:55:00,528.25,528.25,528.0,528.0,560.0
2020-07-03 11:56:00,528.0,528.25,528.0,528.25,0.0
2020-07-03 11:57:00,528.25,528.25,527.85,527.85,550.0
2020-07-03 11:58:00,527.35,527.55,527.35,527.55,12098.0
2020-07-03 12:00:00,528.0,528.0,527.45,528.0,507.0
2020-07-03 12:01:00,528.0,528.0,528.0,528.0,680.0
2020-07-03 12:02:00,528.2,528.2,528.2,528.2,53.0
2020-07-03 12:03:00,527.6,527.6,527.4,527.4,99.0
2020-07-03 12:04:00,527.3,528.0,527.3,527.4,610.0
2020-07-03 12:05:00,528.0,528.4,528.0,528.1,3431.0
2020-07-03 12:06:00,528.1,528.4,528.0,528.0,4040.0
2020-07-03 12:07:07,528.4,528.4,528.4,528.4,0.0
