,Open,High,Low,Close,Volume
2016-12-01 00:00:00,489.9,498.9,452.2,480.85,26013228
2017-01-01 00:00:00,482.0,499.7,462.8,474.75,3605034
2017-02-01 00:00:00,470.5,585.0,467.0,509.95,9548861
2017-03-01 00:00:00,512.85,539.8,496.3,516.2,2809940
2017-04-01 00:00:00,517.0,533.85,502.5,519.9,2377141
2017-05-01 00:00:00,519.9,593.9,513.05,572.5,3542382
2017-06-01 00:00:00,575.0,634.5,569.2,615.15,3991028
2017-07-01 00:00:00,617.0,640.0,571.55,580.7,2125828
2017-08-01 00:00:00,577.4,595.0,418.9,527.35,1688695
2017-09-01 00:00:00,526.0,568.0,504.9,507.15,1856268
2017-10-01 00:00:00,507.15,556.95,502.25,538.4,1215028
2017-11-01 00:00:00,535.1,557.85,514.7,525.4,2011195
2017-12-01 00:00:00,549.0,579.9,499.0,542.9,3132075
2018-01-01 00:00:00,548.0,565.0,508.0,516.6,2152295
2018-02-01 00:00:00,517.05,549.9,491.2,543.55,1382796
2018-03-01 00:00:00,543.55,547.65,495.0,502.85,1177413
2018-04-01 00:00:00,505.2,520.0,496.9,511.3,1869829
2018-05-01 00:00:00,511.3,519.8,437.05,471.95,1857494
2018-06-01 00:00:00,470.05,509.9,448.6,461.9,1657761
2018-07-01 00:00:00,462.4,503.1,440.2,454.7,381886
2018-08-01 00:00:00,453.9,472.0,427.0,438.45,3965246
2018-09-01 00:00:00,439.5,446.8,414.8,432.7,1538678
2018-10-01 00:00:00,429.0,435.0,330.3,340.85,1704822
2018-11-01 00:00:00,343.6,404.35,343.1,384.0,724729
2018-12-01 00:00:00,386.7,400.0,365.0,379.55,252820
2019-01-01 00:00:00,379.05,387.0,350.2,370.3,719257
2019-02-01 00:00:00,361.0,372.55,321.35,333.45,421038
2019-03-01 00:00:00,333.0,412.05,332.3,399.55,7090920
2019-04-01 00:00:00,403.7,408.5,377.25,382.3,1074205
2019-05-01 00:00:00,382.3,407.5,352.4,360.55,1019218
2019-06-01 00:00:00,360.05,365.95,322.0,336.7,545186
2019-07-01 00:00:00,337.55,368.9,331.0,335.9,674030
2019-08-01 00:00:00,343.0,347.95,314.05,328.75,630376
2019-09-01 00:00:00,328.75,376.9,321.0,374.35,584282
2019-10-01 00:00:00,371.0,376.25,303.3,369.8,1046490
2019-11-01 00:00:00,407.0,418.8,326.6,350.25,4158925
2019-12-01 00:00:00,350.95,386.55,329.0,359.75,1942962
2020-01-01 00:00:00,358.0,459.95,358.0,430.35,4873987
2020-02-01 00:00:00,425.8,453.3,360.0,413.55,4211672
2020-03-01 00:00:00,416.15,437.8,295.0,324.8,1937164
2020-04-01 00:00:00,328.0,536.0,316.05,512.5,12141854
2020-05-01 00:00:00,512.0,525.0,421.65,468.45,44684583
2020-06-01 00:00:00,470.95,587.8,461.1,519.45,32132115
2020-07-01 00:00:00,524.4,530.4,516.35,527.2,667699
2020-07-03 12:07:43,527.5,528.8,521.55,527.75,241619
