,Open,High,Low,Close,Volume
2020-06-03 11:45:00,482.5,482.9,476.0,479.6,54588
2020-06-03 12:15:00,478.7,480.9,476.4,478.5,134068
2020-06-03 12:45:00,478.2,479.0,473.6,475.0,113902
2020-06-03 13:15:00,475.45,478.0,474.4,475.95,62478
2020-06-03 13:45:00,476.0,478.1,473.0,475.8,78338
2020-06-03 14:15:00,475.75,477.7,475.0,477.1,67522
2020-06-03 14:45:00,477.25,477.3,469.0,471.0,230158
2020-06-03 15:15:00,471.0,471.95,469.7,470.7,89492
2020-06-04 09:15:00,473.0,475.5,468.65,471.0,92808
2020-06-04 09:45:00,471.0,478.0,471.0,476.0,90492
2020-06-04 10:15:00,476.0,477.0,474.35,475.7,30436
2020-06-04 10:45:00,475.7,475.7,473.0,474.6,44738
2020-06-04 11:15:00,474.1,474.85,469.0,471.2,48428
2020-06-04 11:45:00,471.5,471.75,467.1,469.85,66156
2020-06-04 12:15:00,469.85,469.9,467.25,468.5,30522
2020-06-04 12:45:00,469.0,469.8,465.3,467.55,42188
2020-06-04 13:15:00,467.35,469.9,467.2,469.6,24334
2020-06-04 13:45:00,469.9,470.0,468.5,469.0,24210
2020-06-04 14:15:00,469.6,473.35,469.0,473.05,23606
2020-06-04 14:45:00,473.0,473.0,467.0,470.15,79440
2020-06-04 15:15:00,470.0,471.3,469.95,469.95,69324
2020-06-05 09:15:00,471.2,475.0,471.0,471.65,68322
2020-06-05 09:45:00,472.65,475.0,471.3,472.3,40214
2020-06-05 10:15:00,472.35,472.5,468.2,472.0,27172
2020-06-05 10:45:00,472.0,474.3,471.4,474.25,39612
2020-06-05 11:15:00,474.25,477.9,473.0,475.0,83976
2020-06-05 11:45:00,475.0,476.0,474.1,474.5,28738
2020-06-05 12:15:00,474.5,474.9,473.0,474.0,26728
2020-06-05 12:45:00,474.0,474.7,473.0,473.95,19144
2020-06-05 13:15:00,473.95,475.0,473.3,475.0,21292
2020-06-05 13:45:00,474.95,475.0,473.0,473.2,23216
2020-06-05 14:15:00,473.2,473.9,471.25,473.65,54776
2020-06-05 14:45:00,473.15,473.9,469.65,471.5,91032
2020-06-05 15:15:00,471.1,475.0,470.1,471.05,64494
2020-06-08 09:15:00,475.7,477.0,472.15,475.25,89256
2020-06-08 09:45:00,475.25,476.0,472.1,474.0,50970
2020-06-08 10:15:00,473.5,474.5,470.6,472.95,36232
2020-06-08 10:45:00,472.9,473.8,471.85,472.0,17288
2020-06-08 11:15:00,472.05,473.4,471.0,472.0,17000
2020-06-08 11:45:00,471.65,472.0,471.0,471.6,13062
2020-06-08 12:15:00,470.35,472.45,465.1,469.5,80086
2020-06-08 12:45:00,469.5,470.0,464.05,469.5,54610
2020-06-08 13:15:00,469.5,469.75,466.5,469.75,29976
2020-06-08 13:45:00,469.8,471.1,467.25,467.7,31420
2020-06-08 14:15:00,467.65,469.5,466.1,467.1,39582
2020-06-08 14:45:00,467.45,469.5,466.5,467.95,30064
2020-06-08 15:15:00,468.6,468.8,467.0,467.0,35464
2020-06-09 09:15:00,470.0,471.1,465.5,469.25,119045
2020-06-09 09:45:00,469.25,473.35,468.5,469.2,116954
2020-06-09 10:15:00,469.1,472.5,469.0,470.0,100930
2020-06-09 10:45:00,469.7,475.0,469.65,474.5,112896
2020-06-09 11:15:00,474.5,477.5,473.65,475.0,169306
2020-06-09 11:45:00,475.0,479.3,474.4,475.95,161284
2020-06-09 12:15:00,475.5,477.5,474.8,477.5,74306
2020-06-09 12:45:00,477.0,480.0,475.85,478.0,226060
2020-06-09 13:15:00,478.0,478.7,473.5,474.5,109768
2020-06-09 13:45:00,474.5,479.4,473.55,475.0,183402
2020-06-09 14:15:00,475.0,476.0,473.65,473.8,86194
2020-06-09 14:45:00,474.0,476.0,472.1,474.8,154970
2020-06-09 15:15:00,475.25,476.0,472.1,474.95,91470
2020-06-10 09:15:00,475.05,479.4,473.0,478.0,152727
2020-06-10 09:45:00,478.0,478.95,476.35,478.0,67688
2020-06-10 10:15:00,478.0,479.4,477.4,477.5,69104
2020-06-10 10:45:00,477.5,478.8,477.05,477.6,24758
2020-06-10 11:15:00,477.6,478.4,474.0,474.85,54944
2020-06-10 11:45:00,474.85,488.45,474.55,485.7,294332
2020-06-10 12:15:00,485.2,489.6,482.65,484.3,297134
2020-06-10 12:45:00,484.85,488.85,484.3,484.3,125332
2020-06-10 13:15:00,484.15,487.0,484.0,484.2,59368
2020-06-10 13:45:00,484.8,485.15,484.0,484.35,23560
2020-06-10 14:15:00,484.5,485.25,477.4,480.85,143814
2020-06-10 14:45:00,481.0,483.6,478.6,482.0,144376
2020-06-10 15:15:00,483.8,484.9,480.2,482.2,95578
2020-06-11 09:15:00,483.0,493.5,480.2,492.8,208525
2020-06-11 09:45:00,493.4,493.8,486.5,491.5,188434
2020-06-11 10:15:00,491.25,491.6,488.05,489.0,69398
2020-06-11 10:45:00,489.0,489.85,485.9,487.35,82668
2020-06-11 11:15:00,487.35,494.5,486.55,493.8,164338
2020-06-11 11:45:00,493.6,494.75,491.9,492.0,158930
2020-06-11 12:15:00,491.55,492.0,488.0,491.2,129990
2020-06-11 12:45:00,491.8,496.35,491.6,494.6,296588
2020-06-11 13:15:00,494.6,496.0,490.2,493.8,128846
2020-06-11 13:45:00,493.8,495.0,488.2,489.0,111782
2020-06-11 14:15:00,489.0,489.0,483.0,485.0,205342
2020-06-11 14:45:00,485.8,488.4,483.2,487.3,123948
2020-06-11 15:15:00,487.3,492.65,486.75,488.3,122682
2020-06-12 09:15:00,466.35,482.75,466.35,479.0,192756
2020-06-12 09:45:00,479.0,481.1,475.75,477.5,82678
2020-06-12 10:15:00,477.55,478.9,476.0,476.6,60394
2020-06-12 10:45:00,476.85,478.0,475.8,475.95,44638
2020-06-12 11:15:00,476.4,480.25,475.05,478.95,107252
2020-06-12 11:45:00,478.5,483.45,478.5,482.0,76810
2020-06-12 12:15:00,482.0,482.15,478.35,481.4,36008
2020-06-12 12:45:00,481.0,487.9,480.0,487.6,78350
2020-06-12 13:15:00,487.05,488.9,486.05,486.9,53102
2020-06-12 13:45:00,486.8,487.85,484.05,487.85,40540
2020-06-12 14:15:00,487.45,492.45,486.85,491.15,132962
2020-06-12 14:45:00,491.1,494.5,486.95,494.0,140616
2020-06-12 15:15:00,493.6,494.5,489.4,492.55,104664
2020-06-15 09:15:00,494.8,509.0,491.0,506.2,315678
2020-06-15 09:45:00,505.95,509.65,503.55,508.0,260728
2020-06-15 10:15:00,507.5,509.4,497.0,502.7,256132
2020-06-15 10:45:00,502.35,504.9,497.5,497.5,106512
2020-06-15 11:15:00,497.8,502.0,497.0,499.55,66100
2020-06-15 11:45:00,499.05,499.85,497.3,497.35,42750
2020-06-15 12:15:00,497.3,500.0,495.55,500.0,61842
2020-06-15 12:45:00,500.0,504.95,499.8,503.95,109508
2020-06-15 13:15:00,504.0,508.45,503.75,505.7,172156
2020-06-15 13:45:00,505.75,507.5,503.3,506.25,71204
2020-06-15 14:15:00,506.0,514.75,505.7,510.45,667504
