,Open,High,Low,Close,Volume
2020-07-03 09:15:00,528.0,528.0,526.0,527.0,1131.0
2020-07-03 09:17:00,527.5,528.8,527.45,528.0,10328.0
2020-07-03 09:19:00,528.0,528.75,526.95,527.0,6653.0
2020-07-03 09:21:00,527.05,528.2,527.05,528.0,2459.0
2020-07-03 09:23:00,527.5,528.35,527.2,527.2,2987.0
2020-07-03 09:25:00,527.7,528.1,527.0,528.05,6925.0
2020-07-03 09:27:00,528.0,528.4,528.0,528.0,4900.0
2020-07-03 09:29:00,528.25,528.7,528.0,528.05,3593.0
2020-07-03 09:31:00,528.05,528.75,527.1,527.25,2423.0
2020-07-03 09:33:00,527.3,528.3,527.25,527.25,1775.0
2020-07-03 09:35:00,527.0,527.0,524.1,524.4,8000.0
2020-07-03 09:37:00,524.8,526.0,524.4,524.4,3447.0
2020-07-03 09:39:00,525.0,525.8,523.0,523.0,5068.0
2020-07-03 09:41:00,523.45,523.45,521.7,521.95,4549.0
2020-07-03 09:43:00,521.7,523.4,521.7,523.4,2969.0
2020-07-03 09:45:00,522.85,524.9,522.0,523.45,4661.0
2020-07-03 09:47:00,523.45,524.15,521.55,523.95,7702.0
2020-07-03 09:49:00,523.3,524.95,523.3,524.95,1033.0
2020-07-03 09:51:00,525.0,527.7,524.9,526.15,3766.0
2020-07-03 09:53:00,526.5,526.5,525.0,525.1,1418.0
2020-07-03 09:55:00,525.05,525.05,524.2,524.6,983.0
2020-07-03 09:57:00,524.6,525.45,524.0,524.25,2772.0
2020-07-03 09:59:00,524.2,525.7,524.05,525.5,3440.0
2020-07-03 10:01:00,526.1,527.65,525.55,527.65,1987.0
2020-07-03 10:03:00,527.3,527.5,524.2,525.25,8528.0
2020-07-03 10:05:00,525.55,527.4,525.55,526.8,928.0
2020-07-03 10:07:00,527.5,527.75,527.0,527.6,1565.0
2020-07-03 10:09:00,527.1,527.75,527.0,527.0,1334.0
2020-07-03 10:11:00,527.05,527.5,526.35,526.35,1262.0
2020-07-03 10:13:00,526.4,527.0,525.05,525.2,1918.0
2020-07-03 10:15:00,525.85,526.0,525.0,525.35,1322.0
2020-07-03 10:17:00,526.0,526.55,525.35,525.8,3773.0
2020-07-03 10:19:00,525.95,527.5,525.95,527.25,2665.0
2020-07-03 10:21:00,527.9,528.25,526.8,528.0,3490.0
2020-07-03 10:23:00,528.0,528.6,527.35,527.75,3616.0
2020-07-03 10:25:00,527.75,528.35,527.6,527.6,5946.0
2020-07-03 10:27:00,527.6,527.8,527.1,527.1,1085.0
2020-07-03 10:29:00,527.85,527.95,525.55,527.25,3581.0
2020-07-03 10:31:00,527.05,527.8,527.0,527.1,905.0
2020-07-03 10:33:00,527.15,527.5,527.15,527.3,1042.0
2020-07-03 10:35:00,527.5,527.8,527.0,527.2,1330.0
2020-07-03 10:37:00,527.1,527.95,527.05,527.35,2138.0
2020-07-03 10:39:00,527.95,528.0,526.6,527.05,4475.0
2020-07-03 10:41:00,527.05,527.9,527.05,527.3,517.0
2020-07-03 10:43:00,527.35,527.8,527.35,527.8,488.0
2020-07-03 10:45:00,527.8,527.95,527.5,527.95,1499.0
2020-07-03 10:47:00,527.95,527.95,527.5,527.95,171.0
2020-07-03 10:49:00,527.9,527.95,527.4,527.8,612.0
2020-07-03 10:51:00,527.8,527.8,527.4,527.5,263.0
2020-07-03 10:53:00,527.4,527.75,527.4,527.75,960.0
2020-07-03 10:55:00,527.5,527.5,527.5,527.5,253.0
2020-07-03 10:57:00,527.5,527.7,527.2,527.7,1411.0
2020-07-03 10:59:00,527.7,528.25,527.0,527.8,7574.0
2020-07-03 11:01:00,527.25,527.95,527.05,527.95,2066.0
2020-07-03 11:03:00,527.95,527.95,527.3,527.75,487.0
2020-07-03 11:05:00,527.5,527.8,527.35,527.75,687.0
2020-07-03 11:07:00,527.8,527.9,527.35,527.35,1225.0
2020-07-03 11:09:00,527.45,527.95,527.0,527.35,3173.0
2020-07-03 11:11:00,527.3,527.3,526.75,527.05,1143.0
2020-07-03 11:13:00,527.1,527.35,526.9,527.35,4477.0
2020-07-03 11:15:00,526.95,528.25,526.95,528.25,6096.0
2020-07-03 11:17:00,528.3,528.4,528.05,528.3,557.0
2020-07-03 11:19:00,528.3,528.4,528.0,528.3,4060.0
2020-07-03 11:21:00,528.3,528.4,528.0,528.0,4322.0
2020-07-03 11:23:00,528.4,528.4,527.75,527.75,2678.0
2020-07-03 11:25:00,527.9,527.9,527.65,527.9,886.0
2020-07-03 11:27:00,527.9,527.9,527.25,527.25,1213.0
2020-07-03 11:29:00,527.35,527.55,527.0,527.0,1302.0
2020-07-03 11:31:00,527.05,527.05,527.05,527.05,0.0
2020-07-03 11:33:00,527.05,527.45,527.05,527.45,649.0
2020-07-03 11:35:00,527.65,527.65,527.05,527.5,649.0
2020-07-03 11:37:00,527.85,527.85,527.15,527.25,639.0
2020-07-03 11:39:00,528.0,528.0,527.35,527.45,2209.0
