,Open,High,Low,Close,Volume
2020-04-16 09:15:00,17.75,17.8,17.4,17.5,2191306
2020-04-17 09:15:00,18.0,18.35,17.75,18.1,3901586
2020-04-20 09:15:00,19.0,19.0,18.05,18.95,8848991
2020-04-21 09:15:00,18.75,18.75,18.05,18.05,3032475
2020-04-22 09:15:00,17.6,17.9,17.15,17.35,3290058
2020-04-23 09:15:00,18.0,18.2,17.4,18.0,2404918
2020-04-24 09:15:00,18.2,18.2,17.4,17.75,2072378
2020-04-27 09:15:00,18.0,18.6,17.5,18.05,2344127
2020-04-28 09:15:00,18.05,18.1,17.6,17.7,1406869
2020-04-29 09:15:00,17.8,18.0,17.6,17.7,1357056
2020-04-30 09:15:00,18.0,18.05,17.5,17.6,2029250
2020-05-04 09:15:00,17.4,17.7,17.35,17.45,1478350
2020-05-05 09:15:00,17.6,17.8,16.8,16.9,1657879
2020-05-06 09:15:00,17.1,17.1,16.1,16.1,2323979
2020-05-07 09:15:00,16.25,16.9,16.05,16.9,2015185
2020-05-08 09:15:00,17.65,17.65,17.0,17.05,913668
2020-05-11 09:15:00,17.55,17.55,16.5,16.65,941297
2020-05-12 09:15:00,16.7,16.9,16.2,16.6,803656
2020-05-13 09:15:00,17.3,17.4,16.7,17.3,3396725
2020-05-14 09:15:00,16.9,17.0,16.6,16.75,1126775
2020-05-15 09:15:00,16.95,17.0,16.3,16.7,2289866
2020-05-18 09:15:00,16.3,16.5,15.9,15.9,1487934
2020-05-19 09:15:00,15.6,15.8,15.15,15.15,1784207
2020-05-20 09:15:00,14.65,15.1,14.4,14.4,4531031
2020-05-21 09:15:00,14.4,15.1,14.05,15.1,16321036
2020-05-22 09:15:00,15.85,15.85,15.5,15.85,2638389
2020-05-26 09:15:00,16.6,16.6,16.6,16.6,235289
2020-05-27 09:15:00,17.4,17.4,16.15,17.4,7490576
2020-05-28 09:15:00,18.25,18.25,17.95,18.25,2821514
2020-05-29 09:15:00,19.1,19.15,17.65,18.0,9754149
2020-06-01 09:15:00,18.9,18.9,18.65,18.9,5865218
2020-06-02 09:15:00,19.8,19.8,19.8,19.8,395570
2020-06-03 09:15:00,20.75,20.75,20.75,20.75,5325167
2020-06-04 09:15:00,21.75,21.75,21.75,21.75,783078
2020-06-05 09:15:00,22.8,22.8,22.8,22.8,1603130
2020-06-08 09:15:00,23.9,23.9,23.9,23.9,1290037
2020-06-09 09:15:00,25.05,25.05,25.05,25.05,13479144
2020-06-10 09:15:00,26.3,26.3,26.3,26.3,525484
2020-06-11 09:15:00,27.6,27.6,27.6,27.6,3817234
2020-06-12 09:15:00,27.0,28.95,26.25,28.95,17454482
2020-06-15 09:15:00,30.35,30.35,29.0,30.35,10638440
2020-06-16 09:15:00,31.4,31.85,28.85,28.85,13362610
2020-06-17 09:15:00,27.45,28.0,27.45,27.45,1051574
2020-06-18 09:15:00,26.1,28.45,26.1,26.1,12550822
2020-06-19 09:15:00,26.1,27.0,25.05,25.75,6244526
2020-06-22 09:15:00,26.5,27.0,25.1,25.95,8329531
2020-06-23 09:15:00,25.95,26.35,25.6,26.2,2466007
2020-06-24 09:15:00,26.5,26.55,25.45,25.55,2321304
2020-06-25 09:15:00,25.05,25.45,24.3,24.4,2430475
2020-06-26 09:15:00,24.9,25.6,24.2,24.5,4425964
2020-06-29 09:15:00,24.95,25.05,23.3,23.35,2935165
2020-06-30 09:15:00,23.85,24.5,22.5,22.8,42688897
2020-07-01 09:15:00,23.9,23.9,22.85,23.5,5505683
2020-07-02 09:15:00,23.5,24.4,23.2,23.5,2096199
2020-07-03 09:15:00,23.9,24.2,23.3,23.65,1472483
2020-07-06 09:15:00,24.25,24.3,23.6,23.65,2118815
2020-07-07 09:15:00,24.7,24.8,24.2,24.8,3633386
2020-07-08 09:15:00,26.0,26.0,26.0,26.0,601315
2020-07-09 09:15:00,27.3,27.3,25.05,25.65,9316714
2020-07-10 15:29:59,25.5,25.5,24.5,24.85,1844121
