,Open,High,Low,Close,Volume
2020-04-16 09:15:00,17.6,18.0,16.9,17.0,1017309
2020-04-17 09:15:00,17.6,17.8,16.9,17.1,1645468
2020-04-20 09:15:00,17.65,17.95,16.95,17.95,1861810
2020-04-21 09:15:00,18.8,18.8,17.35,18.75,1138663
2020-04-22 09:15:00,19.25,19.65,18.5,19.65,795859
2020-04-23 09:15:00,20.6,20.6,20.2,20.6,583744
2020-04-24 09:15:00,21.6,21.6,19.6,19.6,1279996
2020-04-27 09:15:00,18.65,18.65,18.65,18.65,156192
2020-04-28 09:15:00,17.75,18.65,17.75,18.1,1170570
2020-04-29 09:15:00,18.2,18.9,17.75,18.35,620588
2020-04-30 09:15:00,18.8,19.1,18.4,18.75,621794
2020-05-04 09:15:00,18.4,18.5,17.85,17.85,474599
2020-05-05 09:15:00,17.85,17.85,17.0,17.0,506688
2020-05-06 09:15:00,16.3,16.9,16.15,16.15,1103493
2020-05-07 09:15:00,15.4,16.95,15.4,16.0,1538904
2020-05-08 09:15:00,16.0,16.4,15.2,15.2,1690979
2020-05-11 09:15:00,15.8,15.95,14.45,14.8,1620566
2020-05-12 09:15:00,15.0,15.2,14.1,14.1,975601
2020-05-13 09:15:00,14.7,14.8,13.85,14.65,3399785
2020-05-14 09:15:00,15.0,15.35,15.0,15.3,3122561
2020-05-15 09:15:00,15.7,15.7,14.55,15.0,1245446
2020-05-18 09:15:00,15.05,15.1,14.25,14.25,701468
2020-05-19 09:15:00,14.25,14.55,13.6,13.75,1151392
2020-05-20 09:15:00,13.8,14.2,13.75,14.0,421180
2020-05-21 09:15:00,14.05,14.7,13.9,14.0,610964
2020-05-22 09:15:00,13.9,14.1,13.3,13.4,1171676
2020-05-26 09:15:00,13.6,14.0,13.05,13.25,769160
2020-05-27 09:15:00,13.5,13.5,12.9,13.35,707542
2020-05-28 09:15:00,13.35,14.0,12.95,13.15,1841869
2020-05-29 09:15:00,13.1,13.8,12.95,13.35,1268355
2020-06-01 09:15:00,13.5,14.0,13.45,14.0,1898829
2020-06-02 09:15:00,14.45,14.7,14.3,14.7,3119066
2020-06-03 09:15:00,15.4,15.4,14.4,14.55,7448131
2020-06-04 09:15:00,14.75,14.85,13.85,13.95,3563746
2020-06-05 09:15:00,14.0,14.6,14.0,14.6,3008820
2020-06-08 09:15:00,15.2,15.3,14.8,15.3,4949969
2020-06-09 09:15:00,15.95,16.05,14.8,16.05,3095157
2020-06-10 09:15:00,16.85,16.85,16.85,16.85,303983
2020-06-11 09:15:00,17.65,17.65,17.65,17.65,253540
2020-06-12 09:15:00,17.85,18.5,16.8,18.5,6941404
2020-06-15 09:15:00,19.4,19.4,18.5,19.4,1125882
2020-06-16 09:15:00,20.35,20.35,20.35,20.35,367959
2020-06-17 09:15:00,21.35,21.35,21.35,21.35,241833
2020-06-18 09:15:00,22.4,22.4,20.5,22.4,9860491
2020-06-19 09:15:00,22.4,23.5,22.0,23.5,1267176
2020-06-22 09:15:00,24.65,24.65,24.65,24.65,163706
2020-06-23 09:15:00,25.85,25.85,25.85,25.85,61026
2020-06-24 09:15:00,27.1,27.1,27.1,27.1,169566
2020-06-25 09:15:00,28.0,28.45,25.75,28.45,3595995
2020-06-26 09:15:00,29.85,29.85,29.0,29.85,933903
2020-06-29 09:15:00,31.3,31.3,28.4,28.5,6646827
2020-06-30 09:15:00,27.7,28.0,27.1,27.1,777190
2020-07-01 09:15:00,25.75,25.75,25.75,25.75,170808
2020-07-02 09:15:00,24.5,25.0,24.5,24.5,1108607
2020-07-03 09:15:00,23.3,23.3,23.3,23.3,272512
2020-07-06 09:15:00,22.15,22.15,22.15,22.15,276187
2020-07-07 09:15:00,21.7,23.25,21.7,23.25,1313550
2020-07-08 09:15:00,24.4,24.4,24.4,24.4,99913
2020-07-09 09:15:00,25.6,25.6,23.85,25.6,3831883
2020-07-10 15:29:54,26.4,26.85,24.55,26.15,5581077
