,Open,High,Low,Close,Volume
2020-06-11 09:15:00,17.65,17.65,17.65,17.65,26861
2020-06-11 09:45:00,17.65,17.65,17.65,17.65,16778
2020-06-11 10:15:00,17.65,17.65,17.65,17.65,6737
2020-06-11 10:45:00,17.65,17.65,17.65,17.65,18852
2020-06-11 11:15:00,17.65,17.65,17.65,17.65,7051
2020-06-11 11:45:00,17.65,17.65,17.65,17.65,8010
2020-06-11 12:15:00,17.65,17.65,17.65,17.65,4167
2020-06-11 12:45:00,17.65,17.65,17.65,17.65,5076
2020-06-11 13:15:00,17.65,17.65,17.65,17.65,2977
2020-06-11 13:45:00,17.65,17.65,17.65,17.65,24921
2020-06-11 14:15:00,17.65,17.65,17.65,17.65,53982
2020-06-11 14:45:00,17.65,17.65,17.65,17.65,31520
2020-06-11 15:15:00,17.65,17.65,17.65,17.65,34144
2020-06-12 09:15:00,17.5,18.5,16.8,18.5,4014966
2020-06-12 09:45:00,18.5,18.5,18.5,18.5,150897
2020-06-12 10:15:00,18.5,18.5,18.5,18.5,39314
2020-06-12 10:45:00,18.5,18.5,18.5,18.5,26136
2020-06-12 11:15:00,18.5,18.5,18.5,18.5,14177
2020-06-12 11:45:00,18.5,18.5,18.5,18.5,8433
2020-06-12 12:15:00,18.5,18.5,18.5,18.5,14274
2020-06-12 12:45:00,18.5,18.5,18.5,18.5,15295
2020-06-12 13:15:00,18.5,18.5,17.5,18.25,1820471
2020-06-12 13:45:00,18.25,18.5,18.25,18.5,529647
2020-06-12 14:15:00,18.5,18.5,18.5,18.5,48818
2020-06-12 14:45:00,18.5,18.5,18.5,18.5,7547
2020-06-12 15:15:00,18.5,18.5,18.5,18.5,4826
2020-06-15 09:15:00,19.25,19.4,19.0,19.4,121428
2020-06-15 09:45:00,19.4,19.4,19.4,19.4,14572
2020-06-15 10:15:00,19.4,19.4,19.4,19.4,50617
2020-06-15 10:45:00,19.4,19.4,19.4,19.4,12987
2020-06-15 11:15:00,19.4,19.4,19.4,19.4,30724
2020-06-15 11:45:00,19.4,19.4,19.4,19.4,10275
2020-06-15 12:15:00,19.4,19.4,19.4,19.4,26973
2020-06-15 12:45:00,19.4,19.4,19.4,19.4,3090
2020-06-15 13:15:00,19.4,19.4,19.4,19.4,3317
2020-06-15 13:45:00,19.4,19.4,19.4,19.4,10341
2020-06-15 14:15:00,19.4,19.4,19.4,19.4,20653
2020-06-15 14:45:00,19.4,19.4,19.4,19.4,10309
2020-06-15 15:15:00,19.4,19.4,19.4,19.4,2080
2020-06-16 09:15:00,20.35,20.35,20.35,20.35,56785
2020-06-16 09:45:00,20.35,20.35,20.35,20.35,24253
2020-06-16 10:15:00,20.35,20.35,20.35,20.35,6289
2020-06-16 10:45:00,20.35,20.35,20.35,20.35,3138
2020-06-16 11:15:00,20.35,20.35,20.35,20.35,2621
2020-06-16 11:45:00,20.35,20.35,20.35,20.35,2149
2020-06-16 12:15:00,20.35,20.35,20.35,20.35,1870
2020-06-16 12:45:00,20.35,20.35,20.35,20.35,11522
2020-06-16 13:15:00,20.35,20.35,20.35,20.35,105981
2020-06-16 13:45:00,20.35,20.35,20.35,20.35,14250
2020-06-16 14:15:00,20.35,20.35,20.35,20.35,4511
2020-06-16 14:45:00,20.35,20.35,20.35,20.35,5001
2020-06-16 15:15:00,20.35,20.35,20.35,20.35,2082
2020-06-17 09:15:00,21.35,21.35,21.35,21.35,26936
2020-06-17 09:45:00,21.35,21.35,21.35,21.35,7691
2020-06-17 10:15:00,21.35,21.35,21.35,21.35,5515
2020-06-17 10:45:00,21.35,21.35,21.35,21.35,10935
2020-06-17 11:15:00,21.35,21.35,21.35,21.35,12936
2020-06-17 11:45:00,21.35,21.35,21.35,21.35,580
2020-06-17 12:15:00,21.35,21.35,21.35,21.35,5010
