,Open,High,Low,Close,Volume
2020-07-10 09:15:00,25.75,25.8,24.55,24.6,152927.0
2020-07-10 09:17:00,24.65,25.5,24.55,25.35,193957.0
2020-07-10 09:19:00,25.4,26.85,25.4,26.85,272217.0
2020-07-10 09:21:00,26.85,26.85,26.05,26.2,187831.0
2020-07-10 09:23:00,26.5,26.85,26.35,26.8,105952.0
2020-07-10 09:25:00,26.85,26.85,26.7,26.7,93218.0
2020-07-10 09:27:00,26.8,26.85,26.5,26.85,163848.0
2020-07-10 09:29:00,26.85,26.85,26.85,26.85,17469.0
2020-07-10 09:31:00,26.85,26.85,26.85,26.85,3641.0
2020-07-10 09:33:00,26.85,26.85,26.85,26.85,700.0
2020-07-10 09:35:00,26.85,26.85,26.85,26.85,25684.0
2020-07-10 09:37:00,26.85,26.85,26.85,26.85,1340.0
2020-07-10 09:39:00,26.85,26.85,26.85,26.85,2088.0
2020-07-10 09:41:00,26.85,26.85,26.85,26.85,4327.0
2020-07-10 09:43:00,26.85,26.85,26.85,26.85,7042.0
2020-07-10 09:45:00,26.85,26.85,26.85,26.85,807.0
2020-07-10 09:47:00,26.85,26.85,26.85,26.85,4972.0
2020-07-10 09:49:00,26.85,26.85,26.85,26.85,1876.0
2020-07-10 09:51:00,26.85,26.85,26.85,26.85,28369.0
2020-07-10 09:53:00,26.85,26.85,26.85,26.85,1184.0
2020-07-10 09:55:00,26.85,26.85,26.85,26.85,1399.0
2020-07-10 09:57:00,26.85,26.85,26.85,26.85,1514.0
2020-07-10 09:59:00,26.85,26.85,26.85,26.85,2800.0
2020-07-10 10:01:00,26.85,26.85,26.85,26.85,2443.0
2020-07-10 10:03:00,26.85,26.85,26.85,26.85,1964.0
2020-07-10 10:05:00,26.85,26.85,26.85,26.85,0.0
2020-07-10 10:07:00,26.85,26.85,26.85,26.85,1203.0
2020-07-10 10:09:00,26.85,26.85,26.85,26.85,102.0
2020-07-10 10:13:00,26.85,26.85,26.85,26.85,125.0
2020-07-10 10:15:00,26.85,26.85,26.85,26.85,250.0
2020-07-10 10:17:00,26.85,26.85,26.85,26.85,446.0
2020-07-10 10:19:00,26.85,26.85,26.85,26.85,800.0
2020-07-10 10:21:00,26.85,26.85,26.85,26.85,19640.0
2020-07-10 10:23:00,26.85,26.85,26.85,26.85,700.0
2020-07-10 10:25:00,26.85,26.85,26.85,26.85,900.0
2020-07-10 10:27:00,26.85,26.85,26.85,26.85,6491.0
2020-07-10 10:29:00,26.85,26.85,26.85,26.85,230.0
2020-07-10 10:31:00,26.85,26.85,26.85,26.85,9850.0
2020-07-10 10:33:00,26.85,26.85,26.85,26.85,1950.0
2020-07-10 10:35:00,26.85,26.85,26.85,26.85,1100.0
2020-07-10 10:37:00,26.85,26.85,26.1,26.45,403050.0
2020-07-10 10:39:00,26.55,26.6,26.5,26.5,23291.0
2020-07-10 10:41:00,26.55,26.7,26.5,26.7,53771.0
2020-07-10 10:43:00,26.7,26.8,26.6,26.75,28898.0
2020-07-10 10:45:00,26.7,26.8,26.7,26.8,41265.0
2020-07-10 10:47:00,26.8,26.8,26.7,26.8,31800.0
2020-07-10 10:49:00,26.8,26.8,26.5,26.5,29407.0
2020-07-10 10:51:00,26.55,26.6,26.15,26.5,51086.0
2020-07-10 10:53:00,26.55,26.6,26.5,26.6,31909.0
2020-07-10 10:55:00,26.55,26.55,26.4,26.4,26939.0
2020-07-10 10:57:00,26.45,26.45,26.15,26.3,27939.0
2020-07-10 10:59:00,26.4,26.4,26.3,26.35,32459.0
2020-07-10 11:01:00,26.35,26.4,26.25,26.35,18923.0
2020-07-10 11:03:00,26.4,26.4,25.8,25.8,94500.0
2020-07-10 11:05:00,25.8,25.8,25.6,25.65,77598.0
2020-07-10 11:07:00,25.6,25.85,25.35,25.5,121640.0
2020-07-10 11:09:00,25.4,25.5,25.0,25.1,62251.0
2020-07-10 11:11:00,25.2,25.8,25.1,25.45,54129.0
2020-07-10 11:13:00,25.5,25.5,25.05,25.1,38796.0
2020-07-10 11:15:00,25.2,25.4,25.15,25.4,15302.0
2020-07-10 11:17:00,25.4,25.8,25.4,25.75,55505.0
2020-07-10 11:19:00,25.75,26.0,25.7,26.0,39114.0
2020-07-10 11:21:00,25.9,26.3,25.8,26.3,34785.0
2020-07-10 11:23:00,26.3,26.35,26.1,26.2,35534.0
2020-07-10 11:25:00,26.2,26.2,25.6,25.85,37008.0
2020-07-10 11:27:00,25.9,26.0,25.8,25.95,6573.0
2020-07-10 11:29:00,25.95,26.05,25.95,26.0,32512.0
2020-07-10 11:31:00,26.0,26.15,25.95,26.1,8128.0
2020-07-10 11:33:00,26.05,26.1,26.0,26.05,6661.0
2020-07-10 11:35:00,26.0,26.05,26.0,26.0,26820.0
2020-07-10 11:37:00,26.0,26.05,26.0,26.05,12724.0
2020-07-10 11:39:00,26.05,26.05,25.75,25.85,32736.0
2020-07-10 11:41:00,25.95,26.0,25.8,25.9,10810.0
2020-07-10 11:43:00,25.9,26.05,25.85,25.95,16591.0
2020-07-10 11:45:00,25.8,25.95,25.6,25.9,19201.0
2020-07-10 11:47:00,25.9,25.9,25.75,25.8,6493.0
2020-07-10 11:49:00,25.8,26.0,25.8,26.0,10172.0
2020-07-10 11:51:00,26.0,26.1,25.9,26.0,25197.0
2020-07-10 11:53:00,26.0,26.0,25.9,26.0,6676.0
2020-07-10 11:55:00,25.9,26.0,25.9,25.95,7007.0
2020-07-10 11:57:00,26.0,26.0,25.9,26.0,7086.0
2020-07-10 11:59:00,26.0,26.0,25.85,25.85,8081.0
2020-07-10 12:01:00,25.9,25.9,25.85,25.9,920.0
2020-07-10 12:03:00,25.9,25.9,25.85,25.85,3637.0
2020-07-10 12:05:00,25.85,25.9,25.75,25.9,8470.0
2020-07-10 12:07:00,25.9,25.9,25.75,25.75,14743.0
2020-07-10 12:09:00,25.75,25.85,25.75,25.8,5206.0
2020-07-10 12:11:00,25.75,25.8,25.7,25.7,11673.0
2020-07-10 12:13:00,25.8,25.8,25.55,25.6,24852.0
2020-07-10 12:15:00,25.6,25.75,25.6,25.65,7154.0
2020-07-10 12:17:00,25.75,25.75,25.6,25.65,5585.0
2020-07-10 12:19:00,25.7,25.75,25.65,25.65,3298.0
2020-07-10 12:21:00,25.65,25.75,25.55,25.55,8660.0
2020-07-10 12:23:00,25.65,25.7,25.55,25.7,13502.0
2020-07-10 12:25:00,25.7,25.75,25.7,25.75,18275.0
2020-07-10 12:27:00,25.75,25.75,25.6,25.6,11722.0
2020-07-10 12:29:00,25.6,25.7,25.55,25.6,6260.0
2020-07-10 12:31:00,25.65,25.7,25.4,25.4,39731.0
2020-07-10 12:33:00,25.4,25.55,25.4,25.5,7842.0
2020-07-10 12:35:00,25.5,25.5,25.4,25.4,2956.0
2020-07-10 12:37:00,25.45,25.5,25.4,25.45,4841.0
2020-07-10 12:39:00,25.45,25.55,25.45,25.5,6140.0
2020-07-10 12:41:00,25.55,25.65,25.5,25.6,19677.0
2020-07-10 12:43:00,25.65,25.65,25.5,25.6,4156.0
2020-07-10 12:45:00,25.6,25.7,25.6,25.65,24371.0
2020-07-10 12:47:00,25.75,25.9,25.7,25.9,12476.0
2020-07-10 12:49:00,25.9,25.9,25.8,25.9,8767.0
2020-07-10 12:51:00,25.85,25.85,25.75,25.8,2366.0
2020-07-10 12:53:00,25.8,25.95,25.8,25.8,10501.0
2020-07-10 12:55:00,25.9,26.0,25.8,25.95,34422.0
2020-07-10 12:57:00,26.0,26.0,25.9,25.95,6239.0
2020-07-10 12:59:00,25.95,26.0,25.9,26.0,14503.0
2020-07-10 13:01:00,26.0,26.0,25.95,25.95,9094.0
2020-07-10 13:03:00,26.0,26.0,25.85,25.95,7831.0
2020-07-10 13:05:00,25.9,25.95,25.85,25.85,2412.0
2020-07-10 13:07:00,25.9,25.95,25.85,25.95,5001.0
2020-07-10 13:09:00,25.95,25.95,25.9,25.9,2704.0
2020-07-10 13:11:00,25.9,25.9,25.8,25.9,21297.0
2020-07-10 13:13:00,25.9,25.9,25.8,25.9,2738.0
2020-07-10 13:15:00,25.9,25.9,25.85,25.85,6837.0
2020-07-10 13:17:00,25.85,25.9,25.85,25.85,750.0
2020-07-10 13:19:00,25.85,25.9,25.85,25.85,6025.0
2020-07-10 13:21:00,25.85,25.85,25.85,25.85,300.0
2020-07-10 13:23:00,25.85,25.9,25.8,25.9,2811.0
2020-07-10 13:25:00,25.9,25.9,25.9,25.9,12289.0
2020-07-10 13:27:00,25.9,25.9,25.85,25.9,2202.0
2020-07-10 13:29:00,25.9,25.95,25.9,25.9,15055.0
2020-07-10 13:31:00,25.9,26.0,25.8,26.0,31817.0
2020-07-10 13:33:00,25.95,26.0,25.9,25.95,15433.0
2020-07-10 13:35:00,26.0,26.0,25.95,26.0,4025.0
2020-07-10 13:37:00,26.0,26.0,25.95,26.0,8743.0
