,Open,High,Low,Close,Volume
2002-07-01 00:00:00,90.0,101.0,78.45,80.9,159951
2002-08-01 00:00:00,77.0,82.5,67.6,72.55,45485
2002-09-01 00:00:00,73.0,73.0,61.5,62.7,29905
2002-10-01 00:00:00,63.0,68.5,60.6,66.95,40699
2002-11-01 00:00:00,66.85,68.0,58.15,64.9,13058
2002-12-01 00:00:00,65.0,72.05,58.0,67.65,39638
2003-01-01 00:00:00,67.65,69.0,54.1,57.0,131257
2003-02-01 00:00:00,60.0,79.2,58.3,70.1,117404
2003-03-01 00:00:00,67.6,70.5,61.5,64.85,37822
2003-04-01 00:00:00,62.3,66.0,60.0,62.05,33305
2003-05-01 00:00:00,61.35,73.0,60.0,71.65,66733
2003-06-01 00:00:00,72.0,106.5,67.0,99.6,253512
2003-07-01 00:00:00,98.95,115.0,88.25,90.3,217417
2003-08-01 00:00:00,89.1,98.0,83.0,88.5,144452
2003-09-01 00:00:00,86.0,96.0,85.6,93.5,95469
2003-10-01 00:00:00,94.4,107.95,87.9,103.3,118446
2003-11-01 00:00:00,104.7,147.5,104.7,144.35,376871
2003-12-01 00:00:00,146.0,196.75,138.2,190.05,405537
2004-01-01 00:00:00,189.0,204.75,170.0,175.3,235049
2004-02-01 00:00:00,170.0,182.5,146.0,157.8,87619
2004-03-01 00:00:00,154.4,160.95,135.55,143.75,57188
2004-04-01 00:00:00,145.5,150.0,130.0,138.85,60228
2004-05-01 00:00:00,135.0,139.9,111.25,115.1,47715
2004-06-01 00:00:00,115.0,141.0,105.0,129.0,105346
2004-07-01 00:00:00,134.95,138.1,122.0,127.7,53544
2004-08-01 00:00:00,138.0,150.0,124.0,130.85,61245
2004-09-01 00:00:00,131.0,158.0,130.0,139.9,201627
2004-10-01 00:00:00,140.0,162.0,132.25,136.4,97468
2004-11-01 00:00:00,140.0,162.4,133.5,158.3,291192
2004-12-01 00:00:00,165.65,191.9,145.85,168.2,666902
2005-01-01 00:00:00,172.75,178.0,145.3,157.95,106675
2005-02-01 00:00:00,158.0,179.0,154.0,168.15,260012
2005-03-01 00:00:00,164.5,247.8,163.05,184.55,1214740
2005-04-01 00:00:00,189.4,204.5,178.0,182.5,181420
2005-05-01 00:00:00,185.0,223.0,180.0,206.8,284503
2005-06-01 00:00:00,205.25,231.1,204.0,218.55,294097
2005-07-01 00:00:00,222.0,283.0,220.0,258.3,716403
2005-08-01 00:00:00,270.0,322.95,256.0,290.7,864250
2005-09-01 00:00:00,283.6,315.0,270.0,290.2,655465
2005-10-01 00:00:00,285.2,323.5,263.0,277.85,316912
2005-11-01 00:00:00,287.95,338.75,274.05,312.15,341802
2005-12-01 00:00:00,314.0,409.0,305.1,396.35,589370
2006-01-01 00:00:00,400.0,405.0,290.0,316.3,433846
2006-02-01 00:00:00,291.75,374.0,291.75,348.1,160760
2006-03-01 00:00:00,350.0,398.0,344.0,386.4,121428
2006-04-01 00:00:00,380.1,489.0,380.0,450.0,164122
2006-05-01 00:00:00,433.5,476.0,325.0,372.9,84529
2006-06-01 00:00:00,371.25,388.9,230.0,305.0,97779
2006-07-01 00:00:00,303.0,327.0,265.3,274.95,29871
2006-08-01 00:00:00,279.0,300.9,265.0,276.3,15749
2006-09-01 00:00:00,278.0,302.0,263.2,285.45,48075
2006-10-01 00:00:00,291.0,336.0,285.0,292.65,66592
2006-11-01 00:00:00,290.0,323.0,281.5,301.0,108392
2006-12-01 00:00:00,301.0,318.6,275.0,302.6,88834
2007-01-01 00:00:00,299.55,405.0,298.5,376.95,108356
2007-02-01 00:00:00,352.45,419.7,294.0,325.55,58446
2007-03-01 00:00:00,312.05,326.95,282.3,304.0,63564
2007-04-01 00:00:00,292.0,313.8,289.0,299.0,15630
2007-05-01 00:00:00,302.0,349.0,282.0,284.7,39105
2007-06-01 00:00:00,280.05,305.0,248.05,279.95,47551
2007-07-01 00:00:00,270.15,289.8,260.5,280.4,43602
2007-08-01 00:00:00,262.0,299.9,227.2,297.55,160694
2007-09-01 00:00:00,350.0,395.0,315.0,350.8,541165
2007-10-01 00:00:00,365.0,377.9,300.0,310.0,157070
2007-11-01 00:00:00,306.0,336.55,281.05,330.0,103522
2007-12-01 00:00:00,350.0,375.0,325.0,337.7,66017
2008-01-01 00:00:00,330.05,395.0,265.0,310.0,120267
2008-02-01 00:00:00,300.0,340.0,266.65,320.15,105189
2008-03-01 00:00:00,301.0,332.0,268.0,274.45,158932
2008-04-01 00:00:00,280.0,295.0,271.0,278.05,17315
2008-05-01 00:00:00,275.0,293.85,265.15,279.95,20931
2008-06-01 00:00:00,275.5,286.0,260.0,270.0,107195
2008-07-01 00:00:00,270.0,270.0,176.5,232.05,19010
2008-08-01 00:00:00,225.0,237.85,193.0,205.35,7078
2008-09-01 00:00:00,200.0,205.8,167.35,190.15,10243
2008-10-01 00:00:00,176.05,179.0,80.0,80.0,15351
2008-11-01 00:00:00,85.0,88.4,54.0,63.55,284328
2008-12-01 00:00:00,65.0,78.0,61.15,68.05,156058
2009-01-01 00:00:00,71.95,75.95,57.0,67.55,71654
2009-02-01 00:00:00,68.7,75.0,61.0,69.5,49968
2009-03-01 00:00:00,67.0,93.0,57.5,79.3,27315
2009-04-01 00:00:00,81.05,96.0,70.0,82.1,22169
2009-05-01 00:00:00,82.1,169.0,81.5,160.05,174797
2009-06-01 00:00:00,152.5,165.35,133.05,143.6,81273
2009-07-01 00:00:00,140.0,149.95,118.0,147.0,44374
2009-08-01 00:00:00,144.95,164.5,137.0,160.8,86685
2009-09-01 00:00:00,159.1,180.0,155.0,166.6,45409
2009-10-01 00:00:00,170.0,200.0,160.25,176.0,48580
2009-11-01 00:00:00,176.0,195.9,169.0,184.85,41194
2009-12-01 00:00:00,181.7,250.0,181.65,220.2,56008
2010-01-01 00:00:00,224.8,252.0,221.0,240.0,88198
2010-02-01 00:00:00,239.0,254.0,233.1,237.0,40697
2010-03-01 00:00:00,232.3,403.4,232.3,350.5,331485
2010-04-01 00:00:00,364.95,426.1,363.0,366.35,68383
2010-05-01 00:00:00,370.0,398.0,321.05,329.95,34118
2010-06-01 00:00:00,344.8,354.9,312.25,345.55,21276
2010-07-01 00:00:00,340.0,419.0,329.0,380.2,106880
2010-08-01 00:00:00,380.05,505.45,380.0,417.5,541029
2010-09-01 00:00:00,419.9,445.0,400.5,401.25,123376
2010-10-01 00:00:00,407.85,444.0,400.0,411.2,80933
2010-11-01 00:00:00,419.9,424.8,391.0,412.5,28650
