,Open,High,Low,Close,Volume
2020-04-16 09:15:00,154.4,174.25,152.35,166.8,8089788
2020-04-17 09:15:00,177.0,191.8,170.6,179.8,13148493
2020-04-20 09:15:00,180.9,183.0,165.0,166.0,5619045
2020-04-21 09:15:00,159.0,160.65,149.65,151.55,4793273
2020-04-22 09:15:00,152.0,153.8,144.8,150.8,6328529
2020-04-23 09:15:00,151.0,157.7,149.0,155.7,6078961
2020-04-24 09:15:00,150.0,150.0,138.2,140.45,8746635
2020-04-27 09:15:00,142.95,149.9,141.2,143.75,6603470
2020-04-28 09:15:00,146.0,155.2,141.2,154.2,11970699
2020-04-29 09:15:00,156.0,162.4,153.4,156.9,9587085
2020-04-30 09:15:00,161.95,167.95,160.1,165.95,12639320
2020-05-04 09:15:00,156.0,164.8,150.2,160.25,12830579
2020-05-05 09:15:00,164.9,174.7,159.45,160.55,13030552
2020-05-06 09:15:00,161.0,174.7,157.85,172.15,15178330
2020-05-07 09:15:00,173.0,181.9,168.75,170.5,10633135
2020-05-08 09:15:00,174.0,176.7,163.45,165.35,9453312
2020-05-11 09:15:00,166.0,168.0,156.8,157.85,8716414
2020-05-12 09:15:00,155.0,164.0,154.15,162.55,9260145
2020-05-13 09:15:00,168.5,178.5,164.35,176.85,11861809
2020-05-14 09:15:00,177.2,182.25,167.0,168.4,12986227
2020-05-15 09:15:00,170.1,171.4,165.2,168.45,5225160
2020-05-18 09:15:00,164.05,164.4,136.25,137.8,26772634
2020-05-19 09:15:00,142.95,144.9,133.5,134.6,14481948
2020-05-20 09:15:00,135.25,141.7,132.25,136.7,13934543
2020-05-21 09:15:00,138.2,144.75,135.1,136.3,14658133
2020-05-22 09:15:00,136.0,139.3,125.4,127.55,19194305
2020-05-26 09:15:00,130.0,133.9,129.0,132.8,9597283
2020-05-27 09:15:00,134.0,139.95,131.1,138.5,13150518
2020-05-28 09:15:00,141.0,141.0,135.5,136.6,10437275
2020-05-29 09:15:00,134.9,144.25,133.05,139.7,46316344
2020-06-01 09:15:00,143.5,153.95,143.5,145.4,29779929
2020-06-02 09:15:00,147.45,152.75,146.05,151.45,18251081
2020-06-03 09:15:00,154.0,160.7,153.1,154.8,19763507
2020-06-04 09:15:00,154.0,156.6,147.05,148.8,13675241
2020-06-05 09:15:00,150.8,155.5,149.55,154.3,10285419
2020-06-08 09:15:00,157.0,165.3,157.0,158.65,17106537
2020-06-09 09:15:00,160.0,167.25,155.75,157.55,14910122
2020-06-10 09:15:00,158.7,160.55,152.05,154.45,11854469
2020-06-11 09:15:00,155.8,164.0,153.3,156.9,16686284
2020-06-12 09:15:00,148.0,165.0,146.9,163.6,17221758
2020-06-15 09:15:00,163.5,168.5,161.0,163.9,17145749
2020-06-16 09:15:00,168.55,171.45,160.1,168.15,20645435
2020-06-17 09:15:00,167.5,171.75,165.8,166.55,11977356
2020-06-18 09:15:00,166.8,170.1,165.1,168.35,9890430
2020-06-19 09:15:00,170.3,177.75,168.0,174.4,18376566
2020-06-22 09:15:00,176.7,186.15,176.0,178.0,17877509
2020-06-23 09:15:00,180.95,182.25,173.5,177.95,9650368
2020-06-24 09:15:00,180.0,189.6,177.45,178.7,24055269
2020-06-25 09:15:00,178.0,182.95,173.65,179.25,16224555
2020-06-26 09:15:00,182.45,185.5,175.05,176.9,11491218
2020-06-29 09:15:00,176.45,176.8,166.6,168.8,12092548
2020-06-30 09:15:00,172.4,172.55,167.25,167.8,8212402
2020-07-01 09:15:00,167.0,174.9,164.8,173.3,12607010
2020-07-02 09:15:00,175.45,186.9,174.8,184.9,21591700
2020-07-03 09:15:00,187.25,187.5,180.35,182.75,11868290
2020-07-06 09:15:00,184.0,187.45,182.0,182.85,8453629
2020-07-07 09:15:00,183.2,208.2,182.55,204.15,49891089
2020-07-08 09:15:00,203.0,212.7,200.15,201.7,33254248
2020-07-09 09:15:00,203.0,210.65,203.0,208.55,25411387
2020-07-10 15:30:00,206.4,211.35,202.25,204.1,19350161
