,Open,High,Low,Close,Volume
2005-06-01 00:00:00,226.9,226.9,178.0,183.35,85530
2005-07-01 00:00:00,182.0,218.0,172.05,202.3,168476
2005-08-01 00:00:00,198.1,230.0,190.5,202.65,113103
2005-09-01 00:00:00,235.1,238.1,177.0,208.3,313802
2005-10-01 00:00:00,206.25,234.0,197.6,208.85,152266
2005-11-01 00:00:00,205.0,230.0,205.0,211.5,64022
2005-12-01 00:00:00,214.95,276.8,207.55,261.55,253920
2006-01-01 00:00:00,264.9,300.0,256.05,268.8,164209
2006-02-01 00:00:00,268.8,280.0,231.1,261.15,188488
2006-03-01 00:00:00,262.0,269.0,245.0,263.45,155926
2006-04-01 00:00:00,268.0,287.0,216.75,230.0,177305
2006-05-01 00:00:00,232.0,264.0,175.0,191.4,226568
2006-06-01 00:00:00,200.9,215.0,125.05,196.85,237225
2006-07-01 00:00:00,196.85,202.9,160.2,174.9,31888
2006-08-01 00:00:00,175.0,192.8,162.0,184.25,62050
2006-09-01 00:00:00,184.1,189.5,160.0,162.55,89777
2006-10-01 00:00:00,167.9,208.9,160.1,186.4,491689
2006-11-01 00:00:00,189.7,230.0,184.0,218.0,670952
2006-12-01 00:00:00,220.0,226.0,186.75,207.5,152756
2007-01-01 00:00:00,209.0,255.0,203.1,242.5,201952
2007-02-01 00:00:00,241.6,246.8,180.0,200.06,128392
2007-03-01 00:00:00,202.0,220.56,171.36,195.5,307683
2007-04-01 00:00:00,195.0,230.0,183.06,226.56,447887
2007-05-01 00:00:00,226.5,250.0,214.5,218.1,303914
2007-06-01 00:00:00,218.5,269.0,206.26,234.96,1635184
2007-07-01 00:00:00,237.9,332.9,225.1,269.3,1221223
2007-08-01 00:00:00,267.4,280.0,236.2,256.96,234612
2007-09-01 00:00:00,259.4,295.0,251.5,279.7,372856
2007-10-01 00:00:00,285.0,310.0,111.1,118.9,4400484
2007-11-01 00:00:00,127.8,140.0,115.0,127.35,2090020
2007-12-01 00:00:00,131.8,165.0,129.5,159.15,3233382
2008-01-01 00:00:00,161.0,178.0,104.1,121.25,3251763
2008-02-01 00:00:00,118.05,128.8,95.65,113.95,2466936
2008-03-01 00:00:00,113.0,125.9,95.0,123.3,1497537
2008-04-01 00:00:00,120.15,125.75,102.5,107.15,541416
2008-05-01 00:00:00,109.95,112.0,90.1,97.65,839421
2008-06-01 00:00:00,97.0,101.75,75.25,79.15,462895
2008-07-01 00:00:00,78.0,83.7,65.5,71.05,346346
2008-08-01 00:00:00,70.05,74.65,63.65,70.7,1976658
2008-09-01 00:00:00,70.3,72.7,46.25,53.7,1635798
2008-10-01 00:00:00,52.0,54.75,27.25,31.1,679469
2008-11-01 00:00:00,32.25,38.95,28.2,31.5,605158
2008-12-01 00:00:00,31.15,50.5,30.0,38.3,1047630
2009-01-01 00:00:00,38.9,46.8,30.65,33.0,614157
2009-02-01 00:00:00,33.0,33.5,23.85,23.95,354343
2009-03-01 00:00:00,23.85,27.0,21.1,25.75,1535969
2009-04-01 00:00:00,26.4,38.9,25.0,32.05,6964735
2009-05-01 00:00:00,32.05,53.0,32.05,49.55,6364165
2009-06-01 00:00:00,50.05,61.0,40.1,45.25,7777266
2009-07-01 00:00:00,45.35,51.95,36.65,48.3,3640427
2009-08-01 00:00:00,48.5,57.0,43.1,52.55,7741966
2009-09-01 00:00:00,53.3,56.75,49.6,54.95,5684290
2009-10-01 00:00:00,55.0,55.9,46.6,47.8,2779168
2009-11-01 00:00:00,47.95,50.2,42.55,45.75,2793671
2009-12-01 00:00:00,46.2,54.9,45.0,52.9,3197770
2010-01-01 00:00:00,53.25,59.8,49.3,54.9,3821497
2010-02-01 00:00:00,55.65,59.4,51.5,53.15,3384153
2010-03-01 00:00:00,54.5,78.9,53.2,77.3,13513849
2010-04-01 00:00:00,77.85,78.6,68.9,72.1,1554892
2010-05-01 00:00:00,71.8,74.0,62.55,71.6,1636815
2010-06-01 00:00:00,73.0,95.9,70.7,83.9,8627754
2010-07-01 00:00:00,83.0,86.1,77.3,78.75,978714
2010-08-01 00:00:00,78.4,101.8,78.4,92.95,6124448
2010-09-01 00:00:00,93.0,109.9,85.4,91.1,5284342
2010-10-01 00:00:00,91.6,96.0,80.5,84.45,2206429
2010-11-01 00:00:00,84.45,102.4,81.05,85.45,2960684
2010-12-01 00:00:00,87.0,89.7,74.5,81.9,646823
2011-01-01 00:00:00,80.8,84.9,59.2,64.85,663123
2011-02-01 00:00:00,64.9,67.95,55.0,59.05,472273
2011-03-01 00:00:00,60.5,66.0,54.3,64.1,619911
2011-04-01 00:00:00,64.5,83.45,63.5,83.0,1368262
2011-05-01 00:00:00,83.1,144.2,81.95,124.1,14337689
2011-06-01 00:00:00,123.1,156.8,115.55,142.6,3045739
2011-07-01 00:00:00,145.5,161.5,137.2,142.2,1318002
2011-08-01 00:00:00,139.0,149.4,119.0,145.6,1004770
2011-09-01 00:00:00,146.7,156.4,121.0,128.85,903216
2011-10-01 00:00:00,125.1,132.8,117.0,124.6,127871
2011-11-01 00:00:00,124.0,139.7,106.7,117.45,353828
2011-12-01 00:00:00,116.0,120.15,101.1,105.65,893934
2012-01-01 00:00:00,103.6,121.6,101.0,112.95,587530
2012-02-01 00:00:00,111.0,116.9,105.15,110.05,644766
2012-03-01 00:00:00,109.0,128.5,98.1,101.3,2462703
2012-04-01 00:00:00,101.1,119.9,97.5,99.35,829051
2012-05-01 00:00:00,98.6,104.9,94.5,96.1,422117
2012-06-01 00:00:00,96.0,106.9,90.65,104.0,313194
2012-07-01 00:00:00,103.0,113.9,93.15,99.95,272524
2012-08-01 00:00:00,98.1,109.35,94.0,100.6,255900
2012-09-01 00:00:00,97.55,229.2,97.55,229.2,4471483
2012-10-01 00:00:00,240.65,240.65,171.0,180.0,1626708
2012-11-01 00:00:00,173.55,198.8,127.1,140.3,967898
2012-12-01 00:00:00,140.5,152.0,125.65,130.85,683091
2013-01-01 00:00:00,130.0,134.85,113.1,119.45,707835
2013-02-01 00:00:00,120.0,130.0,110.1,115.0,295891
2013-03-01 00:00:00,113.55,123.0,98.15,107.75,473703
2013-04-01 00:00:00,109.0,119.4,95.15,98.0,423218
2013-05-01 00:00:00,98.0,105.9,90.05,93.45,369964
2013-06-01 00:00:00,91.0,99.75,86.5,92.95,659544
2013-07-01 00:00:00,91.5,109.25,83.65,88.55,420160
2013-08-01 00:00:00,88.0,88.0,57.2,70.1,878856
2013-09-01 00:00:00,69.7,79.9,61.7,62.6,1228002
2013-10-01 00:00:00,63.95,73.9,52.05,52.35,1466602
2013-11-01 00:00:00,52.5,60.0,51.65,54.9,445967
2013-12-01 00:00:00,55.75,61.9,50.4,58.75,804762
2014-01-01 00:00:00,58.5,62.9,54.65,56.05,594396
2014-02-01 00:00:00,57.0,59.8,52.65,56.35,256133
2014-03-01 00:00:00,57.0,65.2,56.1,60.2,777778
2014-04-01 00:00:00,61.1,76.4,60.5,63.85,3721937
2014-05-01 00:00:00,63.85,77.6,60.0,68.95,2290378
2014-06-01 00:00:00,68.0,92.4,66.25,80.75,6272710
2014-07-01 00:00:00,81.0,84.7,68.65,71.9,2190024
2014-08-01 00:00:00,70.6,72.5,60.7,61.6,905427
2014-09-01 00:00:00,61.55,69.0,55.1,68.1,6699810
2014-10-01 00:00:00,67.25,75.55,61.0,73.05,12947525
2014-11-01 00:00:00,73.3,84.5,67.3,79.3,10134450
2014-12-01 00:00:00,79.4,82.0,59.5,61.2,4269179
2015-01-01 00:00:00,61.2,65.95,56.1,58.65,3851185
2015-02-01 00:00:00,58.1,62.4,53.05,56.95,2441017
2015-03-01 00:00:00,55.5,59.15,44.0,44.45,4601609
2015-04-01 00:00:00,45.7,76.0,44.9,68.75,12100828
2015-05-01 00:00:00,68.75,73.75,59.15,71.0,13259095
2015-06-01 00:00:00,71.65,93.75,69.4,88.1,20480458
