,Open,High,Low,Close,Volume
2010-06-01 00:00:00,37.12,37.45,35.92,36.58,2798
2010-07-01 00:00:00,36.0,48.47,34.5,47.83,13129854
2010-08-01 00:00:00,48.65,63.22,48.5,58.3,60101344
2010-09-01 00:00:00,58.58,74.95,58.38,72.95,30009262
2010-10-01 00:00:00,73.5,82.8,66.5,73.85,41671972
2010-11-01 00:00:00,74.75,94.95,67.5,69.68,48824364
2010-12-01 00:00:00,69.5,84.2,51.53,75.0,50170128
2011-01-01 00:00:00,75.25,77.22,56.4,57.92,46057518
2011-02-01 00:00:00,58.42,67.25,43.72,65.38,164345952
2011-03-01 00:00:00,62.7,67.43,55.75,66.4,30217294
2011-04-01 00:00:00,67.4,72.5,62.1,66.43,33459680
2011-05-01 00:00:00,67.05,68.5,54.47,55.88,55928870
2011-06-01 00:00:00,56.45,63.45,55.15,56.3,29283529
2011-07-01 00:00:00,56.95,62.0,54.5,55.05,27240790
2011-08-01 00:00:00,55.0,59.0,41.7,50.3,32412502
2011-09-01 00:00:00,50.9,60.25,50.5,52.5,28207141
2011-10-01 00:00:00,51.75,60.0,50.5,59.55,15723305
2011-11-01 00:00:00,59.55,67.0,50.1,57.85,34578187
2011-12-01 00:00:00,58.5,69.3,42.0,46.1,22210998
2012-01-01 00:00:00,46.5,57.55,45.5,57.0,21033672
2012-02-01 00:00:00,57.4,60.9,41.15,41.55,111297372
2012-03-01 00:00:00,41.1,48.3,27.25,30.45,197229998
2012-04-01 00:00:00,30.45,36.8,29.1,30.05,56708614
2012-05-01 00:00:00,30.05,30.55,18.7,20.4,139764832
2012-06-01 00:00:00,20.4,34.7,19.9,31.4,161140643
2012-07-01 00:00:00,31.5,35.8,30.05,33.55,76426944
2012-08-01 00:00:00,34.4,38.4,32.0,34.3,61479100
2012-09-01 00:00:00,34.75,40.35,34.2,39.75,44935108
2012-10-01 00:00:00,40.0,43.95,36.2,36.85,40295713
2012-11-01 00:00:00,36.1,38.5,31.05,36.55,74252132
2012-12-01 00:00:00,36.5,37.4,33.45,33.8,32546269
2013-01-01 00:00:00,35.0,46.0,33.65,43.55,118629156
2013-02-01 00:00:00,43.6,44.5,34.2,34.7,46089755
2013-03-01 00:00:00,35.0,35.6,21.4,21.6,100058534
2013-04-01 00:00:00,21.95,23.75,14.95,19.75,93263784
