,Open,High,Low,Close,Volume
2018-07-05 09:15:00,18.0,18.0,16.6,16.8,1316
2018-07-10 09:15:00,17.05,17.9,16.5,17.9,2897
2018-07-20 09:15:00,16.0,16.0,15.35,15.55,3535
2018-07-25 09:15:00,15.85,16.5,15.8,16.5,3242
2018-07-30 09:15:00,16.9,17.2,16.1,16.8,5064
2018-08-09 09:15:00,16.1,16.7,16.05,16.5,4796
2018-08-14 09:15:00,17.0,18.25,15.6,16.25,2064
2018-08-24 09:15:00,16.2,16.5,16.0,16.5,2220
2018-08-29 09:15:00,16.05,16.35,15.2,16.35,4587
2018-09-03 09:15:00,15.85,17.0,15.5,16.15,1469
2018-09-18 09:15:00,15.25,15.9,15.25,15.25,932
2018-09-28 09:15:00,12.4,12.4,11.2,11.45,6257
2018-10-03 09:15:00,11.05,11.5,10.7,11.3,11345
2018-10-08 09:15:00,11.45,11.45,11.0,11.0,2620
2018-10-23 09:15:00,12.2,12.2,11.3,11.35,2770
2018-11-02 09:15:00,12.7,12.7,12.5,12.7,570
2018-11-07 09:00:00,12.55,12.55,12.55,12.55,0
2018-11-12 09:15:00,12.05,12.1,12.05,12.1,448
2018-11-22 09:15:00,12.75,13.1,12.75,13.1,352
2018-11-27 09:15:00,12.7,13.35,12.7,13.35,3335
2018-12-07 09:15:00,14.65,14.65,13.2,13.8,14624
2018-12-12 09:15:00,12.7,13.9,12.25,13.15,1364
2018-12-17 09:15:00,14.0,15.85,14.0,15.85,5412
2018-12-27 09:15:00,17.9,17.9,16.5,17.0,8052
2019-01-01 09:15:00,18.9,19.7,18.15,19.35,24162
2019-01-11 09:15:00,16.6,17.0,16.6,16.6,2429
2019-01-16 09:15:00,16.75,17.35,16.2,16.25,997
2019-01-21 09:15:00,16.0,16.0,15.15,15.65,1908
2019-01-31 09:15:00,14.0,14.0,13.35,13.5,3140
2019-02-05 09:15:00,14.0,14.0,13.05,13.05,392
2019-02-15 09:15:00,11.25,11.55,11.0,11.1,426
2019-02-20 09:15:00,11.0,11.0,10.75,10.85,31437
2019-02-25 09:15:00,11.0,11.0,10.45,10.6,921
2019-03-07 09:15:00,11.5,11.6,10.9,11.6,2292
2019-03-12 09:15:00,13.2,13.3,12.2,13.3,2652
2019-03-22 09:15:00,13.9,13.9,13.9,13.9,7
2019-03-27 09:15:00,13.2,13.2,12.0,12.0,1055
2019-04-01 09:15:00,12.05,12.6,12.05,12.6,230
2019-04-11 09:15:00,12.9,13.8,12.55,12.85,844
2019-04-16 09:15:00,13.35,13.4,13.0,13.15,902
2019-04-26 09:15:00,12.85,12.85,12.5,12.85,2179
2019-05-06 09:15:00,12.5,12.5,11.6,12.1,91
2019-05-16 09:15:00,11.6,11.6,10.6,10.95,903
2019-05-21 09:15:00,11.15,11.15,10.6,11.0,2252
2019-05-31 09:15:00,10.95,10.95,10.3,10.65,2379
2019-06-10 09:15:00,9.95,9.95,9.5,9.95,2636
2019-06-20 09:15:00,8.25,8.25,7.2,7.8,7552
2019-06-25 09:15:00,7.4,8.0,7.35,7.9,2775
2019-07-05 09:15:00,7.15,7.15,6.95,6.95,35
2019-07-10 09:15:00,6.65,6.65,6.5,6.5,2000
2019-07-15 09:15:00,6.35,6.35,6.35,6.35,0
2019-07-25 09:15:00,6.3,6.3,5.75,6.3,1806
2019-07-30 09:15:00,6.9,6.9,6.9,6.9,3961
2019-08-09 09:15:00,7.75,7.75,7.75,7.75,622
2019-08-14 09:15:00,7.45,7.45,7.45,7.45,0
2019-08-19 09:15:00,7.45,7.45,7.45,7.45,0
2019-08-29 09:15:00,5.9,5.9,5.9,5.9,1
2019-09-03 09:15:00,5.6,5.6,5.6,5.6,401
2019-09-13 09:15:00,5.65,5.9,5.65,5.9,2305
2019-09-18 09:15:00,5.2,5.2,5.2,5.2,444
2019-09-23 09:15:00,5.5,5.75,5.4,5.45,2395
2019-10-03 09:15:00,4.75,5.25,4.75,5.2,1892
