,Open,High,Low,Close,Volume
2020-06-01 09:15:00,6.05,6.45,6.05,6.45,500.0
2020-06-01 10:45:00,6.45,6.45,6.45,6.45,50.0
2020-06-01 12:15:00,6.45,6.45,6.05,6.45,1875.0
2020-06-01 13:45:00,6.45,6.45,6.05,6.05,595.0
2020-06-02 09:15:00,5.75,6.35,5.75,6.3,182.0
2020-06-02 10:45:00,5.8,6.35,5.8,5.85,1581.0
2020-06-02 12:15:00,6.35,6.35,6.05,6.05,872.0
2020-06-02 13:45:00,6.35,6.35,6.35,6.35,99.0
2020-06-02 15:15:00,6.35,6.35,5.9,6.1,996.0
2020-06-03 09:15:00,6.35,6.4,5.85,6.05,808.0
2020-06-03 10:45:00,6.05,6.05,6.05,6.05,20.0
2020-06-03 12:15:00,6.1,6.4,6.05,6.05,599.0
2020-06-03 13:45:00,6.4,6.4,6.05,6.05,999.0
2020-06-03 15:15:00,6.05,6.05,6.05,6.05,1700.0
2020-06-04 09:15:00,6.35,6.35,5.8,5.8,0.0
2020-06-04 10:45:00,6.2,6.2,5.8,5.8,1398.0
2020-06-04 12:15:00,5.8,5.8,5.8,5.8,100.0
2020-06-04 13:45:00,5.8,6.3,5.8,6.3,50.0
2020-06-05 09:15:00,6.0,6.0,6.0,6.0,1392.0
2020-06-05 10:45:00,6.0,6.0,6.0,6.0,1215.0
2020-06-05 12:15:00,6.0,6.0,6.0,6.0,21400.0
2020-06-05 13:45:00,6.0,6.0,6.0,6.0,4418.0
2020-06-05 15:15:00,6.0,6.0,6.0,6.0,60.0
2020-06-08 09:15:00,6.0,6.25,5.7,5.7,11667.0
2020-06-08 10:45:00,6.15,6.15,5.7,6.0,2774.0
2020-06-08 12:15:00,5.8,6.2,5.75,5.75,2707.0
2020-06-08 13:45:00,5.75,6.2,5.75,6.15,3467.0
2020-06-08 15:15:00,6.15,6.15,6.15,6.15,200.0
2020-06-09 09:15:00,6.35,6.35,5.9,6.2,975.0
2020-06-09 10:45:00,6.2,6.2,6.05,6.05,660.0
2020-06-09 12:15:00,6.25,6.25,5.95,5.95,720.0
2020-06-09 13:45:00,5.95,6.25,5.85,6.25,1803.0
2020-06-09 15:15:00,6.0,6.0,6.0,6.0,700.0
2020-06-10 09:15:00,5.85,6.3,5.7,6.0,2981.0
2020-06-10 10:45:00,5.85,5.85,5.85,5.85,2.0
2020-06-10 12:15:00,6.1,6.1,5.85,6.1,32921.0
2020-06-10 13:45:00,6.1,6.25,6.1,6.25,1881.0
2020-06-10 15:15:00,6.25,6.25,6.1,6.15,900.0
2020-06-11 09:15:00,6.3,6.3,5.9,6.25,1237.0
2020-06-11 13:45:00,6.1,6.1,5.85,5.9,3311.0
2020-06-12 09:15:00,6.15,6.15,5.7,5.7,1576.0
2020-06-12 10:45:00,6.0,6.0,6.0,6.0,194.0
2020-06-12 12:15:00,5.9,6.0,5.9,6.0,201.0
2020-06-12 13:45:00,6.0,6.0,6.0,6.0,10.0
2020-06-12 15:15:00,6.0,6.0,6.0,6.0,90.0
2020-06-15 09:15:00,6.0,6.2,5.7,6.0,8337.0
2020-06-15 10:45:00,5.8,6.2,5.75,6.2,700.0
2020-06-15 12:15:00,6.2,6.2,5.8,5.95,200.0
2020-06-15 13:45:00,5.85,5.85,5.8,5.8,150.0
2020-06-15 15:15:00,5.85,5.85,5.8,5.8,45.0
2020-06-16 09:15:00,5.7,6.0,5.65,6.0,1233.0
2020-06-16 10:45:00,6.0,6.0,6.0,6.0,0.0
2020-06-16 12:15:00,6.0,6.0,5.55,5.55,7683.0
2020-06-16 13:45:00,5.75,5.75,5.55,5.55,1300.0
2020-06-17 09:15:00,5.55,5.75,5.55,5.75,100.0
2020-06-17 10:45:00,5.55,5.65,5.55,5.65,55.0
2020-06-17 12:15:00,5.6,5.6,5.6,5.6,900.0
2020-06-17 13:45:00,5.75,5.8,5.6,5.6,1916.0
2020-06-18 09:15:00,5.85,5.85,5.5,5.5,2350.0
2020-06-18 10:45:00,5.8,5.8,5.8,5.8,12.0
2020-06-18 12:15:00,5.8,5.85,5.8,5.8,1770.0
2020-06-18 13:45:00,5.85,5.85,5.85,5.85,1001.0
2020-06-19 09:15:00,5.6,6.1,5.6,6.1,1220.0
2020-06-19 10:45:00,6.1,6.1,6.1,6.1,1725.0
2020-06-19 12:15:00,6.1,6.1,6.1,6.1,300.0
2020-06-19 13:45:00,6.1,6.1,6.1,6.1,110.0
2020-06-19 15:15:00,6.1,6.1,6.1,6.1,25.0
2020-06-22 09:15:00,6.15,6.4,6.0,6.25,2267.0
2020-06-22 10:45:00,6.2,6.25,6.05,6.25,1643.0
2020-06-22 12:15:00,6.05,6.4,6.05,6.4,3000.0
2020-06-22 13:45:00,6.2,6.4,6.2,6.4,395.0
2020-06-22 15:15:00,6.2,6.4,6.2,6.3,2.0
2020-06-23 09:15:00,6.3,6.6,6.15,6.6,2778.0
2020-06-23 10:45:00,6.6,6.6,6.6,6.6,58.0
2020-06-23 12:15:00,6.6,6.6,6.6,6.6,16.0
2020-06-23 13:45:00,6.6,6.6,6.6,6.6,260.0
2020-06-24 09:15:00,6.9,6.9,6.9,6.9,137.0
2020-06-24 10:45:00,6.9,6.9,6.9,6.9,1528.0
2020-06-24 12:15:00,6.9,6.9,6.4,6.9,6697.0
2020-06-24 13:45:00,6.85,6.9,6.85,6.9,2555.0
2020-06-24 15:15:00,6.9,6.9,6.9,6.9,1.0
2020-06-25 09:15:00,6.7,6.85,6.6,6.65,2365.0
2020-06-25 10:45:00,6.65,6.85,6.65,6.65,2200.0
2020-06-25 12:15:00,6.65,6.65,6.65,6.65,202.0
2020-06-25 13:45:00,6.65,6.8,6.65,6.8,430.0
2020-06-25 15:15:00,6.7,6.7,6.7,6.7,110.0
2020-06-26 09:15:00,6.9,6.9,6.9,6.9,30.0
2020-06-26 10:45:00,6.5,6.9,6.5,6.9,65.0
2020-06-26 12:15:00,6.6,6.6,6.6,6.6,1005.0
2020-06-26 13:45:00,6.7,6.7,6.4,6.45,1346.0
2020-06-29 09:15:00,6.45,6.65,6.45,6.45,1560.0
2020-06-29 10:45:00,6.15,6.15,6.15,6.15,1693.0
2020-06-29 12:15:00,6.45,6.45,6.45,6.45,100.0
2020-06-29 13:45:00,6.2,6.2,6.2,6.2,10.0
2020-06-29 15:15:00,6.4,6.4,6.4,6.4,30.0
2020-06-30 09:15:00,6.2,6.4,6.1,6.1,1483.0
2020-06-30 10:45:00,6.1,6.4,6.1,6.4,929.0
2020-06-30 12:15:00,6.1,6.1,6.1,6.1,1100.0
2020-06-30 13:45:00,6.1,6.1,6.1,6.1,200.0
2020-06-30 15:15:00,6.1,6.1,6.1,6.1,100.0
