,Open,High,Low,Close,Volume
2011-10-01 00:00:00,110.0,233.4,110.0,228.0,57880343
2011-11-01 00:00:00,225.9,309.4,188.3,249.65,28568120
2011-12-01 00:00:00,254.1,280.05,183.3,232.4,11183936
2012-01-01 00:00:00,232.25,304.0,225.05,299.05,3139179
2012-02-01 00:00:00,302.0,345.9,278.95,296.9,1829630
2012-03-01 00:00:00,303.0,446.0,274.95,322.85,18716012
2012-04-01 00:00:00,337.8,337.8,265.0,279.4,4315412
2012-05-01 00:00:00,278.1,311.55,264.95,280.0,763409
2012-06-01 00:00:00,280.95,329.0,265.0,317.85,2500637
2012-07-01 00:00:00,323.0,534.4,300.0,523.3,11108394
2012-08-01 00:00:00,524.6,674.0,497.0,651.55,4946784
2012-09-01 00:00:00,655.0,767.4,625.0,719.25,2673242
2012-10-01 00:00:00,724.8,850.0,721.7,758.05,1559940
2012-11-01 00:00:00,764.3,840.55,730.0,752.4,962769
2012-12-01 00:00:00,759.8,839.0,728.0,730.5,740116
2013-01-01 00:00:00,734.8,805.0,710.15,722.65,784251
2013-02-01 00:00:00,728.5,782.0,429.55,429.55,946738
2013-03-01 00:00:00,386.6,386.6,145.75,145.75,83980
2013-04-01 00:00:00,138.5,227.25,125.05,227.25,457540
2013-05-01 00:00:00,227.25,268.2,198.0,232.55,386241
2013-06-01 00:00:00,225.2,242.95,167.1,177.1,291055
2013-07-01 00:00:00,177.0,223.5,171.0,176.5,111945
2013-08-01 00:00:00,188.95,230.0,170.0,202.95,75097
2013-09-01 00:00:00,221.95,311.95,196.05,279.45,476243
2013-10-01 00:00:00,270.05,333.0,240.0,307.25,538063
2013-11-01 00:00:00,309.5,310.0,282.1,285.75,69243
2013-12-01 00:00:00,285.0,312.35,180.5,200.8,4459061
2014-01-01 00:00:00,199.15,242.0,162.0,172.9,5904232
2014-02-01 00:00:00,173.0,209.6,172.1,196.15,1135179
2014-03-01 00:00:00,198.0,198.0,146.55,150.9,540370
2014-04-01 00:00:00,152.75,169.0,123.0,139.05,248784
2014-05-01 00:00:00,139.05,194.0,132.0,165.65,1186323
2014-06-01 00:00:00,165.1,213.9,148.1,193.8,5332402
2014-07-01 00:00:00,181.0,185.5,152.0,165.85,1769950
2014-08-01 00:00:00,160.0,285.2,155.05,216.6,9823245
2014-09-01 00:00:00,220.0,359.0,203.3,257.6,11355274
2014-10-01 00:00:00,212.8,224.9,180.0,201.3,4618582
2014-11-01 00:00:00,202.1,217.5,156.35,163.1,2273961
2014-12-01 00:00:00,163.95,167.0,124.1,134.7,3485175
2015-01-01 00:00:00,134.2,146.8,127.8,129.25,1004127
2015-02-01 00:00:00,130.05,133.5,108.0,127.75,373182
2015-03-01 00:00:00,114.0,159.95,86.25,124.2,4277322
2015-04-01 00:00:00,125.8,157.5,71.0,81.0,7752990
2015-05-01 00:00:00,72.45,82.2,62.0,64.9,2165333
2015-06-01 00:00:00,62.8,78.5,55.0,68.75,4423755
2015-07-01 00:00:00,68.7,82.95,31.6,44.95,11693980
2015-08-01 00:00:00,34.5,37.0,25.05,25.7,3277849
2015-09-01 00:00:00,31.0,52.25,28.05,49.55,3407066
2015-10-01 00:00:00,50.35,83.55,48.6,59.05,8446815
2015-11-01 00:00:00,67.0,70.4,53.0,69.0,8464800
2015-12-01 00:00:00,69.95,77.25,58.1,60.35,5088472
2016-01-01 00:00:00,60.8,63.4,32.0,38.6,2906498
2016-02-01 00:00:00,38.75,39.6,26.65,29.0,698579
2016-03-01 00:00:00,30.4,41.5,29.0,32.45,1834166
2016-04-01 00:00:00,32.4,37.0,28.0,29.35,1427196
2016-05-01 00:00:00,29.1,30.0,25.1,28.5,656770
2016-06-01 00:00:00,27.75,30.5,25.1,27.15,901526
2016-07-01 00:00:00,27.5,36.7,26.8,32.15,2018203
2016-08-01 00:00:00,33.55,34.0,27.0,27.95,524673
