,Open,High,Low,Close,Volume
2011-10-17 00:00:00,110.0,203.45,110.0,198.8,47144289
2011-10-24 00:00:00,197.9,227.0,173.65,223.55,8260571
2011-10-31 00:00:00,213.6,233.7,188.3,228.75,9506804
2011-11-07 00:00:00,225.0,236.0,200.25,214.8,4075308
2011-11-14 00:00:00,216.7,309.4,216.7,265.35,11934961
2011-11-21 00:00:00,267.4,286.7,256.7,268.55,3848452
2011-11-28 00:00:00,271.6,283.9,245.0,263.5,2319994
2011-12-05 00:00:00,280.05,280.05,191.1,201.6,1699090
2011-12-12 00:00:00,203.2,237.95,203.2,234.85,2406266
2011-12-19 00:00:00,233.2,252.45,183.3,230.35,2712048
2011-12-26 00:00:00,231.5,251.9,196.0,232.4,3724616
2012-01-02 00:00:00,232.25,245.0,227.0,239.15,981454
2012-01-09 00:00:00,241.0,253.55,225.05,250.5,653718
2012-01-16 00:00:00,249.9,268.7,229.1,266.8,599449
2012-01-23 00:00:00,266.8,272.0,253.0,258.65,390172
2012-01-30 00:00:00,256.0,308.9,255.0,295.95,759765
2012-02-06 00:00:00,300.65,312.0,285.0,290.75,81893
2012-02-13 00:00:00,294.0,308.9,288.2,300.25,147469
2012-02-20 00:00:00,300.25,339.6,288.2,315.9,533978
2012-02-27 00:00:00,311.95,345.9,274.95,283.8,1089147
2012-03-05 00:00:00,290.0,318.85,290.0,310.3,501669
2012-03-12 00:00:00,315.0,436.0,312.0,428.65,2669226
2012-03-19 00:00:00,429.05,446.0,300.05,351.15,5325310
2012-03-26 00:00:00,347.0,444.9,322.25,322.85,9938444
2012-04-02 00:00:00,337.8,337.8,293.65,304.35,2333372
2012-04-09 00:00:00,300.0,324.6,296.25,300.7,1056014
2012-04-16 00:00:00,301.0,310.95,270.1,287.7,620335
2012-04-23 00:00:00,289.1,297.5,265.0,281.4,260482
2012-04-30 00:00:00,281.75,288.55,270.0,272.45,146569
2012-05-07 00:00:00,265.25,284.35,265.0,266.65,131188
2012-05-14 00:00:00,268.7,277.0,264.95,266.0,117251
2012-05-21 00:00:00,267.25,311.55,265.0,282.9,252306
2012-05-28 00:00:00,283.0,290.35,265.0,265.6,189227
2012-06-04 00:00:00,266.0,281.0,265.0,272.4,129153
2012-06-11 00:00:00,271.05,287.0,265.0,266.4,255604
2012-06-18 00:00:00,265.7,307.0,265.0,275.95,644784
2012-06-25 00:00:00,280.85,329.0,276.35,317.85,1443173
2012-07-02 00:00:00,323.0,367.5,300.0,323.5,1576494
2012-07-09 00:00:00,325.9,472.0,325.4,432.05,4506253
2012-07-16 00:00:00,434.25,491.5,425.55,489.85,2553522
2012-07-23 00:00:00,491.0,519.4,479.15,498.05,1808780
2012-07-30 00:00:00,502.0,545.0,497.0,510.15,1465185
2012-08-06 00:00:00,511.1,553.0,508.2,547.55,1070450
2012-08-13 00:00:00,546.0,572.7,528.4,531.85,664914
2012-08-20 00:00:00,531.85,638.6,531.85,633.4,1437219
2012-08-27 00:00:00,568.0,674.0,568.0,651.55,972361
2012-09-03 00:00:00,655.0,693.0,625.0,690.75,784531
2012-09-10 00:00:00,675.0,748.0,641.15,744.3,1059344
2012-09-17 00:00:00,744.45,754.25,702.5,749.5,443101
2012-09-24 00:00:00,748.0,767.4,709.0,719.25,386266
2012-10-01 00:00:00,724.8,777.85,721.7,763.3,404626
2012-10-08 00:00:00,765.0,827.0,764.1,806.45,558553
2012-10-15 00:00:00,807.75,850.0,740.0,780.2,308203
2012-10-22 00:00:00,786.5,820.0,780.0,786.1,149668
2012-10-29 00:00:00,752.4,778.0,751.4,760.4,214807
2012-11-05 00:00:00,762.4,840.55,762.4,818.95,470531
2012-11-12 00:00:00,810.0,819.7,752.0,791.5,103634
2012-11-19 00:00:00,790.9,816.0,730.0,785.35,138686
2012-11-26 00:00:00,787.0,801.0,750.0,752.4,174001
2012-12-03 00:00:00,759.8,821.1,756.5,802.65,204766
2012-12-10 00:00:00,804.8,839.0,762.35,779.7,221517
2012-12-17 00:00:00,780.8,799.0,757.05,774.45,192339
2012-12-24 00:00:00,774.55,783.05,732.45,736.85,105615
2012-12-31 00:00:00,740.0,759.5,710.15,715.1,102890
2013-01-07 00:00:00,715.0,805.0,710.2,724.75,337256
2013-01-14 00:00:00,728.0,774.0,719.9,734.8,120817
2013-01-21 00:00:00,736.3,744.5,715.0,724.25,143631
2013-01-28 00:00:00,729.95,760.15,715.95,735.9,188433
2013-02-04 00:00:00,735.9,782.0,715.5,753.15,546422
2013-02-11 00:00:00,758.5,759.95,705.0,716.85,120231
2013-02-18 00:00:00,716.7,769.0,712.35,765.8,108678
2013-02-25 00:00:00,749.9,765.0,386.6,386.6,78628
2013-03-04 00:00:00,347.95,347.95,283.5,283.5,2389
2013-03-11 00:00:00,269.35,269.35,219.45,219.45,29992
2013-03-18 00:00:00,208.5,208.5,169.9,169.9,2529
2013-03-25 00:00:00,161.45,161.45,145.75,145.75,48952
2013-04-01 00:00:00,138.5,152.3,125.05,152.3,27076
2013-04-08 00:00:00,158.5,194.25,156.15,194.25,32935
2013-04-15 00:00:00,203.95,203.95,171.0,174.15,333704
2013-04-22 00:00:00,172.0,206.15,172.0,206.15,37677
2013-04-29 00:00:00,216.45,238.6,205.15,205.7,65827
2013-05-06 00:00:00,205.7,236.8,198.0,225.4,59924
2013-05-13 00:00:00,232.2,268.2,232.2,242.2,86765
2013-05-20 00:00:00,248.0,265.9,231.0,241.6,59868
2013-05-27 00:00:00,249.0,249.55,230.0,232.55,140005
2013-06-03 00:00:00,225.2,238.0,215.7,236.0,80513
2013-06-10 00:00:00,242.95,242.95,223.1,229.0,44639
2013-06-17 00:00:00,225.05,233.8,203.0,203.0,126760
2013-06-24 00:00:00,200.0,200.0,167.1,177.1,39143
2013-07-01 00:00:00,177.0,223.5,177.0,209.55,50524
2013-07-08 00:00:00,201.0,219.15,198.2,212.8,34434
2013-07-15 00:00:00,206.15,214.9,200.0,202.45,11997
2013-07-22 00:00:00,201.05,212.95,184.55,199.65,10221
2013-07-29 00:00:00,180.0,196.0,171.0,184.35,8499
2013-08-05 00:00:00,182.05,194.6,179.0,184.9,7608
2013-08-12 00:00:00,188.0,204.65,183.0,188.25,7277
2013-08-19 00:00:00,198.7,198.7,170.0,184.35,9669
2013-08-26 00:00:00,183.95,230.0,180.0,202.95,46813
2013-09-02 00:00:00,221.95,227.5,196.05,219.2,36089
2013-09-09 00:00:00,219.2,279.7,210.0,261.25,58028
2013-09-16 00:00:00,261.3,264.0,240.0,251.45,37282
2013-09-23 00:00:00,260.0,311.95,250.0,286.45,338563
2013-09-30 00:00:00,280.05,295.0,240.0,257.25,244526
2013-10-07 00:00:00,261.0,297.0,261.0,289.05,21846
2013-10-14 00:00:00,295.0,333.0,271.6,281.65,147261
2013-10-21 00:00:00,278.95,291.9,272.0,280.85,34263
2013-10-28 00:00:00,284.0,328.8,265.25,304.85,102561
2013-11-04 00:00:00,304.85,310.0,289.2,294.2,12109
2013-11-11 00:00:00,293.5,306.9,285.0,294.4,17386
2013-11-18 00:00:00,285.0,299.5,284.0,287.3,12136
2013-11-25 00:00:00,288.9,299.95,282.1,285.75,21499
2013-12-02 00:00:00,285.0,304.8,260.0,268.5,39314
2013-12-09 00:00:00,289.9,293.5,251.25,260.3,383358
2013-12-16 00:00:00,265.0,312.35,217.2,221.55,1540946
2013-12-23 00:00:00,223.0,233.8,180.5,193.0,1808206
2013-12-30 00:00:00,195.05,208.9,171.5,178.45,1361390
2014-01-06 00:00:00,176.4,194.9,171.1,183.6,832863
2014-01-13 00:00:00,180.2,197.9,180.2,183.2,248928
2014-01-20 00:00:00,181.0,242.0,165.1,166.45,3450085
2014-01-27 00:00:00,164.0,184.7,162.0,172.9,698203
2014-02-03 00:00:00,173.0,184.0,172.5,175.95,208691
2014-02-10 00:00:00,180.95,186.0,172.1,177.25,198182
2014-02-17 00:00:00,179.0,193.6,176.0,190.1,272094
2014-02-24 00:00:00,193.95,209.6,191.05,196.15,456212
2014-03-03 00:00:00,198.0,198.0,177.0,178.65,214712
2014-03-10 00:00:00,179.0,180.0,165.1,168.05,94226
2014-03-17 00:00:00,168.05,174.9,157.0,158.15,70759
2014-03-24 00:00:00,161.45,163.7,147.6,148.45,103937
2014-03-31 00:00:00,148.65,169.0,146.55,159.7,151124
2014-04-07 00:00:00,157.5,160.95,151.0,151.35,61145
2014-04-14 00:00:00,151.35,155.0,148.5,149.75,21093
2014-04-21 00:00:00,151.2,152.9,144.0,146.85,47636
2014-04-28 00:00:00,146.05,148.9,123.0,136.05,34403
2014-05-05 00:00:00,133.4,160.0,132.0,156.7,464834
2014-05-12 00:00:00,161.25,173.5,152.7,159.9,280479
2014-05-19 00:00:00,158.3,194.0,140.0,175.55,298183
2014-05-26 00:00:00,182.0,188.0,160.0,165.65,132946
2014-06-02 00:00:00,165.1,213.9,165.1,205.85,443014
2014-06-09 00:00:00,206.0,209.0,160.0,162.8,147237
2014-06-16 00:00:00,167.0,172.45,158.55,163.05,85617
2014-06-23 00:00:00,161.4,202.9,148.1,178.45,2014188
2014-06-30 00:00:00,179.45,188.0,158.0,159.15,835470
2014-07-07 00:00:00,159.05,182.4,152.0,161.5,707661
2014-07-14 00:00:00,159.9,179.0,159.9,167.6,260257
2014-07-21 00:00:00,168.05,171.5,160.0,161.35,122034
2014-07-28 00:00:00,162.55,164.1,156.0,157.35,38835
2014-08-04 00:00:00,158.1,201.7,155.05,177.1,976947
2014-08-11 00:00:00,179.5,239.0,175.1,235.3,3268710
2014-08-18 00:00:00,238.0,248.7,216.0,220.65,782724
2014-08-25 00:00:00,225.0,285.2,208.0,216.6,3025282
2014-09-01 00:00:00,220.0,259.3,212.0,246.45,1685675
2014-09-08 00:00:00,246.0,284.85,243.4,277.55,1487835
