,Open,High,Low,Close,Volume
2020-06-30 09:21:00,6.2,6.2,6.2,6.2,0.0
2020-06-30 09:27:00,6.2,6.2,6.2,6.2,20.0
2020-06-30 09:43:00,6.2,6.2,6.2,6.2,980.0
2020-06-30 09:53:00,6.4,6.4,6.4,6.4,3.0
2020-06-30 10:33:00,6.35,6.35,6.1,6.1,410.0
2020-06-30 10:35:00,6.1,6.1,6.1,6.1,70.0
2020-06-30 10:57:00,6.1,6.1,6.1,6.1,690.0
2020-06-30 11:05:00,6.1,6.1,6.1,6.1,0.0
2020-06-30 11:09:00,6.1,6.1,6.1,6.1,280.0
2020-06-30 11:11:00,6.1,6.1,6.1,6.1,13.0
2020-06-30 11:13:00,6.4,6.4,6.4,6.4,0.0
2020-06-30 12:35:00,6.1,6.1,6.1,6.1,296.0
2020-06-30 13:05:00,6.1,6.1,6.1,6.1,704.0
2020-06-30 13:19:00,6.1,6.1,6.1,6.1,100.0
2020-06-30 14:17:00,6.1,6.1,6.1,6.1,200.0
2020-06-30 15:15:00,6.1,6.1,6.1,6.1,100.0
2020-06-30 15:19:00,6.1,6.1,6.1,6.1,0.0
