,Open,High,Low,Close,Volume
2020-04-21 09:15:00,68.5,68.5,64.2,65.1,8688
2020-04-22 09:15:00,64.95,69.0,64.7,65.7,8816
2020-04-23 09:15:00,62.9,69.35,62.9,66.8,7591
2020-04-24 09:15:00,66.0,69.5,63.0,66.5,6539
2020-04-27 09:15:00,68.9,68.95,65.55,66.15,5901
2020-04-28 09:15:00,67.9,69.2,65.4,68.1,3440
2020-04-29 09:15:00,67.5,68.9,66.15,67.65,6894
2020-04-30 09:15:00,69.1,72.1,66.5,67.25,31568
2020-05-04 09:15:00,68.0,68.0,60.55,61.15,16884
2020-05-05 09:15:00,61.7,63.95,60.6,61.55,4269
2020-05-06 09:15:00,64.5,64.5,58.05,58.85,11546
2020-05-07 09:15:00,59.7,60.0,57.7,59.85,3057
2020-05-08 09:15:00,60.05,61.9,60.05,60.8,3656
2020-05-11 09:15:00,60.1,63.2,55.8,59.95,7263
2020-05-12 09:15:00,60.95,60.95,54.0,54.7,75281
2020-05-13 09:15:00,56.95,57.75,55.2,56.75,17515
2020-05-14 09:15:00,56.75,56.95,54.5,54.95,13762
2020-05-15 09:15:00,55.55,56.9,53.15,53.7,27240
2020-05-18 09:15:00,55.0,56.0,50.15,51.5,11147
2020-05-19 09:15:00,53.3,53.3,52.15,52.9,3993
2020-05-20 09:15:00,52.4,54.8,48.75,53.15,6772
2020-05-21 09:15:00,53.25,54.95,53.2,54.5,5847
2020-05-22 09:15:00,54.35,54.95,52.7,53.2,4810
2020-05-26 09:15:00,55.0,55.0,52.05,52.9,3136
2020-05-27 09:15:00,53.0,53.75,52.0,52.45,7879
2020-05-28 09:15:00,52.35,54.8,52.0,53.65,8805
2020-05-29 09:15:00,54.0,54.5,53.0,53.75,23916
2020-06-01 09:15:00,55.0,58.6,54.7,55.95,29190
2020-06-02 09:15:00,57.5,58.25,55.1,56.75,33575
2020-06-03 09:15:00,56.75,61.0,56.75,59.85,148150
2020-06-04 09:15:00,60.85,64.3,58.0,63.75,54998
2020-06-05 09:15:00,65.0,69.7,61.55,68.8,42547
2020-06-08 09:15:00,71.85,72.3,66.0,69.05,77486
2020-06-09 09:15:00,69.8,69.8,62.3,62.95,48120
2020-06-10 09:15:00,63.9,66.0,62.5,63.65,64933
2020-06-11 09:15:00,63.5,67.0,60.05,61.1,37352
2020-06-12 09:15:00,58.6,73.3,57.05,73.3,561770
2020-06-15 09:15:00,77.9,84.0,73.05,75.1,471218
2020-06-16 09:15:00,76.35,77.9,68.2,72.5,130794
2020-06-17 09:15:00,70.0,71.4,68.5,68.8,51095
2020-06-18 09:15:00,70.9,82.55,70.9,82.55,270023
2020-06-19 09:15:00,98.0,99.05,91.6,99.05,928795
2020-06-22 09:15:00,106.75,107.7,94.1,94.5,384764
2020-06-23 09:15:00,94.0,94.0,86.3,88.2,277225
2020-06-24 09:15:00,89.0,93.4,88.0,88.45,159558
2020-06-25 09:15:00,85.6,90.25,84.0,87.55,65310
2020-06-26 09:15:00,88.0,89.25,84.0,86.0,51900
2020-06-29 09:15:00,87.65,88.0,81.3,82.0,50553
2020-06-30 09:15:00,82.3,86.8,80.45,83.55,104558
2020-07-01 09:15:00,85.8,85.8,82.3,82.95,41055
2020-07-02 09:15:00,82.7,85.5,82.7,82.85,47860
2020-07-03 09:15:00,82.15,83.95,82.05,82.3,26342
2020-07-06 09:15:00,83.8,84.15,82.9,83.15,27804
2020-07-07 09:15:00,83.15,83.8,80.1,80.95,38134
2020-07-08 09:15:00,80.95,82.25,78.35,79.8,61884
2020-07-09 09:15:00,81.8,81.8,80.0,80.3,22741
2020-07-10 09:15:00,81.35,81.6,78.1,79.3,34103
2020-07-13 09:15:00,81.95,81.95,78.05,78.5,25206
2020-07-14 09:15:00,77.9,78.5,75.1,77.0,25258
2020-07-15 13:51:09,77.1,80.75,77.05,78.3,22238
