,Open,High,Low,Close,Volume
2013-07-08 00:00:00,57.0,57.0,57.0,57.0,6299.0
2013-07-15 00:00:00,54.15,55.9,47.0,48.15,552573.0
2013-07-22 00:00:00,48.0,50.25,40.25,41.75,289178.0
2013-07-29 00:00:00,39.0,44.2,28.5,35.6,894793.0
2013-08-05 00:00:00,35.1,36.0,31.6,34.65,542046.0
2013-08-12 00:00:00,38.0,39.7,34.3,35.95,259534.0
2013-08-19 00:00:00,35.4,36.5,33.0,33.95,193091.0
2013-08-26 00:00:00,34.9,34.95,31.65,33.05,266101.0
2013-09-02 00:00:00,33.3,34.85,32.1,33.4,1106593.0
2013-09-09 00:00:00,33.4,36.55,32.6,34.45,987348.0
2013-09-16 00:00:00,34.2,39.0,33.55,37.0,558884.0
2013-09-23 00:00:00,36.5,39.5,35.1,37.8,486391.0
2013-09-30 00:00:00,39.45,39.5,37.05,38.35,91974.0
2013-10-07 00:00:00,38.45,41.35,37.5,41.05,2224901.0
2013-10-14 00:00:00,38.65,44.85,38.65,40.0,122906.0
2013-10-21 00:00:00,40.0,40.8,37.75,38.15,127642.0
2013-10-28 00:00:00,38.0,39.95,34.65,39.15,232661.0
2013-11-04 00:00:00,39.15,44.0,38.2,40.9,351670.0
2013-11-11 00:00:00,40.7,42.0,38.05,39.3,195822.0
2013-11-18 00:00:00,40.5,40.9,37.3,39.6,199284.0
2013-11-25 00:00:00,39.0,40.8,37.65,39.0,314918.0
2013-12-02 00:00:00,39.0,42.45,38.6,41.4,270007.0
2013-12-09 00:00:00,41.05,45.0,39.0,41.0,152580.0
2013-12-16 00:00:00,42.95,43.0,38.5,39.5,1263920.0
2013-12-23 00:00:00,39.5,42.0,38.35,39.9,2100240.0
2013-12-30 00:00:00,39.9,41.45,38.5,38.95,225793.0
2014-01-06 00:00:00,38.75,40.5,38.45,38.75,701854.0
2014-01-13 00:00:00,38.5,38.9,36.5,36.95,325624.0
2014-01-20 00:00:00,37.1,38.2,35.2,35.85,287931.0
2014-01-27 00:00:00,36.0,40.0,35.0,35.9,189596.0
2014-02-03 00:00:00,36.1,39.25,36.1,38.85,442615.0
2014-02-10 00:00:00,39.25,39.6,36.75,37.45,215688.0
2014-02-17 00:00:00,38.85,40.95,37.15,39.65,173087.0
2014-02-24 00:00:00,39.0,40.0,37.35,37.8,258098.0
2014-03-03 00:00:00,38.0,43.65,37.1,42.6,486776.0
2014-03-10 00:00:00,42.65,47.0,41.75,44.6,424511.0
2014-03-17 00:00:00,44.6,49.35,44.3,45.1,768390.0
2014-03-24 00:00:00,45.05,47.4,41.3,46.65,1695801.0
2014-03-31 00:00:00,47.4,48.75,44.6,47.1,1001795.0
2014-04-07 00:00:00,49.0,51.0,46.1,49.9,908618.0
2014-04-14 00:00:00,49.9,50.0,47.0,48.35,770945.0
2014-04-21 00:00:00,48.8,53.6,47.6,50.75,1437255.0
2014-04-28 00:00:00,51.5,51.5,43.95,49.8,678763.0
2014-05-05 00:00:00,49.95,54.6,48.1,54.0,2029891.0
2014-05-12 00:00:00,53.5,68.2,51.15,65.75,7913201.0
2014-05-19 00:00:00,69.0,82.8,69.0,75.9,3286686.0
2014-05-26 00:00:00,78.45,84.0,70.15,76.95,2655097.0
2014-06-02 00:00:00,77.05,106.8,77.05,103.95,2175593.0
2014-06-09 00:00:00,105.0,108.0,92.35,94.75,1809968.0
2014-06-16 00:00:00,92.5,98.5,88.4,93.0,1968181.0
2014-06-23 00:00:00,92.45,97.7,90.75,93.1,3324071.0
2014-06-30 00:00:00,93.85,108.45,93.85,108.0,1781834.0
2014-07-07 00:00:00,109.4,109.4,86.65,91.25,2217022.0
2014-07-14 00:00:00,90.9,108.0,89.65,102.2,1365996.0
2014-07-21 00:00:00,102.0,105.0,94.1,96.15,608396.0
2014-07-28 00:00:00,96.6,119.8,92.0,107.9,1378811.0
2014-08-04 00:00:00,107.9,118.3,107.9,115.25,1017723.0
2014-08-11 00:00:00,112.5,122.0,108.2,116.15,945576.0
2014-08-18 00:00:00,116.0,124.5,112.5,118.05,1756594.0
2014-08-25 00:00:00,118.0,121.5,114.0,120.75,584572.0
2014-09-01 00:00:00,120.75,130.8,118.0,125.55,667085.0
2014-09-08 00:00:00,126.55,130.0,121.25,122.5,1234064.0
2014-09-15 00:00:00,121.5,133.6,113.25,132.5,1183309.0
2014-09-22 00:00:00,131.0,132.05,118.0,121.55,1017385.0
