,Open,High,Low,Close,Volume
2002-07-01 00:00:00,15.45,15.65,7.4,7.4,34520.0
2002-08-01 00:00:00,7.3,8.7,5.6,7.0,5533.0
2002-09-01 00:00:00,6.35,8.0,4.75,5.85,16195.0
2002-10-01 00:00:00,6.4,9.45,5.0,6.9,1474.0
2002-11-01 00:00:00,7.55,7.55,4.9,5.5,2445.0
2002-12-01 00:00:00,5.0,6.5,4.4,5.0,8631.0
2003-01-01 00:00:00,4.6,5.75,4.3,4.9,6677.0
2003-02-01 00:00:00,5.0,5.0,4.0,4.8,6069.0
2003-03-01 00:00:00,4.15,4.75,3.15,3.6,11678.0
2003-04-01 00:00:00,4.35,4.5,3.25,3.25,2218.0
2003-05-01 00:00:00,4.0,5.6,3.8,5.3,10274.0
2003-06-01 00:00:00,5.55,8.25,4.9,6.85,29942.0
2003-07-01 00:00:00,7.45,8.25,6.0,7.0,20889.0
2003-08-01 00:00:00,7.05,10.0,6.4,7.0,22875.0
2003-09-01 00:00:00,7.0,7.2,6.0,6.0,5691.0
2003-12-01 00:00:00,7.1,14.5,7.1,11.05,34419.0
2004-01-01 00:00:00,12.1,14.0,7.6,8.9,60372.0
2004-02-01 00:00:00,8.25,8.9,6.9,7.8,5255.0
2004-03-01 00:00:00,8.5,8.5,6.0,6.55,9636.0
2004-04-01 00:00:00,7.15,9.9,6.0,9.7,10518.0
2004-05-01 00:00:00,10.35,10.35,7.05,7.5,9795.0
2004-06-01 00:00:00,7.9,8.5,6.85,6.85,6745.0
2004-07-01 00:00:00,6.95,9.8,6.2,7.5,8880.0
2004-08-01 00:00:00,8.9,8.9,6.5,7.55,15746.0
2004-09-01 00:00:00,7.3,9.6,7.3,8.65,38268.0
2004-10-01 00:00:00,8.15,10.0,7.55,7.8,18554.0
2004-11-01 00:00:00,8.6,13.3,8.6,12.65,71356.0
2004-12-01 00:00:00,12.5,17.45,12.3,17.35,77058.0
2005-01-01 00:00:00,17.9,18.15,13.2,14.05,22465.0
2005-02-01 00:00:00,14.0,18.0,13.25,15.6,26835.0
2005-03-01 00:00:00,15.0,21.75,14.95,18.0,82573.0
2005-04-01 00:00:00,18.9,19.5,15.75,17.35,17173.0
2005-05-01 00:00:00,16.8,29.25,16.3,24.3,83468.0
2005-06-01 00:00:00,25.5,28.7,20.95,22.4,40059.0
2005-07-01 00:00:00,23.4,32.35,22.15,29.3,63234.0
2005-08-01 00:00:00,27.85,37.45,27.85,36.25,57345.0
2005-09-01 00:00:00,36.0,36.7,26.15,27.5,26172.0
2005-10-01 00:00:00,27.8,27.8,26.8,26.8,50.0
2005-11-01 00:00:00,22.0,22.5,17.8,17.8,1320.0
2005-12-01 00:00:00,18.05,20.9,18.05,20.0,1466.0
2006-01-01 00:00:00,20.45,27.2,20.45,27.2,5261.0
