,Open,High,Low,Close,Volume
2020-04-21 09:15:00,98.0,104.65,95.2,97.05,184422
2020-04-22 09:15:00,97.05,112.5,97.05,107.4,1243808
2020-04-23 09:15:00,109.35,111.7,105.3,106.15,299197
2020-04-24 09:15:00,101.8,106.6,101.5,102.25,145857
2020-04-27 09:15:00,104.35,122.7,103.35,119.5,3283267
2020-04-28 09:15:00,119.75,119.75,113.25,115.2,499684
2020-04-29 09:15:00,117.0,123.0,115.6,118.5,501391
2020-04-30 09:15:00,122.0,124.4,117.0,117.6,421083
2020-05-04 09:15:00,113.5,115.25,110.05,111.8,254463
2020-05-05 09:15:00,118.8,119.8,113.5,114.05,550708
2020-05-06 09:15:00,114.0,118.9,108.4,116.1,438026
2020-05-07 09:15:00,118.4,118.9,115.25,116.05,263221
2020-05-08 09:15:00,117.9,120.55,113.55,114.55,434196
2020-05-11 09:15:00,115.55,117.45,112.35,113.25,200725
2020-05-12 09:15:00,113.25,114.7,110.5,111.3,236578
2020-05-13 09:15:00,118.0,118.0,112.95,113.85,201685
2020-05-14 09:15:00,111.5,113.45,109.35,110.7,143916
2020-05-15 09:15:00,110.7,111.95,107.4,108.35,189559
2020-05-18 09:15:00,109.25,109.25,102.7,104.55,147457
2020-05-19 09:15:00,106.1,111.0,105.4,106.35,190879
2020-05-20 09:15:00,106.9,109.15,105.9,107.75,77128
2020-05-21 09:15:00,110.4,117.0,109.6,115.75,496938
2020-05-22 09:15:00,107.0,107.0,103.0,103.6,823887
2020-05-26 09:15:00,104.1,105.3,100.0,100.9,224714
2020-05-27 09:15:00,100.9,101.4,98.0,99.65,203239
2020-05-28 09:15:00,100.0,103.4,99.8,102.15,175998
2020-05-29 09:15:00,102.0,106.0,101.75,102.6,189829
2020-06-01 09:15:00,103.6,105.4,103.05,103.4,187941
2020-06-02 09:15:00,104.1,107.0,103.9,105.65,298187
2020-06-03 09:15:00,106.2,107.9,105.2,106.05,272824
2020-06-04 09:15:00,105.6,107.35,103.2,103.9,148452
2020-06-05 09:15:00,105.4,106.5,103.9,105.35,224933
2020-06-08 09:15:00,107.0,113.0,106.45,109.45,670782
2020-06-09 09:15:00,109.45,112.75,105.0,105.9,312400
2020-06-10 09:15:00,107.5,109.45,105.0,106.75,133324
2020-06-11 09:15:00,106.9,108.2,104.0,104.7,112790
2020-06-12 09:15:00,101.5,104.65,100.2,103.85,126126
2020-06-15 09:15:00,104.25,104.7,102.0,102.75,78532
2020-06-16 09:15:00,105.3,113.4,102.5,107.95,929106
2020-06-17 09:15:00,107.3,113.9,106.5,109.7,920189
2020-06-18 09:15:00,109.6,113.0,109.0,111.15,276659
2020-06-19 09:15:00,112.0,113.0,109.1,109.85,170268
2020-06-22 09:15:00,110.2,112.2,108.3,109.4,186359
2020-06-23 09:15:00,109.95,120.0,109.95,115.25,1086391
2020-06-24 09:15:00,116.9,118.5,110.1,110.5,337394
2020-06-25 09:15:00,114.0,125.7,113.6,119.5,2688296
2020-06-26 09:15:00,119.2,124.85,117.25,119.05,857964
2020-06-29 09:15:00,118.1,121.4,115.75,116.45,331039
2020-06-30 09:15:00,117.8,119.45,114.75,115.8,238952
2020-07-01 09:15:00,116.6,117.45,114.45,114.95,144015
2020-07-02 09:15:00,115.2,116.75,114.5,115.8,125096
2020-07-03 09:15:00,116.65,116.8,113.75,114.05,127504
2020-07-06 09:15:00,114.6,119.45,114.6,117.95,317441
2020-07-07 09:15:00,117.95,119.7,115.05,116.05,167024
2020-07-08 09:15:00,116.65,121.6,116.25,116.95,975615
2020-07-09 09:15:00,117.55,118.45,115.0,115.4,173217
2020-07-10 09:15:00,115.4,117.5,113.1,113.6,181982
2020-07-13 09:15:00,114.85,117.0,113.4,114.05,371656
2020-07-14 09:15:00,113.7,115.0,110.7,111.35,210556
2020-07-15 13:11:45,112.6,116.95,112.1,114.55,536672
