,Open,High,Low,Close,Volume
2020-04-16 09:15:00,1149.85,1187.45,1145.0,1168.05,17123489
2020-04-17 09:15:00,1216.0,1230.0,1192.65,1224.0,15209621
2020-04-20 09:15:00,1226.0,1257.0,1202.0,1243.8,16472130
2020-04-21 09:15:00,1210.0,1252.0,1164.0,1237.35,28057044
2020-04-22 09:15:00,1320.0,1384.9,1300.0,1363.6,65230035
2020-04-23 09:15:00,1367.35,1385.85,1353.3,1370.9,29928168
2020-04-24 09:15:00,1350.15,1494.95,1347.2,1417.0,61711199
2020-04-27 09:15:00,1434.0,1475.0,1423.0,1429.75,26736415
2020-04-28 09:15:00,1450.0,1455.45,1392.15,1428.15,35866256
2020-04-29 09:15:00,1444.9,1453.65,1420.0,1426.95,17141303
2020-04-30 09:15:00,1440.3,1480.91,1424.55,1452.23,32926121
2020-05-04 09:15:00,1426.48,1451.24,1404.14,1421.72,24670336
2020-05-05 09:15:00,1440.05,1465.11,1433.61,1446.93,20723079
2020-05-06 09:15:00,1450.25,1471.01,1431.93,1447.03,18685710
2020-05-07 09:15:00,1441.34,1499.44,1431.43,1492.8,23087436
2020-05-08 09:15:00,1530.49,1565.06,1522.67,1547.13,38887255
2020-05-11 09:15:00,1565.16,1599.84,1557.54,1561.99,30959745
2020-05-12 09:15:00,1550.11,1553.62,1451.24,1465.36,46465281
2020-05-13 09:15:00,1527.0,1527.0,1454.0,1496.45,30657492
2020-05-14 09:15:00,1469.0,1496.7,1430.05,1435.95,22736607
2020-05-15 09:15:00,1444.0,1466.7,1415.1,1459.4,28683258
2020-05-18 09:15:00,1470.0,1482.0,1428.0,1440.75,28980385
2020-05-19 09:15:00,1457.0,1461.7,1403.25,1408.9,19528760
2020-05-20 09:15:00,1410.0,1446.85,1393.0,1433.7,25530626
2020-05-21 09:15:00,1435.0,1461.45,1425.0,1441.25,18076017
2020-05-22 09:15:00,1451.8,1458.0,1426.5,1431.55,17458065
2020-05-26 09:15:00,1448.15,1449.7,1416.3,1424.05,15329472
2020-05-27 09:15:00,1431.0,1454.0,1412.0,1445.55,16460756
2020-05-28 09:15:00,1455.0,1479.75,1449.0,1472.25,18518271
2020-05-29 09:15:00,1468.0,1472.0,1452.65,1464.4,18470390
2020-06-01 09:15:00,1480.0,1538.35,1475.95,1520.35,18434012
2020-06-02 09:15:00,1526.0,1540.0,1520.8,1535.7,10224049
2020-06-03 09:15:00,1545.0,1560.0,1533.35,1541.65,11713461
2020-06-04 09:15:00,1544.0,1589.5,1541.0,1579.8,15784379
2020-06-05 09:15:00,1595.0,1618.0,1573.7,1581.7,15264885
2020-06-08 09:15:00,1618.4,1618.4,1565.0,1569.5,14497996
2020-06-09 09:15:00,1560.3,1583.0,1533.0,1537.15,11933076
2020-06-10 09:15:00,1543.1,1579.55,1540.05,1572.15,10214213
2020-06-11 09:15:00,1566.0,1567.95,1531.0,1537.7,9408046
2020-06-12 09:15:00,1500.0,1593.0,1497.0,1588.8,17790311
2020-06-15 09:15:00,1565.0,1626.95,1561.1,1614.55,24509058
2020-06-16 09:15:00,1643.0,1648.55,1585.3,1617.7,23622794
2020-06-17 09:15:00,1608.25,1635.45,1602.1,1615.35,19282411
2020-06-18 09:15:00,1607.0,1665.0,1605.6,1655.9,18677617
2020-06-19 09:15:00,1670.0,1788.8,1662.0,1759.4,48828609
2020-06-22 09:15:00,1773.4,1804.2,1735.0,1746.15,27781693
2020-06-23 09:15:00,1750.0,1763.75,1716.1,1720.9,17519493
2020-06-24 09:15:00,1735.9,1772.7,1711.7,1727.85,23807033
2020-06-25 09:15:00,1727.0,1749.0,1713.05,1717.9,18312025
2020-06-26 09:15:00,1728.8,1752.0,1717.0,1741.65,14270458
2020-06-29 09:15:00,1728.05,1739.75,1715.55,1723.15,11824524
2020-06-30 09:15:00,1737.0,1741.0,1695.55,1704.1,13972563
2020-07-01 09:15:00,1720.0,1749.0,1708.05,1737.6,13136179
2020-07-02 09:15:00,1743.0,1767.6,1735.05,1760.35,13286365
2020-07-03 09:15:00,1779.8,1793.0,1768.0,1787.9,13583909
2020-07-06 09:15:00,1805.0,1858.0,1792.1,1851.8,21697962
2020-07-07 09:15:00,1860.0,1864.35,1806.3,1823.45,16239990
2020-07-08 09:15:00,1824.05,1834.95,1790.0,1798.0,12093186
2020-07-09 09:15:00,1809.0,1835.0,1786.25,1824.25,16807336
2020-07-10 15:30:00,1828.5,1884.6,1824.25,1878.05,20191643
