,Open,High,Low,Close,Volume
2006-02-01 00:00:00,251.0,261.0,184.5,190.85,19585982
2006-03-01 00:00:00,190.6,218.85,177.6,205.55,2104638
2006-04-01 00:00:00,205.0,220.0,176.2,182.25,762553
2006-05-01 00:00:00,187.0,209.9,135.0,141.8,1309082
2006-06-01 00:00:00,148.85,149.0,97.0,131.85,1621730
2006-07-01 00:00:00,127.0,144.8,119.05,140.25,281172
2006-08-01 00:00:00,135.05,175.0,135.05,169.45,861777
2006-09-01 00:00:00,167.0,183.5,164.15,178.65,462322
2006-10-01 00:00:00,180.0,204.0,175.0,186.4,794244
2006-11-01 00:00:00,187.7,193.0,170.3,187.85,439006
2006-12-01 00:00:00,186.0,204.9,173.65,202.05,595457
2007-01-01 00:00:00,203.0,222.0,193.7,217.9,821567
2007-02-01 00:00:00,215.0,217.6,184.2,196.55,225711
2007-03-01 00:00:00,203.0,214.0,178.6,207.15,355013
2007-04-01 00:00:00,201.0,209.8,195.25,204.65,297941
2007-05-01 00:00:00,203.5,214.5,198.5,202.0,239215
2007-06-01 00:00:00,203.0,224.9,197.0,208.0,923308
2007-07-01 00:00:00,206.5,212.0,194.0,194.55,237244
2007-08-01 00:00:00,191.5,194.0,150.1,161.7,274324
2007-09-01 00:00:00,165.0,167.0,147.0,150.8,167998
2007-10-01 00:00:00,150.1,158.0,127.0,129.4,289266
2007-11-01 00:00:00,129.7,144.0,124.0,127.45,976447
2007-12-01 00:00:00,129.95,163.45,127.15,158.75,1604244
2008-01-01 00:00:00,167.0,174.75,99.3,113.55,1525417
2008-02-01 00:00:00,113.5,125.0,95.15,117.65,260260
2008-03-01 00:00:00,118.0,119.0,80.2,91.85,927761
2008-04-01 00:00:00,92.0,117.5,91.55,105.6,227088
2008-05-01 00:00:00,109.5,111.0,98.0,98.65,180842
2008-06-01 00:00:00,104.9,114.0,95.1,96.0,358615
2008-07-01 00:00:00,97.0,97.5,82.0,82.15,570570
