,Open,High,Low,Close,Volume
2004-11-01 00:00:00,20.0,21.9,17.8,17.9,32720684
2004-12-01 00:00:00,17.9,22.5,16.8,20.3,49988684
2005-01-01 00:00:00,20.65,21.25,17.25,18.9,16159674
2005-02-01 00:00:00,19.15,22.8,18.0,19.9,29699100
2005-03-01 00:00:00,20.05,24.55,19.6,21.75,72279550
2005-04-01 00:00:00,22.0,23.0,18.25,18.75,10739590
2005-05-01 00:00:00,19.0,19.55,18.0,18.1,3762882
2005-06-01 00:00:00,18.1,18.55,16.55,16.6,4049858
2005-07-01 00:00:00,16.45,19.4,16.1,17.25,9614434
2005-08-01 00:00:00,17.15,21.1,16.9,20.55,13536262
2005-09-01 00:00:00,20.95,28.65,20.25,24.05,51809315
2005-10-01 00:00:00,24.3,25.0,18.0,19.25,5430900
2005-11-01 00:00:00,19.95,21.35,18.95,19.2,4920531
2005-12-01 00:00:00,18.5,20.5,18.0,18.75,4154500
2006-01-01 00:00:00,18.9,19.9,17.2,18.0,2631163
2006-02-01 00:00:00,18.1,18.3,16.4,17.1,2808889
2006-03-01 00:00:00,17.2,17.85,15.8,16.9,4588876
2006-04-01 00:00:00,17.45,19.15,15.7,16.9,4493085
2006-05-01 00:00:00,17.0,20.8,15.1,16.0,5565834
2006-06-01 00:00:00,16.05,16.4,12.4,14.2,1237457
2006-07-01 00:00:00,14.5,14.75,12.0,12.55,619700
2006-08-01 00:00:00,12.55,13.85,12.05,13.1,648989
2006-09-01 00:00:00,13.25,14.05,12.15,13.75,1150700
2006-10-01 00:00:00,13.8,14.65,12.7,13.1,858200
2006-11-01 00:00:00,13.1,13.25,11.65,11.8,891400
2006-12-01 00:00:00,11.8,15.6,11.55,14.2,3015000
2007-01-01 00:00:00,13.5,16.35,12.55,14.75,2829233
2007-02-01 00:00:00,14.8,15.8,12.6,12.95,1264525
2007-03-01 00:00:00,12.8,13.4,11.5,12.1,986672
2007-04-01 00:00:00,11.75,13.85,11.7,12.75,1008570
2007-05-01 00:00:00,13.25,19.5,12.8,15.3,8277725
2007-06-01 00:00:00,15.35,17.0,15.0,15.25,919827
2007-07-01 00:00:00,16.0,17.0,14.2,15.05,1390274
2007-08-01 00:00:00,14.85,15.5,13.2,15.2,745918
2007-09-01 00:00:00,15.4,18.65,15.15,17.65,5865602
2007-10-01 00:00:00,17.95,18.8,14.05,14.95,4012597
2007-11-01 00:00:00,15.35,26.35,13.2,20.1,16258499
2007-12-01 00:00:00,19.6,27.15,19.25,26.15,17270330
2008-01-01 00:00:00,27.0,33.5,18.05,19.15,8929197
2008-02-01 00:00:00,19.65,23.4,18.0,19.35,2572682
2008-03-01 00:00:00,18.45,20.2,13.4,17.05,2125846
2008-04-01 00:00:00,17.2,18.9,16.3,17.35,1139951
2008-05-01 00:00:00,17.75,18.25,16.0,16.4,1714541
2008-06-01 00:00:00,16.25,17.5,14.5,16.8,2072834
2008-07-01 00:00:00,16.2,16.95,14.1,15.75,1147009
2008-08-01 00:00:00,15.6,19.25,14.75,15.05,1337807
