,Open,High,Low,Close,Volume
2020-06-24 09:15:00,3.3,3.3,3.3,3.3,0.0
2020-06-24 10:00:00,3.3,3.3,3.3,3.3,100.0
2020-06-24 10:45:00,3.3,3.3,3.3,3.3,1500.0
2020-06-24 11:15:00,3.3,3.3,3.3,3.3,1000.0
2020-06-24 11:30:00,3.3,3.3,3.3,3.3,24500.0
2020-06-24 11:45:00,3.3,3.3,3.3,3.3,301.0
2020-06-24 12:45:00,3.3,3.3,3.3,3.3,999.0
2020-06-24 13:00:00,3.3,3.3,3.3,3.3,80.0
2020-06-24 13:30:00,3.3,3.3,3.3,3.3,1650.0
2020-06-24 15:00:00,3.3,3.3,3.3,3.3,1000.0
2020-06-25 09:15:00,3.45,3.45,3.45,3.45,450.0
2020-06-25 09:30:00,3.45,3.45,3.45,3.45,300.0
2020-06-25 09:45:00,3.45,3.45,3.45,3.45,3000.0
2020-06-25 10:15:00,3.45,3.45,3.45,3.45,400.0
2020-06-25 11:30:00,3.45,3.45,3.45,3.45,52.0
2020-06-25 13:30:00,3.45,3.45,3.45,3.45,600.0
2020-06-25 15:00:00,3.45,3.45,3.45,3.45,242.0
2020-06-26 09:15:00,3.6,3.6,3.6,3.6,1007.0
2020-06-26 09:30:00,3.6,3.6,3.6,3.6,2501.0
2020-06-26 10:45:00,3.6,3.6,3.6,3.6,500.0
2020-06-26 11:45:00,3.6,3.6,3.6,3.6,1000.0
2020-06-26 13:15:00,3.6,3.6,3.6,3.6,300.0
2020-06-26 14:00:00,3.6,3.6,3.6,3.6,26.0
2020-06-26 14:15:00,3.6,3.6,3.6,3.6,2037.0
2020-06-26 15:00:00,3.6,3.6,3.6,3.6,500.0
2020-06-29 09:15:00,3.75,3.75,3.5,3.7,78499.0
2020-06-29 09:30:00,3.6,3.75,3.6,3.75,21098.0
2020-06-29 09:45:00,3.7,3.75,3.5,3.6,18939.0
2020-06-29 10:00:00,3.7,3.75,3.45,3.75,54084.0
2020-06-29 10:15:00,3.75,3.75,3.55,3.55,2767.0
2020-06-29 10:30:00,3.7,3.75,3.7,3.75,9204.0
2020-06-29 10:45:00,3.75,3.75,3.75,3.75,202.0
2020-06-29 11:00:00,3.75,3.75,3.75,3.75,799.0
2020-06-29 11:15:00,3.75,3.75,3.75,3.75,100.0
2020-06-29 11:30:00,3.75,3.75,3.75,3.75,1412.0
2020-06-29 11:45:00,3.75,3.75,3.75,3.75,344.0
2020-06-29 12:00:00,3.75,3.75,3.75,3.75,4500.0
2020-06-29 12:15:00,3.75,3.75,3.75,3.75,1000.0
2020-06-29 12:30:00,3.75,3.75,3.75,3.75,100.0
2020-06-29 14:15:00,3.75,3.75,3.75,3.75,2500.0
2020-06-29 15:15:00,3.75,3.75,3.75,3.75,180.0
2020-06-30 09:15:00,3.9,3.9,3.9,3.9,0.0
2020-06-30 10:00:00,3.9,3.9,3.9,3.9,5000.0
2020-06-30 10:15:00,3.9,3.9,3.9,3.9,1655.0
2020-06-30 10:30:00,3.9,3.9,3.9,3.9,0.0
2020-06-30 11:45:00,3.9,3.9,3.9,3.9,50.0
2020-06-30 12:15:00,3.9,3.9,3.9,3.9,100000.0
2020-06-30 12:30:00,3.9,3.9,3.9,3.9,100.0
2020-06-30 12:54:08,3.9,3.9,3.9,3.9,0.0
