,Open,High,Low,Close,Volume
2019-07-01 09:15:00,3.2,3.2,2.95,3.05,1316.0
2019-07-02 09:15:00,3.15,3.15,2.95,3.0,5499.0
2019-07-03 09:15:00,3.0,3.0,2.8,2.9,44425.0
2019-07-04 09:15:00,3.0,3.0,2.9,2.9,2813.0
2019-07-05 09:15:00,3.1,3.1,2.85,2.9,2245.0
2019-07-08 09:15:00,2.9,2.95,2.65,2.7,24721.0
2019-07-09 09:15:00,2.8,3.1,2.75,2.9,34480.0
2019-07-10 09:15:00,3.15,3.15,2.8,2.8,13916.0
2019-07-11 09:15:00,2.85,3.1,2.75,2.85,8796.0
2019-07-12 09:15:00,3.1,3.4,2.85,3.15,76974.0
2019-07-15 09:15:00,3.5,3.5,3.05,3.2,20217.0
2019-07-16 09:15:00,3.2,3.4,3.2,3.25,45623.0
2019-07-17 09:15:00,3.3,3.5,3.15,3.15,6873.0
2019-07-18 09:15:00,3.15,3.45,3.05,3.1,16441.0
2019-07-19 09:15:00,3.15,3.2,2.9,2.95,11274.0
2019-07-22 09:15:00,3.1,3.1,2.9,2.9,17193.0
2019-07-23 09:15:00,3.1,3.1,2.8,2.95,8093.0
2019-07-24 09:15:00,2.85,3.3,2.85,3.0,4995.0
2019-07-25 09:15:00,3.15,3.15,2.8,2.85,9131.0
2019-07-26 09:15:00,2.85,3.15,2.85,3.1,7111.0
2019-07-29 09:15:00,3.15,3.15,2.85,2.85,7131.0
2019-07-30 09:15:00,2.9,3.0,2.8,2.8,3712.0
2019-07-31 09:15:00,2.8,2.95,2.7,2.75,8399.0
2019-08-01 09:15:00,2.75,3.0,2.7,2.95,7966.0
2019-08-02 09:15:00,3.0,3.1,2.7,2.9,7346.0
2019-08-05 09:15:00,2.75,2.95,2.65,2.7,7082.0
2019-08-06 09:15:00,2.9,3.0,2.7,2.9,11085.0
2019-08-07 09:15:00,2.9,3.15,2.75,3.1,16654.0
2019-08-08 09:15:00,3.1,3.2,2.9,2.95,15281.0
2019-08-09 09:15:00,3.0,3.1,2.85,2.85,5344.0
2019-08-13 09:15:00,2.75,3.0,2.75,2.75,2837.0
2019-08-14 09:15:00,2.95,2.95,2.75,2.75,6312.0
2019-08-16 09:15:00,3.0,3.0,2.85,2.9,14396.0
2019-08-19 09:15:00,3.0,3.0,2.8,2.9,6567.0
2019-08-20 09:15:00,2.9,2.9,2.8,2.8,4487.0
2019-08-21 09:15:00,2.8,2.8,2.5,2.6,9321.0
2019-08-22 09:15:00,2.6,2.8,2.4,2.5,11453.0
2019-08-23 09:15:00,2.5,2.6,2.5,2.55,1019.0
2019-08-26 09:15:00,2.7,2.7,2.5,2.55,7775.0
2019-08-27 09:15:00,2.6,2.75,2.55,2.7,12603.0
2019-08-28 09:15:00,2.65,2.8,2.55,2.6,4342.0
2019-08-29 09:15:00,2.6,2.65,2.5,2.5,988.0
2019-08-30 09:15:00,2.7,2.7,2.0,2.1,141077.0
2019-09-03 09:15:00,2.2,2.2,2.0,2.05,23883.0
2019-09-04 09:15:00,2.05,2.2,2.05,2.15,13440.0
2019-09-05 09:15:00,2.35,2.35,2.1,2.2,5470.0
2019-09-06 09:15:00,2.35,2.35,2.15,2.15,8641.0
2019-09-09 09:15:00,2.25,2.45,1.85,2.25,25090.0
2019-09-11 09:15:00,2.4,2.7,2.05,2.7,119783.0
2019-09-12 09:15:00,3.1,3.2,3.0,3.2,99214.0
2019-09-13 09:15:00,3.4,3.5,3.25,3.5,386683.0
2019-09-16 09:15:00,3.65,3.7,3.25,3.55,151865.0
2019-09-17 09:15:00,3.8,3.8,3.4,3.6,78366.0
2019-09-18 09:15:00,3.8,3.85,3.45,3.55,59652.0
2019-09-19 09:15:00,3.65,3.65,3.3,3.3,27203.0
2019-09-20 09:15:00,3.45,3.5,3.05,3.2,81801.0
2019-09-23 09:15:00,3.3,3.3,2.9,2.95,152432.0
2019-09-24 09:15:00,2.95,3.1,2.75,3.05,32171.0
2019-09-25 09:15:00,3.15,3.35,3.05,3.35,105192.0
2019-09-26 09:15:00,3.25,3.5,3.2,3.4,63286.0
2019-09-27 09:15:00,3.3,3.35,3.25,3.25,9786.0
2019-09-30 09:15:00,3.1,3.25,3.1,3.1,19984.0
2019-10-01 09:15:00,3.1,3.2,3.0,3.05,8187.0
2019-10-03 09:15:00,2.95,3.05,2.9,2.9,24748.0
2019-10-04 09:15:00,2.85,3.0,2.8,3.0,11124.0
2019-10-07 09:15:00,2.85,3.1,2.85,2.9,14272.0
2019-10-09 09:15:00,2.9,3.0,2.8,2.9,13956.0
2019-10-10 09:15:00,2.9,3.0,2.8,2.9,9892.0
2019-10-11 09:15:00,3.0,3.0,2.8,2.8,26709.0
2019-10-14 09:15:00,2.75,2.75,2.7,2.7,2848.0
2019-10-15 09:15:00,2.6,2.7,2.6,2.6,22512.0
2019-10-16 09:15:00,2.5,2.5,2.5,2.5,9147.0
2019-10-17 09:15:00,2.4,2.4,2.4,2.4,3619.0
2019-10-18 09:15:00,2.3,2.3,2.3,2.3,16383.0
2019-10-22 09:15:00,2.3,2.4,2.2,2.25,34646.0
2019-10-23 09:15:00,2.15,2.35,2.15,2.3,24233.0
2019-10-24 09:15:00,2.3,2.3,2.25,2.25,1747.0
2019-10-25 09:00:00,2.15,2.35,2.15,2.35,3252.0
2019-10-29 09:15:00,2.35,2.45,2.35,2.45,12073.0
2019-10-30 09:15:00,2.5,2.55,2.5,2.5,9065.0
2019-10-31 09:15:00,2.55,2.6,2.55,2.6,562.0
2019-11-01 09:15:00,2.6,2.7,2.6,2.7,4911.0
2019-11-04 09:15:00,2.8,2.8,2.6,2.6,8722.0
2019-11-05 09:15:00,2.6,2.65,2.5,2.6,7403.0
2019-11-06 09:15:00,2.5,2.6,2.5,2.5,5380.0
2019-11-07 09:15:00,2.5,2.6,2.4,2.6,15131.0
2019-11-08 09:15:00,2.55,2.6,2.5,2.55,13927.0
