,Open,High,Low,Close,Volume
2017-03-13 00:00:00,58.0,60.7,57.0,60.0,51000
2017-03-20 00:00:00,60.25,60.25,60.25,60.25,3000
2017-03-27 00:00:00,60.25,60.25,57.0,57.0,12000
2017-04-03 00:00:00,57.0,57.0,57.0,57.0,0
2017-04-10 00:00:00,59.5,59.5,55.0,55.0,15000
2017-04-17 00:00:00,55.0,60.25,54.75,58.0,21000
2017-04-24 00:00:00,59.8,59.8,54.9,54.9,9000
2017-05-01 00:00:00,54.9,59.8,54.75,59.0,21000
2017-05-08 00:00:00,54.6,59.0,54.6,59.0,9000
2017-05-15 00:00:00,59.0,59.0,54.55,57.5,15000
2017-05-22 00:00:00,57.5,57.5,52.05,52.05,3000
2017-05-29 00:00:00,52.05,59.0,52.05,58.0,9000
2017-06-05 00:00:00,58.0,58.0,54.75,54.75,3000
2017-06-12 00:00:00,54.75,54.75,53.75,53.75,3000
2017-06-19 00:00:00,57.0,58.0,53.5,53.5,12000
2017-06-26 00:00:00,53.5,53.5,53.5,53.5,0
2017-07-03 00:00:00,52.25,57.9,52.25,57.9,3000
2017-07-10 00:00:00,57.9,57.9,57.9,57.9,0
2017-07-17 00:00:00,57.9,57.9,51.0,51.0,54000
2017-07-24 00:00:00,55.95,56.0,51.0,56.0,54000
2017-07-31 00:00:00,56.0,56.0,50.0,52.0,18000
2017-08-07 00:00:00,52.0,57.0,50.05,57.0,9000
2017-08-14 00:00:00,57.0,57.0,49.0,57.0,9000
2017-08-21 00:00:00,57.0,57.0,52.5,52.5,3000
2017-08-28 00:00:00,52.5,52.5,52.5,52.5,0
2017-09-04 00:00:00,52.5,52.5,51.5,51.75,6000
2017-09-11 00:00:00,51.75,53.5,49.0,53.5,6000
2017-09-18 00:00:00,50.0,51.0,50.0,50.5,6000
2017-09-25 00:00:00,50.5,58.1,50.5,58.1,6000
2017-10-02 00:00:00,58.1,58.1,51.0,51.0,24000
2017-10-09 00:00:00,50.9,60.0,50.9,59.0,129000
2017-10-16 00:00:00,59.35,60.5,57.5,59.95,90000
2017-10-23 00:00:00,59.95,60.0,56.0,56.0,39000
2017-10-30 00:00:00,57.0,75.0,57.0,70.0,228000
2017-11-06 00:00:00,70.0,77.9,67.25,67.25,129000
2017-11-13 00:00:00,70.0,74.2,63.0,67.7,66000
2017-11-20 00:00:00,64.05,75.0,63.0,69.0,36000
2017-11-27 00:00:00,66.0,68.65,61.55,66.0,51000
2017-12-04 00:00:00,67.1,67.1,61.4,66.0,27000
2017-12-11 00:00:00,66.0,66.0,66.0,66.0,6000
2017-12-18 00:00:00,66.0,66.0,63.0,63.0,9000
2017-12-25 00:00:00,63.0,63.0,62.0,62.0,9000
2018-01-01 00:00:00,62.0,65.85,61.45,61.45,9000
2018-01-08 00:00:00,62.1,73.5,57.1,62.9,177000
2018-01-15 00:00:00,64.2,71.45,61.1,63.9,447000
2018-01-22 00:00:00,65.0,65.0,60.1,62.4,294000
2018-01-29 00:00:00,60.1,64.8,55.55,56.7,366000
2018-02-05 00:00:00,54.5,64.0,52.05,58.0,231000
2018-02-12 00:00:00,58.5,66.0,57.0,62.05,216000
2018-02-19 00:00:00,65.8,74.0,61.0,66.0,606000
2018-02-26 00:00:00,68.0,68.7,63.1,65.4,282000
2018-03-05 00:00:00,65.4,65.4,57.35,62.2,54000
2018-03-12 00:00:00,63.0,63.5,61.75,61.75,33000
2018-03-19 00:00:00,60.0,62.5,56.0,60.0,54000
2018-03-26 00:00:00,61.0,61.0,56.85,59.5,78000
2018-04-02 00:00:00,59.5,68.2,59.5,68.2,42000
2018-04-09 00:00:00,68.3,70.05,66.1,69.95,84000
2018-04-16 00:00:00,69.95,82.0,69.0,69.0,243000
2018-04-23 00:00:00,69.0,69.0,69.0,69.0,0
2018-04-30 00:00:00,69.0,83.1,66.3,78.6,717000
2018-05-07 00:00:00,79.5,79.5,69.0,70.15,258000
2018-05-14 00:00:00,72.35,72.35,63.75,64.1,33000
2018-05-21 00:00:00,64.1,65.0,63.0,63.4,27000
2018-05-28 00:00:00,65.6,77.35,65.6,69.95,30000
2018-06-04 00:00:00,67.05,68.95,62.1,62.1,18000
2018-06-11 00:00:00,63.0,63.0,61.0,61.0,9000
2018-06-18 00:00:00,63.95,63.95,57.25,62.0,27000
2018-06-25 00:00:00,62.0,62.0,56.9,56.9,3000
2018-07-02 00:00:00,56.9,56.9,56.9,56.9,0
2018-07-09 00:00:00,56.9,60.2,53.0,57.0,21000
2018-07-16 00:00:00,57.0,57.8,55.0,57.8,12000
2018-07-23 00:00:00,57.8,57.8,55.0,55.0,15000
2018-07-30 00:00:00,55.0,58.0,55.0,58.0,3000
2018-08-06 00:00:00,59.25,60.0,59.25,60.0,15000
2018-08-13 00:00:00,56.0,56.0,56.0,56.0,3000
2018-08-20 00:00:00,56.0,56.0,56.0,56.0,0
2018-08-27 00:00:00,59.9,60.4,57.2,57.2,24000
2018-09-03 00:00:00,57.2,59.0,56.0,58.5,12000
2018-09-10 00:00:00,58.5,64.0,58.5,63.0,84000
2018-09-17 00:00:00,64.0,77.0,62.55,68.75,348000
2018-09-24 00:00:00,73.75,74.95,61.5,61.5,198000
2018-10-01 00:00:00,61.5,70.0,61.5,70.0,6000
2018-10-08 00:00:00,70.0,70.0,58.95,65.0,30000
2018-10-15 00:00:00,65.0,66.0,60.0,62.4,21000
2018-10-22 00:00:00,57.9,59.0,54.3,54.3,27000
2018-10-29 00:00:00,54.3,65.0,54.3,57.0,21000
