,Open,High,Low,Close,Volume
2020-06-24 09:30:00,50.0,50.0,49.2,49.2,0.0
2020-06-24 09:45:00,50.95,50.95,50.95,50.95,204.0
2020-06-24 10:00:00,49.45,50.9,49.45,50.75,2866.0
2020-06-24 10:15:00,49.05,50.7,49.05,50.7,110.0
2020-06-24 10:30:00,50.65,50.65,50.65,50.65,100.0
2020-06-24 11:00:00,49.0,50.65,49.0,50.4,2051.0
2020-06-24 11:30:00,49.0,49.0,49.0,49.0,1.0
2020-06-24 12:00:00,50.5,50.5,50.5,50.5,25.0
2020-06-24 13:30:00,50.55,50.55,50.55,50.55,237.0
2020-06-24 13:45:00,50.0,50.0,50.0,50.0,0.0
2020-06-24 14:45:00,50.4,50.4,50.4,50.4,5.0
2020-06-24 15:15:00,49.2,50.4,49.2,49.3,269.0
2020-06-25 09:15:00,50.95,50.95,50.95,50.95,0.0
2020-06-25 09:45:00,49.5,49.5,49.5,49.5,140.0
2020-06-25 10:45:00,47.0,49.4,47.0,49.4,3000.0
2020-06-25 11:00:00,49.45,49.45,49.0,49.0,2.0
2020-06-25 11:45:00,49.5,49.5,49.5,49.5,1.0
2020-06-25 12:15:00,49.5,49.5,49.5,49.5,36.0
2020-06-25 12:30:00,49.0,49.0,49.0,49.0,605.0
2020-06-25 13:45:00,49.25,49.4,49.25,49.4,5000.0
2020-06-25 14:15:00,52.0,52.0,52.0,52.0,1562.0
2020-06-25 14:30:00,52.0,53.0,49.55,53.0,2995.0
2020-06-25 14:45:00,53.0,53.25,50.15,50.15,540.0
2020-06-25 15:00:00,50.0,53.75,49.55,51.0,19878.0
2020-06-25 15:15:00,53.5,53.5,50.5,51.55,1905.0
2020-06-26 09:45:00,56.9,56.9,49.55,49.65,0.0
2020-06-26 10:30:00,51.0,52.0,51.0,51.85,10197.0
2020-06-26 10:45:00,51.85,51.85,51.85,51.85,9.0
2020-06-26 11:00:00,51.05,51.05,51.05,51.05,1990.0
2020-06-26 11:45:00,51.05,51.05,51.05,51.05,1850.0
2020-06-26 12:15:00,52.0,52.0,52.0,52.0,301.0
2020-06-26 13:00:00,52.0,52.0,52.0,52.0,10.0
2020-06-26 13:30:00,52.1,52.6,52.1,52.6,608.0
2020-06-26 14:15:00,52.75,53.0,52.75,53.0,469.0
2020-06-26 14:30:00,52.5,52.5,52.5,52.5,129.0
2020-06-26 14:45:00,52.5,52.5,52.5,52.5,54.0
2020-06-26 15:00:00,53.0,53.0,53.0,53.0,336.0
2020-06-26 15:15:00,53.0,53.0,53.0,53.0,220.0
2020-06-29 09:15:00,58.7,59.7,53.1,59.7,610.0
2020-06-29 09:30:00,61.4,63.6,54.05,63.6,4219.0
2020-06-29 09:45:00,63.6,63.6,63.6,63.6,548.0
2020-06-29 10:00:00,63.6,63.6,63.0,63.6,6631.0
2020-06-29 10:15:00,63.6,63.6,63.6,63.6,881.0
2020-06-29 10:30:00,63.6,63.6,63.05,63.05,11496.0
2020-06-29 10:45:00,63.6,63.6,63.6,63.6,960.0
2020-06-29 11:00:00,63.6,63.6,63.6,63.6,4051.0
2020-06-29 11:15:00,63.6,63.6,63.6,63.6,0.0
2020-06-29 12:30:00,63.6,63.6,63.6,63.6,1.0
2020-06-29 13:00:00,63.6,63.6,63.6,63.6,2.0
2020-06-29 13:15:00,63.6,63.6,63.6,63.6,1392.0
2020-06-29 14:45:00,63.6,63.6,63.6,63.6,3.0
2020-06-29 15:15:00,63.6,63.6,63.6,63.6,1.0
2020-06-30 09:15:00,71.8,76.3,71.8,76.3,33152.0
2020-06-30 09:30:00,76.3,76.3,75.0,76.3,39676.0
2020-06-30 09:45:00,76.3,76.3,75.05,76.3,27533.0
2020-06-30 10:00:00,76.3,76.3,76.3,76.3,105.0
2020-06-30 10:15:00,76.3,76.3,76.3,76.3,3428.0
2020-06-30 10:30:00,76.3,76.3,76.3,76.3,14084.0
2020-06-30 10:45:00,76.3,76.3,76.3,76.3,0.0
2020-06-30 11:00:00,76.3,76.3,76.3,76.3,5002.0
2020-06-30 11:15:00,76.3,76.3,74.8,75.85,29170.0
2020-06-30 11:24:56,76.3,76.3,76.3,76.3,0.0
