,Open,High,Low,Close,Volume
2018-07-05 09:15:00,56.9,56.9,56.9,56.9,0
2018-07-10 09:15:00,56.9,56.9,56.9,56.9,0
2018-07-20 09:15:00,57.8,57.8,57.8,57.8,3000
2018-07-25 09:15:00,55.0,55.0,55.0,55.0,3000
2018-07-30 09:15:00,55.0,55.0,55.0,55.0,0
2018-08-09 09:15:00,60.0,60.0,60.0,60.0,0
2018-08-14 09:15:00,56.0,56.0,56.0,56.0,0
2018-08-24 09:15:00,56.0,56.0,56.0,56.0,0
2018-08-29 09:15:00,57.2,57.2,57.2,57.2,3000
2018-09-03 09:15:00,57.2,57.2,57.2,57.2,0
2018-09-18 09:15:00,65.5,72.0,65.5,69.4,96000
2018-09-28 09:15:00,61.5,61.5,61.5,61.5,0
2018-10-03 09:15:00,61.5,61.5,61.5,61.5,0
2018-10-08 09:15:00,70.0,70.0,70.0,70.0,0
2018-10-23 09:15:00,57.9,57.9,57.9,57.9,3000
2018-11-02 09:15:00,55.6,57.0,55.6,57.0,6000
2018-11-07 09:00:00,57.0,57.0,57.0,57.0,0
2018-11-12 09:15:00,58.35,58.35,58.35,58.35,3000
2018-11-22 09:15:00,54.4,58.1,54.4,56.5,15000
2018-11-27 09:15:00,58.0,58.0,58.0,58.0,0
2018-12-07 09:15:00,56.35,56.35,56.35,56.35,0
2018-12-12 09:15:00,59.3,64.75,59.3,63.35,12000
2018-12-17 09:15:00,68.8,69.35,65.5,68.45,51000
2018-12-27 09:15:00,68.5,68.95,64.0,66.5,90000
2019-01-01 09:15:00,60.0,60.4,60.0,60.4,9000
2019-01-11 09:15:00,58.0,58.25,58.0,58.25,21000
2019-01-16 09:15:00,65.25,65.25,65.25,65.25,0
2019-01-21 09:15:00,58.5,58.5,58.5,58.5,0
2019-01-31 09:15:00,57.0,62.05,57.0,62.05,33000
2019-02-05 09:15:00,61.95,61.95,61.95,61.95,0
2019-02-15 09:15:00,58.0,59.7,56.45,57.75,21000
2019-02-20 09:15:00,55.0,58.75,55.0,57.1,18000
2019-02-25 09:15:00,57.25,57.25,54.3,56.0,27000
2019-03-07 09:15:00,57.0,57.0,53.25,57.0,18000
2019-03-12 09:15:00,56.0,56.5,55.5,55.85,18000
2019-03-22 09:15:00,53.0,53.0,53.0,53.0,0
2019-03-27 09:15:00,52.9,52.9,52.9,52.9,3000
2019-04-01 09:15:00,52.0,54.0,52.0,54.0,6000
2019-04-11 09:15:00,56.9,56.9,56.9,56.9,0
2019-04-16 09:15:00,56.9,56.9,56.9,56.9,0
2019-04-26 09:15:00,56.9,56.9,56.9,56.9,0
2019-05-06 09:15:00,56.9,56.9,56.9,56.9,0
2019-05-16 09:15:00,56.9,56.9,56.9,56.9,0
2019-05-21 09:15:00,56.9,56.9,56.9,56.9,0
2019-05-31 09:15:00,56.9,56.9,56.9,56.9,0
2019-06-10 09:15:00,56.9,56.9,56.9,56.9,0
2019-06-20 09:15:00,56.9,56.9,56.9,56.9,0
2019-06-25 09:15:00,56.9,56.9,56.9,56.9,0
2019-07-05 09:15:00,56.9,56.9,56.9,56.9,0
2019-07-10 09:15:00,56.9,56.9,56.9,56.9,0
2019-07-15 09:15:00,56.9,56.9,56.9,56.9,0
2019-07-25 09:15:00,56.9,56.9,56.9,56.9,0
2019-07-30 09:15:00,56.9,56.9,56.9,56.9,0
2019-08-09 09:15:00,56.9,56.9,56.9,56.9,0
2019-08-14 09:15:00,56.9,56.9,56.9,56.9,0
2019-08-19 09:15:00,56.9,56.9,56.9,56.9,0
2019-08-29 09:15:00,56.9,56.9,56.9,56.9,0
2019-09-03 09:15:00,56.9,56.9,56.9,56.9,0
2019-09-13 09:15:00,56.9,56.9,56.9,56.9,0
2019-09-18 09:15:00,56.9,56.9,56.9,56.9,0
2019-09-23 09:15:00,56.9,56.9,56.9,56.9,0
2019-10-03 09:15:00,56.9,56.9,56.9,56.9,0
2019-10-18 09:15:00,56.9,56.9,56.9,56.9,0
2019-10-23 09:15:00,56.9,56.9,56.9,56.9,0
2019-11-07 09:15:00,56.9,56.9,56.9,56.9,0
2019-11-22 09:15:00,56.9,56.9,56.9,56.9,0
2019-11-27 09:15:00,56.9,56.9,56.9,56.9,0
2019-12-02 09:15:00,56.9,56.9,56.9,56.9,0
2019-12-12 09:15:00,56.9,56.9,56.9,56.9,0
2019-12-17 09:15:00,56.9,56.9,56.9,56.9,0
2019-12-27 09:15:00,56.9,56.9,56.9,56.9,0
2020-01-01 09:15:00,56.9,56.9,56.9,56.9,0
2020-01-06 09:15:00,56.9,56.9,56.9,56.9,0
2020-01-16 09:15:00,56.9,56.9,56.9,56.9,0
2020-01-21 09:15:00,56.9,56.9,56.9,56.9,0
2020-01-31 09:15:00,56.9,56.9,56.9,56.9,0
2020-02-05 09:15:00,56.9,56.9,56.9,56.9,0
2020-02-10 09:15:00,56.9,56.9,56.9,56.9,0
2020-02-20 09:15:00,56.9,56.9,56.9,56.9,0
2020-02-25 09:15:00,56.9,56.9,56.9,56.9,0
2020-03-06 09:15:00,56.9,56.9,56.9,56.9,0
2020-03-11 09:15:00,56.9,56.9,56.9,56.9,0
2020-03-16 09:15:00,56.9,56.9,56.9,56.9,0
2020-03-26 09:15:00,56.9,56.9,56.9,56.9,0
2020-03-31 09:15:00,56.9,56.9,56.9,56.9,0
2020-04-15 09:15:00,56.9,56.9,56.9,56.9,0
2020-04-20 09:15:00,56.9,56.9,56.9,56.9,0
2020-04-30 09:15:00,56.9,56.9,56.9,56.9,0
2020-05-05 09:15:00,56.9,56.9,56.9,56.9,0
2020-05-15 09:15:00,56.9,56.9,56.9,56.9,0
2020-05-20 09:15:00,56.9,56.9,56.9,56.9,0
2020-06-04 09:15:00,56.9,56.9,56.9,56.9,0
2020-06-09 09:15:00,56.9,56.9,56.9,56.9,0
2020-06-19 09:15:00,56.9,56.9,56.9,56.9,0
2020-06-24 09:15:00,56.9,56.9,56.9,56.9,0
2020-06-29 09:15:00,56.9,56.9,56.9,56.9,0
2020-06-30 11:24:56,71.8,76.3,71.25,76.3,166209
