,Open,High,Low,Close,Volume
2020-06-24 09:30:00,50.0,50.0,49.2,49.2,0.0
2020-06-24 09:45:00,50.95,50.95,50.95,50.95,5.0
2020-06-24 09:55:00,50.95,50.95,50.95,50.95,199.0
2020-06-24 10:00:00,49.45,49.45,49.45,49.45,2861.0
2020-06-24 10:05:00,50.9,50.9,50.8,50.8,0.0
2020-06-24 10:10:00,50.75,50.75,50.75,50.75,5.0
2020-06-24 10:20:00,49.05,49.05,49.05,49.05,60.0
2020-06-24 10:25:00,50.7,50.7,50.7,50.7,50.0
2020-06-24 10:40:00,50.65,50.65,50.65,50.65,100.0
2020-06-24 11:05:00,49.0,49.0,49.0,49.0,1449.0
2020-06-24 11:10:00,50.65,50.65,50.3,50.4,602.0
2020-06-24 11:35:00,49.0,49.0,49.0,49.0,1.0
2020-06-24 12:05:00,50.5,50.5,50.5,50.5,25.0
2020-06-24 13:35:00,50.55,50.55,50.55,50.55,237.0
2020-06-24 13:45:00,50.0,50.0,50.0,50.0,0.0
2020-06-24 14:45:00,50.4,50.4,50.4,50.4,5.0
2020-06-24 15:15:00,49.2,49.2,49.2,49.2,55.0
2020-06-24 15:20:00,49.2,49.2,49.2,49.2,140.0
2020-06-24 15:25:00,49.2,50.4,49.2,49.3,74.0
2020-06-25 09:20:00,50.95,50.95,50.95,50.95,0.0
2020-06-25 09:50:00,49.5,49.5,49.5,49.5,140.0
2020-06-25 09:55:00,49.5,49.5,49.5,49.5,0.0
2020-06-25 10:55:00,47.0,49.4,47.0,49.4,3000.0
2020-06-25 11:00:00,49.45,49.45,49.45,49.45,0.0
2020-06-25 11:05:00,49.0,49.0,49.0,49.0,1.0
2020-06-25 11:55:00,49.5,49.5,49.5,49.5,2.0
2020-06-25 12:15:00,49.5,49.5,49.5,49.5,36.0
2020-06-25 12:35:00,49.0,49.0,49.0,49.0,605.0
2020-06-25 13:45:00,49.25,49.4,49.25,49.4,5000.0
2020-06-25 14:20:00,52.0,52.0,52.0,52.0,1041.0
2020-06-25 14:25:00,52.0,52.0,52.0,52.0,521.0
2020-06-25 14:30:00,52.0,52.0,52.0,52.0,0.0
2020-06-25 14:35:00,52.1,52.1,49.55,49.55,2000.0
2020-06-25 14:40:00,52.75,53.0,52.75,53.0,995.0
2020-06-25 14:45:00,53.0,53.0,53.0,53.0,0.0
2020-06-25 14:50:00,52.95,53.25,52.95,53.25,540.0
2020-06-25 14:55:00,53.25,53.25,50.15,50.15,0.0
2020-06-25 15:00:00,50.0,53.25,49.55,50.5,9725.0
2020-06-25 15:05:00,50.6,52.8,50.6,52.8,92.0
2020-06-25 15:10:00,52.7,53.75,51.0,51.0,10061.0
2020-06-25 15:20:00,53.5,53.5,53.5,53.5,0.0
2020-06-25 15:25:00,50.5,51.55,50.5,51.55,1905.0
2020-06-26 09:45:00,56.9,56.9,49.55,49.65,0.0
2020-06-26 10:30:00,51.0,51.0,51.0,51.0,95.0
2020-06-26 10:35:00,51.0,52.0,51.0,52.0,102.0
2020-06-26 10:40:00,51.8,51.85,51.7,51.85,10000.0
2020-06-26 10:45:00,51.85,51.85,51.85,51.85,9.0
2020-06-26 11:00:00,51.05,51.05,51.05,51.05,1990.0
2020-06-26 11:50:00,51.05,51.05,51.05,51.05,1850.0
2020-06-26 12:20:00,52.0,52.0,52.0,52.0,301.0
2020-06-26 13:10:00,52.0,52.0,52.0,52.0,10.0
2020-06-26 13:30:00,52.1,52.6,52.1,52.6,608.0
