,Open,High,Low,Close,Volume
2020-06-30 09:15:00,71.8,76.0,71.8,76.0,0.0
2020-06-30 09:16:00,76.3,76.3,76.0,76.3,4719.0
2020-06-30 09:17:00,76.3,76.3,76.3,76.3,6938.0
2020-06-30 09:18:00,76.3,76.3,76.3,76.3,1153.0
2020-06-30 09:19:00,76.3,76.3,76.3,76.3,6866.0
2020-06-30 09:20:00,76.3,76.3,76.3,76.3,1019.0
2020-06-30 09:21:00,76.3,76.3,76.3,76.3,0.0
2020-06-30 09:22:00,76.3,76.3,75.9,75.9,6562.0
2020-06-30 09:23:00,76.3,76.3,76.3,76.3,3837.0
2020-06-30 09:24:00,76.3,76.3,76.3,76.3,701.0
2020-06-30 09:25:00,76.3,76.3,76.3,76.3,0.0
2020-06-30 09:26:00,76.3,76.3,76.3,76.3,1357.0
2020-06-30 09:31:00,76.3,76.3,76.3,76.3,1282.0
2020-06-30 09:32:00,76.3,76.3,76.3,76.3,13435.0
2020-06-30 09:33:00,75.0,76.25,75.0,76.25,5878.0
2020-06-30 09:34:00,75.8,76.3,75.8,76.3,221.0
2020-06-30 09:36:00,76.3,76.3,76.3,76.3,720.0
2020-06-30 09:37:00,76.3,76.3,76.3,76.3,10924.0
2020-06-30 09:38:00,76.3,76.3,76.3,76.3,0.0
2020-06-30 09:39:00,76.3,76.3,76.3,76.3,3438.0
2020-06-30 09:41:00,76.3,76.3,76.3,76.3,1402.0
2020-06-30 09:42:00,76.3,76.3,76.3,76.3,2376.0
2020-06-30 09:47:00,76.3,76.3,75.8,76.0,21127.0
2020-06-30 09:48:00,76.0,76.0,75.05,75.9,1991.0
2020-06-30 09:49:00,75.8,76.3,75.8,76.3,3705.0
2020-06-30 09:51:00,76.3,76.3,76.3,76.3,0.0
2020-06-30 09:54:00,76.3,76.3,76.3,76.3,150.0
2020-06-30 09:55:00,76.3,76.3,76.3,76.3,0.0
2020-06-30 09:56:00,76.3,76.3,76.3,76.3,560.0
2020-06-30 10:01:00,76.3,76.3,76.3,76.3,105.0
2020-06-30 10:17:00,76.3,76.3,76.3,76.3,20.0
2020-06-30 10:19:00,76.3,76.3,76.3,76.3,1490.0
2020-06-30 10:22:00,76.3,76.3,76.3,76.3,1700.0
2020-06-30 10:23:00,76.3,76.3,76.3,76.3,218.0
2020-06-30 10:31:00,76.3,76.3,76.3,76.3,4986.0
2020-06-30 10:35:00,76.3,76.3,76.3,76.3,5998.0
2020-06-30 10:40:00,76.3,76.3,76.3,76.3,200.0
2020-06-30 10:42:00,76.3,76.3,76.3,76.3,1400.0
2020-06-30 10:53:00,76.3,76.3,76.3,76.3,6.0
2020-06-30 11:12:00,76.3,76.3,76.3,76.3,2229.0
2020-06-30 11:14:00,76.3,76.3,76.3,76.3,2770.0
2020-06-30 11:15:00,76.3,76.3,76.3,76.3,2211.0
2020-06-30 11:16:00,76.3,76.3,76.3,76.3,16476.0
2020-06-30 11:17:00,76.3,76.3,76.3,76.3,2248.0
2020-06-30 11:18:00,76.3,76.3,76.3,76.3,4.0
2020-06-30 11:19:00,76.3,76.3,76.3,76.3,1211.0
2020-06-30 11:20:00,76.3,76.3,76.3,76.3,0.0
2020-06-30 11:21:00,76.3,76.3,74.9,74.9,5885.0
2020-06-30 11:22:00,74.8,76.1,74.8,76.1,721.0
2020-06-30 11:23:00,75.9,75.9,75.8,75.85,414.0
2020-06-30 11:24:56,76.3,76.3,76.3,76.3,0.0
