,Open,High,Low,Close,Volume
2020-06-30 09:15:00,71.8,76.3,71.8,76.3,4719.0
2020-06-30 09:17:00,76.3,76.3,76.3,76.3,8091.0
2020-06-30 09:19:00,76.3,76.3,76.3,76.3,7885.0
2020-06-30 09:21:00,76.3,76.3,75.9,75.9,6562.0
2020-06-30 09:23:00,76.3,76.3,76.3,76.3,4538.0
2020-06-30 09:25:00,76.3,76.3,76.3,76.3,1357.0
2020-06-30 09:31:00,76.3,76.3,76.3,76.3,14717.0
2020-06-30 09:33:00,75.0,76.3,75.0,76.3,6099.0
2020-06-30 09:35:00,76.3,76.3,76.3,76.3,720.0
2020-06-30 09:37:00,76.3,76.3,76.3,76.3,10924.0
2020-06-30 09:39:00,76.3,76.3,76.3,76.3,3438.0
2020-06-30 09:41:00,76.3,76.3,76.3,76.3,3778.0
2020-06-30 09:47:00,76.3,76.3,75.05,75.9,23118.0
2020-06-30 09:49:00,75.8,76.3,75.8,76.3,3705.0
2020-06-30 09:51:00,76.3,76.3,76.3,76.3,0.0
2020-06-30 09:53:00,76.3,76.3,76.3,76.3,150.0
2020-06-30 09:55:00,76.3,76.3,76.3,76.3,560.0
2020-06-30 10:01:00,76.3,76.3,76.3,76.3,105.0
2020-06-30 10:17:00,76.3,76.3,76.3,76.3,20.0
2020-06-30 10:19:00,76.3,76.3,76.3,76.3,1490.0
2020-06-30 10:21:00,76.3,76.3,76.3,76.3,1700.0
2020-06-30 10:23:00,76.3,76.3,76.3,76.3,218.0
2020-06-30 10:31:00,76.3,76.3,76.3,76.3,4986.0
2020-06-30 10:35:00,76.3,76.3,76.3,76.3,5998.0
2020-06-30 10:39:00,76.3,76.3,76.3,76.3,200.0
2020-06-30 10:41:00,76.3,76.3,76.3,76.3,2900.0
2020-06-30 10:53:00,76.3,76.3,76.3,76.3,0.0
2020-06-30 11:11:00,76.3,76.3,76.3,76.3,2232.0
2020-06-30 11:13:00,76.3,76.3,76.3,76.3,2770.0
2020-06-30 11:15:00,76.3,76.3,76.3,76.3,18687.0
2020-06-30 11:17:00,76.3,76.3,76.3,76.3,2252.0
2020-06-30 11:19:00,76.3,76.3,76.3,76.3,1211.0
2020-06-30 11:21:00,76.3,76.3,74.8,76.1,6606.0
2020-06-30 11:23:00,75.9,75.9,75.8,75.85,414.0
2020-06-30 11:24:56,76.3,76.3,76.3,76.3,0.0
