,Open,High,Low,Close,Volume
2007-01-01 00:00:00,188.7,227.05,182.48,195.73,47973712
2007-02-01 00:00:00,192.5,207.73,159.1,159.1,5357786
2007-03-01 00:00:00,155.93,174.3,135.45,174.3,2866006
2007-04-01 00:00:00,174.0,225.0,170.82,216.55,3948470
2007-05-01 00:00:00,220.0,220.0,196.5,204.18,3238906
2007-06-01 00:00:00,204.5,210.5,188.62,198.65,3880008
2007-07-01 00:00:00,199.25,261.2,192.62,229.55,4577052
2007-08-01 00:00:00,223.0,255.5,210.25,228.85,1645812
2007-09-01 00:00:00,228.02,339.4,217.57,302.42,4168910
2007-10-01 00:00:00,305.0,332.0,257.1,314.77,1880958
2007-11-01 00:00:00,315.58,381.48,305.5,350.5,1719392
2007-12-01 00:00:00,350.05,389.75,327.5,380.9,1072928
2008-01-01 00:00:00,390.0,425.0,260.0,312.42,662422
2008-02-01 00:00:00,315.52,360.0,272.0,332.67,679376
2008-03-01 00:00:00,327.5,346.25,225.0,265.2,1283236
2008-04-01 00:00:00,256.02,292.35,215.0,283.73,2859792
2008-05-01 00:00:00,290.0,324.4,253.0,277.85,1876994
2008-06-01 00:00:00,288.0,288.0,212.5,227.05,1440384
2008-07-01 00:00:00,225.0,230.0,181.55,217.05,1709261
2008-08-01 00:00:00,209.0,228.4,201.0,215.9,1266845
2008-09-01 00:00:00,205.7,220.8,148.1,165.85,1344680
2008-10-01 00:00:00,164.95,165.0,74.0,87.95,3145989
2008-11-01 00:00:00,89.2,106.0,53.2,64.3,2346719
2008-12-01 00:00:00,63.05,99.95,59.5,70.2,3223784
2009-01-01 00:00:00,70.5,94.5,36.55,39.45,7413152
2009-02-01 00:00:00,39.0,42.45,29.1,29.95,4005217
2009-03-01 00:00:00,28.0,33.3,21.3,31.8,7237145
2009-04-01 00:00:00,32.05,61.45,32.05,45.7,14444416
2009-05-01 00:00:00,45.7,85.8,42.0,79.7,18173762
2009-06-01 00:00:00,80.8,88.0,61.25,67.65,20429047
2009-07-01 00:00:00,67.8,71.1,52.95,57.45,17431436
2009-08-01 00:00:00,60.0,69.4,48.55,62.6,38299667
2009-09-01 00:00:00,63.0,77.6,59.65,72.2,73120533
2009-10-01 00:00:00,72.45,74.15,57.2,60.2,30202348
2009-11-01 00:00:00,60.2,62.75,50.55,56.4,15358528
2009-12-01 00:00:00,57.1,67.0,56.65,60.75,23481142
2010-01-01 00:00:00,60.9,66.1,50.3,52.45,23899690
2010-02-01 00:00:00,52.25,54.75,44.0,47.15,14243228
2010-03-01 00:00:00,48.0,51.5,44.85,45.05,17371176
2010-04-01 00:00:00,45.2,49.15,43.9,44.75,18806432
2010-05-01 00:00:00,44.5,45.0,36.0,36.7,11475445
2010-06-01 00:00:00,36.7,38.8,33.5,36.05,11574956
2010-07-01 00:00:00,36.25,37.9,30.8,30.95,7883898
2010-08-01 00:00:00,31.0,32.4,22.1,22.75,23049107
2010-09-01 00:00:00,23.4,32.9,22.1,29.8,48363877
2010-10-01 00:00:00,30.0,30.6,25.55,25.8,21915063
2010-11-01 00:00:00,26.55,28.4,19.85,20.45,10395377
2010-12-01 00:00:00,20.5,24.0,17.6,22.0,12923173
2011-01-01 00:00:00,22.45,23.1,18.0,18.45,8055197
2011-02-01 00:00:00,18.8,22.5,14.0,19.65,16480740
2011-03-01 00:00:00,19.9,20.0,16.0,16.65,2685258
2011-04-01 00:00:00,16.85,19.3,16.35,16.6,1608305
2011-05-01 00:00:00,17.0,17.0,14.15,15.25,1647456
2011-06-01 00:00:00,15.45,15.45,12.95,13.75,1482854
2011-07-01 00:00:00,14.0,17.45,13.5,14.25,4311421
2011-08-01 00:00:00,14.4,14.7,9.2,10.1,4276762
2011-09-01 00:00:00,10.1,10.55,7.9,7.95,2926126
2011-10-01 00:00:00,8.0,8.0,6.6,7.65,3531269
2011-11-01 00:00:00,7.7,10.3,6.5,6.65,4310008
2011-12-01 00:00:00,6.8,7.55,5.45,5.9,1994187
2012-01-01 00:00:00,6.0,7.65,5.8,7.1,3379863
2012-02-01 00:00:00,7.25,10.5,6.7,8.35,6832897
2012-03-01 00:00:00,8.2,8.5,6.5,6.85,1990627
2012-04-01 00:00:00,6.75,7.5,6.25,6.35,1294247
2012-05-01 00:00:00,6.4,6.6,5.35,5.9,1728763
2012-06-01 00:00:00,5.8,6.15,5.3,5.8,1450164
2012-07-01 00:00:00,5.8,8.0,5.6,6.05,3551925
2012-08-01 00:00:00,6.0,6.4,5.25,5.5,1455903
2012-09-01 00:00:00,5.4,7.7,5.1,7.35,3992785
2012-10-01 00:00:00,8.3,8.3,5.25,6.1,3092116
2012-11-01 00:00:00,6.25,6.3,4.9,5.75,2822078
2012-12-01 00:00:00,5.7,6.5,5.05,5.7,2545034
2013-01-01 00:00:00,5.8,6.55,5.05,5.3,2807987
2013-02-01 00:00:00,5.5,5.8,3.95,4.25,1507844
2013-03-01 00:00:00,4.35,4.9,3.0,3.15,1382342
2013-04-01 00:00:00,3.0,5.8,3.0,4.15,2028495
2013-05-01 00:00:00,4.15,4.35,3.45,3.55,765015
