,Open,High,Low,Close,Volume
2015-07-06 00:00:00,24.85,26.0,24.55,25.45,1223280
2015-07-13 00:00:00,25.7,26.5,23.0,23.1,5219409
2015-07-20 00:00:00,22.9,25.35,22.0,23.25,3630572
2015-07-27 00:00:00,22.8,29.35,22.8,27.45,8293550
2015-08-03 00:00:00,27.65,32.7,27.2,28.2,11927591
2015-08-10 00:00:00,27.1,28.3,25.2,27.2,4656412
2015-08-17 00:00:00,27.25,33.85,26.8,30.2,10264329
2015-08-24 00:00:00,28.1,29.5,20.7,27.8,4644204
2015-08-31 00:00:00,28.45,29.4,24.8,25.35,2128495
2015-09-07 00:00:00,25.5,26.1,23.05,24.95,2077806
2015-09-14 00:00:00,25.65,26.2,24.5,24.85,1635350
2015-09-21 00:00:00,24.85,26.7,24.2,24.85,1555691
2015-09-28 00:00:00,24.85,25.8,24.25,24.75,1017215
2015-10-05 00:00:00,25.1,33.2,24.7,32.65,6606005
2015-10-12 00:00:00,33.15,35.45,32.5,32.65,6922205
2015-10-19 00:00:00,33.0,35.9,32.7,34.0,4236801
2015-10-26 00:00:00,33.8,34.5,29.55,31.55,4078215
2015-11-02 00:00:00,32.8,34.4,30.3,30.5,3080828
2015-11-09 00:00:00,29.0,35.0,28.7,33.8,2571757
2015-11-16 00:00:00,33.6,39.05,33.5,37.65,10130970
2015-11-23 00:00:00,38.4,42.35,36.5,40.65,5948353
2015-11-30 00:00:00,40.65,49.7,40.3,48.05,9809095
2015-12-07 00:00:00,48.95,52.65,42.55,45.35,9915759
2015-12-14 00:00:00,45.4,48.75,43.6,47.65,4818613
2015-12-21 00:00:00,47.65,51.2,47.65,50.0,4040875
2015-12-28 00:00:00,50.45,51.15,46.0,48.3,2538718
2016-01-04 00:00:00,48.75,49.85,45.2,46.35,3287091
2016-01-11 00:00:00,46.0,46.4,33.9,36.2,4961749
2016-01-18 00:00:00,34.5,36.0,29.4,34.15,5968835
2016-01-25 00:00:00,35.55,45.1,34.75,42.9,3751825
2016-02-01 00:00:00,43.45,45.7,35.85,36.05,4026749
2016-02-08 00:00:00,36.05,37.0,29.3,29.85,2368455
2016-02-15 00:00:00,30.0,32.8,28.4,30.6,1762628
2016-02-22 00:00:00,30.35,32.9,27.75,27.8,1468810
2016-02-29 00:00:00,27.75,32.1,26.05,32.1,2127142
2016-03-07 00:00:00,32.1,38.95,31.5,38.9,2361892
2016-03-14 00:00:00,40.0,40.8,35.35,36.95,2882077
2016-03-21 00:00:00,37.05,37.9,35.2,36.4,895678
2016-03-28 00:00:00,36.4,39.15,34.0,38.5,1843224
2016-04-04 00:00:00,39.0,42.55,37.7,40.35,2671320
2016-04-11 00:00:00,40.05,41.2,39.4,40.3,906344
2016-04-18 00:00:00,40.0,42.35,39.05,39.7,926591
2016-04-25 00:00:00,40.0,40.6,37.5,37.7,1109883
2016-05-02 00:00:00,38.15,40.5,37.6,39.15,1382762
2016-05-09 00:00:00,39.7,39.9,35.65,35.8,1351291
2016-05-16 00:00:00,36.0,39.75,36.0,37.45,1702511
2016-05-23 00:00:00,38.0,38.5,32.05,32.9,2899973
2016-05-30 00:00:00,32.55,34.75,31.05,32.75,1810122
2016-06-06 00:00:00,32.6,34.3,32.0,33.7,1145774
2016-06-13 00:00:00,32.05,36.9,32.05,35.35,1408625
2016-06-20 00:00:00,35.0,42.0,32.5,35.85,2164810
2016-06-27 00:00:00,35.65,38.55,35.5,37.95,1250930
2016-07-04 00:00:00,37.9,39.5,36.6,36.7,767952
2016-07-11 00:00:00,37.0,37.6,35.6,35.9,898998
2016-07-18 00:00:00,36.0,36.5,34.6,35.0,555989
2016-07-25 00:00:00,35.1,37.9,34.55,36.35,1165519
2016-08-01 00:00:00,36.3,38.5,34.2,35.2,1908297
2016-08-08 00:00:00,36.0,36.4,31.45,33.9,2395454
2016-08-15 00:00:00,33.9,34.65,32.2,32.6,751055
2016-08-22 00:00:00,33.3,34.65,32.0,32.15,1714695
2016-08-29 00:00:00,32.5,32.85,31.5,31.8,716295
2016-09-05 00:00:00,31.8,36.95,31.55,36.6,2269781
2016-09-12 00:00:00,35.8,39.3,35.1,36.95,2155967
