,Open,High,Low,Close,Volume
2011-12-26 00:00:00,54.22,55.5,53.0,53.9,26786
2012-01-02 00:00:00,53.5,56.0,51.12,52.55,665166
2012-01-09 00:00:00,52.0,52.3,41.55,41.55,365200
2012-01-16 00:00:00,41.97,46.08,39.55,44.9,386698
2012-01-23 00:00:00,47.12,48.0,44.08,45.75,330278
2012-01-30 00:00:00,45.78,52.5,45.7,51.17,365234
2012-02-06 00:00:00,51.3,55.7,49.22,54.42,367570
2012-02-13 00:00:00,54.42,57.8,54.42,56.5,295398
2012-02-20 00:00:00,59.33,59.33,55.0,55.15,205034
2012-02-27 00:00:00,56.0,56.0,52.75,52.75,131546
2012-03-05 00:00:00,52.67,59.5,51.8,56.08,302262
2012-03-12 00:00:00,56.22,56.85,55.5,55.58,231448
2012-03-19 00:00:00,55.72,64.4,55.5,60.88,891066
2012-03-26 00:00:00,60.5,64.95,57.38,64.75,1541974
2012-04-02 00:00:00,64.0,64.1,62.28,63.38,398050
2012-04-09 00:00:00,62.5,63.2,56.5,57.42,585716
2012-04-16 00:00:00,55.0,66.9,55.0,62.97,648854
2012-04-23 00:00:00,62.9,69.2,61.83,66.97,436300
2012-04-30 00:00:00,68.0,70.55,67.53,69.97,429568
2012-05-07 00:00:00,69.28,72.0,69.28,70.97,551134
2012-05-14 00:00:00,71.2,73.5,68.0,71.18,490524
2012-05-21 00:00:00,71.25,83.35,71.05,74.55,520384
2012-05-28 00:00:00,74.6,84.35,73.82,73.9,488500
2012-06-04 00:00:00,73.43,75.1,72.88,74.72,700564
2012-06-11 00:00:00,74.75,75.8,73.22,75.6,574948
2012-06-18 00:00:00,75.68,77.5,74.5,76.75,715960
2012-06-25 00:00:00,77.07,77.75,76.95,77.6,748458
2012-07-02 00:00:00,77.65,78.22,77.0,77.22,706858
2012-07-09 00:00:00,77.45,77.55,76.65,77.5,871402
2012-07-16 00:00:00,78.18,79.55,78.0,79.32,750606
2012-07-23 00:00:00,79.03,80.25,78.85,80.12,654192
2012-07-30 00:00:00,80.28,80.9,79.82,80.25,690350
2012-08-06 00:00:00,80.9,81.15,80.5,80.62,750112
2012-08-13 00:00:00,80.62,81.5,80.62,80.9,524014
2012-08-20 00:00:00,80.9,81.4,80.22,81.05,711316
2012-08-27 00:00:00,81.0,84.85,80.65,82.15,799626
2012-09-03 00:00:00,82.18,83.15,81.95,83.1,802096
2012-09-10 00:00:00,83.18,84.57,82.3,84.22,759228
2012-09-17 00:00:00,84.68,85.1,84.22,84.32,701578
2012-09-24 00:00:00,84.07,86.35,84.03,86.22,952350
2012-10-01 00:00:00,86.68,87.05,86.4,86.65,646284
2012-10-08 00:00:00,86.3,86.75,85.78,86.5,929502
2012-10-15 00:00:00,86.5,86.82,86.15,86.18,1083386
2012-10-22 00:00:00,86.18,86.25,85.93,86.05,699390
2012-10-29 00:00:00,85.88,87.1,85.85,86.55,1169548
2012-11-05 00:00:00,87.18,91.03,87.05,90.97,1029964
2012-11-12 00:00:00,90.95,91.72,90.95,91.68,540798
2012-11-19 00:00:00,91.3,92.8,91.25,92.62,992900
2012-11-26 00:00:00,92.75,94.8,92.65,94.78,706910
2012-12-03 00:00:00,94.82,94.88,94.03,94.2,821228
2012-12-10 00:00:00,94.1,95.1,91.47,95.07,927634
2012-12-17 00:00:00,95.05,95.88,94.9,95.0,978134
2012-12-24 00:00:00,95.12,96.93,95.07,96.9,853402
2012-12-31 00:00:00,96.85,98.03,96.82,97.75,1036486
2013-01-07 00:00:00,97.38,98.53,97.38,98.53,936350
2013-01-14 00:00:00,98.62,100.88,98.6,100.85,1197590
2013-01-21 00:00:00,100.93,102.72,100.93,102.5,961130
2013-01-28 00:00:00,102.53,103.03,102.45,102.55,963248
2013-02-04 00:00:00,102.65,103.05,100.95,101.2,962380
2013-02-11 00:00:00,101.47,101.62,100.5,100.57,876906
2013-02-18 00:00:00,100.68,101.3,99.95,99.97,869236
2013-02-25 00:00:00,100.28,102.3,99.95,101.28,1111664
2013-03-04 00:00:00,100.38,110.53,99.5,110.3,1313428
2013-03-11 00:00:00,110.5,112.6,110.5,111.85,1075630
2013-03-18 00:00:00,111.38,112.05,102.5,111.88,771046
2013-03-25 00:00:00,112.28,112.55,112.22,112.32,528912
