,Open,High,Low,Close,Volume
2002-07-01 00:00:00,27.65,28.92,18.5,19.42,7276693
2002-08-01 00:00:00,19.42,21.2,18.61,19.57,1867690
2002-09-01 00:00:00,19.85,21.27,19.18,19.35,1283556
2002-10-01 00:00:00,19.42,20.7,18.64,20.2,3375476
2002-11-01 00:00:00,20.49,23.32,19.92,22.54,3392157
2002-12-01 00:00:00,22.69,23.82,21.34,23.08,3620024
2003-01-01 00:00:00,23.22,25.91,22.33,24.28,7926860
2003-02-01 00:00:00,24.42,28.11,24.14,26.27,7426135
2003-03-01 00:00:00,26.51,27.47,25.17,26.87,3124757
2003-04-01 00:00:00,26.9,29.95,26.66,29.85,4153663
2003-05-01 00:00:00,30.45,35.3,27.44,34.88,8533555
2003-06-01 00:00:00,35.09,37.04,32.47,36.01,4780371
2003-07-01 00:00:00,36.4,43.28,32.72,38.14,13561279
2003-08-01 00:00:00,37.93,54.98,37.93,49.66,29503930
2003-09-01 00:00:00,50.09,59.34,47.64,57.28,25545220
2003-10-01 00:00:00,57.74,70.82,54.69,67.92,22966417
2003-11-01 00:00:00,68.23,103.22,67.53,98.29,51652445
2003-12-01 00:00:00,99.25,112.01,92.23,108.43,26386606
2004-01-01 00:00:00,108.47,125.16,95.78,100.74,21712803
2004-02-01 00:00:00,101.66,115.91,96.06,100.17,17315697
2004-03-01 00:00:00,102.01,102.65,71.71,90.07,12950209
2004-04-01 00:00:00,90.32,107.26,89.68,91.66,22278353
2004-05-01 00:00:00,92.87,92.87,59.55,82.7,27810246
2004-06-01 00:00:00,83.51,98.26,77.27,96.2,26900362
2004-07-01 00:00:00,97.69,106.52,92.34,97.73,27640771
2004-08-01 00:00:00,97.83,111.66,95.53,102.94,14861045
2004-09-01 00:00:00,103.93,117.29,99.11,114.95,23845187
2004-10-01 00:00:00,115.56,129.24,112.51,121.65,17636861
2004-11-01 00:00:00,122.79,141.36,112.58,136.65,15437598
2004-12-01 00:00:00,136.11,137.53,117.68,118.89,18165090
2005-01-01 00:00:00,119.81,126.79,103.89,119.35,15233205
2005-02-01 00:00:00,120.52,129.73,110.27,126.12,14610114
2005-03-01 00:00:00,127.46,133.42,107.05,109.1,14332880
2005-04-01 00:00:00,109.53,120.45,104.82,115.17,9767170
2005-05-01 00:00:00,116.97,118.0,106.41,111.05,10814654
2005-06-01 00:00:00,111.83,116.26,92.59,93.72,21911961
2005-07-01 00:00:00,94.64,117.68,94.57,110.13,24684761
2005-08-01 00:00:00,110.59,140.86,108.82,137.14,62571729
2005-09-01 00:00:00,138.13,156.67,132.6,141.32,73690867
2005-10-01 00:00:00,142.42,153.77,134.62,138.56,29176954
2005-11-01 00:00:00,139.66,169.72,137.18,160.4,35770904
2005-12-01 00:00:00,161.63,169.43,143.38,163.62,22439904
2006-01-01 00:00:00,163.05,182.05,163.05,166.88,27901486
2006-02-01 00:00:00,168.02,184.07,158.8,174.08,31976907
2006-03-01 00:00:00,174.96,196.27,172.62,185.49,32662296
2006-04-01 00:00:00,187.87,197.08,168.02,187.9,25826565
2006-05-01 00:00:00,206.58,212.68,122.11,168.02,28407085
2006-06-01 00:00:00,169.43,174.68,121.3,165.0,27454716
2006-07-01 00:00:00,165.0,170.14,137.18,152.56,14050616
2006-08-01 00:00:00,152.42,195.66,146.46,191.87,57041111
2006-09-01 00:00:00,192.83,219.77,182.83,219.13,42816598
2006-10-01 00:00:00,219.06,221.36,165.04,190.36,67734769
2006-11-01 00:00:00,190.28,278.0,185.46,218.55,58778204
2006-12-01 00:00:00,221.0,233.1,191.0,200.95,12602159
2007-01-01 00:00:00,203.8,229.0,202.8,209.2,11204871
2007-02-01 00:00:00,205.05,230.0,195.0,208.45,8734952
