,Open,High,Low,Close,Volume
2020-05-18 09:15:00,182.05,185.0,179.6,182.2,7227243
2020-05-19 09:15:00,182.25,186.0,178.0,184.4,5743334
2020-05-20 09:15:00,185.0,185.9,182.2,184.95,7707853
2020-05-21 09:15:00,183.4,191.7,183.4,189.1,7129115
2020-05-22 09:15:00,189.05,190.85,186.45,189.0,4588826
2020-05-26 09:15:00,189.0,193.2,185.7,188.8,5911134
2020-05-27 09:15:00,189.6,205.5,187.7,201.25,18082968
2020-05-28 09:15:00,203.5,203.5,196.05,199.35,12347623
2020-05-29 09:15:00,199.35,214.9,196.15,212.8,30630211
2020-06-01 09:15:00,215.5,221.0,213.4,215.05,13374624
2020-06-02 09:15:00,215.1,218.55,210.95,215.85,6406277
2020-06-03 09:15:00,216.1,217.45,210.55,211.35,8422101
2020-06-04 09:15:00,211.35,219.95,210.15,216.25,7397468
2020-06-05 09:15:00,220.0,220.25,215.0,218.75,7245584
2020-06-08 09:15:00,219.0,227.3,215.85,226.45,12213696
2020-06-09 09:15:00,224.1,226.3,217.15,218.35,7845252
2020-06-10 09:15:00,220.0,221.05,215.6,217.0,7393646
2020-06-11 09:15:00,217.0,217.65,212.35,212.9,6248745
2020-06-12 09:15:00,208.0,209.5,206.3,207.9,6209344
2020-06-15 09:15:00,211.95,217.9,208.15,213.8,14255725
2020-06-16 09:15:00,217.45,217.9,209.6,212.4,7960856
2020-06-17 09:15:00,212.0,218.75,211.05,217.8,13969454
2020-06-18 09:15:00,216.8,219.3,214.65,218.15,6204213
2020-06-19 09:15:00,218.0,224.1,215.0,222.05,11223677
2020-06-22 09:15:00,221.15,221.75,216.8,218.05,6480903
2020-06-23 09:15:00,215.0,222.3,213.0,220.6,7425149
2020-06-24 09:15:00,224.0,224.0,217.55,218.2,8246086
2020-06-25 09:15:00,216.95,222.0,215.3,218.2,5096846
2020-06-26 09:15:00,219.3,230.0,218.3,225.45,19194506
2020-06-29 09:15:00,222.05,225.9,218.7,219.7,6687074
2020-06-30 09:15:00,219.6,221.95,218.0,219.65,5500693
2020-07-01 09:15:00,221.0,222.4,218.35,219.05,3952617
2020-07-02 09:15:00,221.0,225.45,219.55,224.2,7179941
2020-07-03 09:15:00,224.2,228.5,222.65,224.8,5419456
2020-07-06 09:15:00,225.9,227.25,221.6,222.65,7587814
2020-07-07 09:15:00,223.2,228.4,222.0,224.9,9117569
2020-07-08 09:15:00,226.65,227.7,222.5,223.1,7076184
2020-07-09 09:15:00,224.25,224.6,219.65,221.6,6708998
2020-07-10 09:15:00,221.0,223.45,219.5,222.1,4548759
2020-07-13 09:15:00,223.95,229.0,222.55,227.6,12347310
2020-07-14 09:15:00,228.4,231.7,224.1,225.0,13938567
2020-07-15 09:15:00,236.0,268.7,235.0,262.75,130367588
2020-07-16 09:15:00,262.5,268.45,255.05,261.9,52277927
2020-07-17 09:15:00,258.6,263.85,257.0,261.35,18856512
2020-07-20 09:15:00,261.35,273.55,259.0,270.8,21394990
2020-07-21 09:15:00,278.5,281.6,269.4,271.35,32999050
2020-07-22 09:15:00,272.45,272.85,263.65,266.0,12583854
2020-07-23 09:15:00,268.3,268.45,262.55,266.6,10368328
2020-07-24 09:15:00,267.0,271.8,265.55,270.55,22122123
2020-07-27 09:15:00,270.55,273.2,267.15,268.85,13990247
2020-07-28 09:15:00,269.3,276.75,269.3,275.45,14043807
2020-07-29 09:15:00,273.8,278.0,272.35,277.0,10783639
2020-07-30 09:15:00,280.1,286.8,280.1,284.1,25847295
2020-07-31 09:15:00,289.6,290.8,278.6,280.95,16700660
2020-08-03 09:15:00,283.0,284.8,279.5,281.55,8908763
2020-08-04 09:15:00,281.55,283.35,278.25,281.05,8119521
2020-08-05 09:15:00,281.25,284.45,277.4,278.2,7345453
2020-08-06 09:15:00,280.7,284.25,277.75,279.65,10152605
2020-08-07 09:15:00,281.05,281.85,276.4,277.4,7321200
2020-08-10 15:30:00,280.0,281.2,276.6,277.4,6308995
