,Open,High,Low,Close,Volume
2010-09-01 00:00:00,150.09,170.4,149.34,168.54,79460923
2010-10-01 00:00:00,168.0,187.5,155.62,157.41,106012475
2010-11-01 00:00:00,160.5,165.71,149.06,157.35,60993223
2010-12-01 00:00:00,157.88,186.09,154.56,184.22,103051904
2011-01-01 00:00:00,186.3,186.3,159.23,164.29,95429236
2011-02-01 00:00:00,164.48,172.5,152.81,164.32,79264389
2011-03-01 00:00:00,165.0,181.76,161.77,180.07,69619371
2011-04-01 00:00:00,178.88,183.75,164.81,168.86,69874780
2011-05-01 00:00:00,168.75,170.21,160.5,167.4,47505037
2011-06-01 00:00:00,166.91,169.09,143.04,156.6,54044565
2011-07-01 00:00:00,158.93,163.12,131.25,145.99,68601976
2011-08-01 00:00:00,146.81,148.95,116.44,125.72,85754696
2011-09-01 00:00:00,129.41,134.98,117.11,127.8,97206429
2011-10-01 00:00:00,125.62,146.25,121.35,137.48,66401718
2011-11-01 00:00:00,137.91,146.04,135.02,141.45,92981718
2011-12-01 00:00:00,144.0,157.84,142.14,149.51,109680239
2012-01-01 00:00:00,149.62,159.38,143.44,155.21,80701389
2012-02-01 00:00:00,154.88,169.88,153.75,162.13,67103065
2012-03-01 00:00:00,162.38,168.02,156.09,165.04,74925979
2012-04-01 00:00:00,164.1,169.39,149.44,151.89,86936375
2012-05-01 00:00:00,151.89,157.69,142.01,153.75,64947736
2012-06-01 00:00:00,151.65,155.59,145.12,149.96,56120198
2012-07-01 00:00:00,150.45,151.69,121.99,127.52,110172780
2012-08-01 00:00:00,127.57,139.69,125.87,135.98,59411707
2012-09-01 00:00:00,136.09,148.48,134.14,142.89,67633158
2012-10-01 00:00:00,142.12,145.22,125.4,131.49,96330902
2012-11-01 00:00:00,130.5,148.5,130.5,147.47,84982903
2012-12-01 00:00:00,147.41,149.98,137.4,147.94,59712652
2013-01-01 00:00:00,148.52,164.85,146.68,154.33,121896880
2013-02-01 00:00:00,153.75,159.68,144.41,156.15,73443901
2013-03-01 00:00:00,157.5,171.0,156.81,163.93,78423726
2013-04-01 00:00:00,163.99,173.62,122.7,130.63,140789449
2013-05-01 00:00:00,130.63,135.54,118.07,122.87,93576557
2013-06-01 00:00:00,123.79,132.0,119.96,130.88,78092236
2013-07-01 00:00:00,130.88,165.38,128.06,164.25,113139360
2013-08-01 00:00:00,164.25,185.62,160.31,181.35,152347095
2013-09-01 00:00:00,181.14,187.73,167.59,177.39,156097435
2013-10-01 00:00:00,178.46,194.91,175.39,179.14,178779483
2013-11-01 00:00:00,178.97,186.64,175.65,176.55,96788781
2013-12-01 00:00:00,177.75,210.56,174.99,209.7,93071932
2014-01-01 00:00:00,211.5,220.12,199.35,215.64,107368558
2014-02-01 00:00:00,211.2,229.12,204.0,223.97,72571528
2014-03-01 00:00:00,225.0,225.0,198.26,203.7,96776318
2014-04-01 00:00:00,205.12,223.01,193.88,195.88,114909317
2014-05-01 00:00:00,195.88,199.48,178.01,189.82,133370032
2014-06-01 00:00:00,190.01,207.38,181.95,204.9,100984742
2014-07-01 00:00:00,205.46,217.5,198.75,204.15,121788060
2014-08-01 00:00:00,204.0,213.02,200.62,211.97,76968330
2014-09-01 00:00:00,212.25,224.62,208.5,223.8,85692150
2014-10-01 00:00:00,224.29,233.21,205.18,211.39,112191740
2014-11-01 00:00:00,213.75,221.25,205.65,219.68,101986134
2014-12-01 00:00:00,220.5,225.34,196.82,208.2,79716366
2015-01-01 00:00:00,207.21,230.44,201.88,227.46,122268381
2015-02-01 00:00:00,229.5,251.62,228.38,245.36,88873177
2015-03-01 00:00:00,247.54,254.1,228.21,235.82,93498380
2015-04-01 00:00:00,233.77,238.67,192.19,201.98,117818330
2015-05-01 00:00:00,201.98,212.29,196.91,210.64,92397802
2015-06-01 00:00:00,210.0,216.66,198.38,205.01,95865318
2015-07-01 00:00:00,204.02,222.68,202.97,213.69,69812306
2015-08-01 00:00:00,214.12,220.31,198.11,214.43,74590889
