,Open,High,Low,Close,Volume
1996-01-01 00:00:00,1.12,1.12,1.0,1.04,1880000
1996-02-01 00:00:00,1.06,1.12,1.05,1.12,360000
1996-03-01 00:00:00,1.12,1.12,1.05,1.1,780000
1996-04-01 00:00:00,1.1,1.42,1.09,1.33,1680000
1996-05-01 00:00:00,1.35,1.35,1.13,1.17,1160000
1996-06-01 00:00:00,1.17,1.55,1.15,1.32,1420000
1996-07-01 00:00:00,1.27,1.43,1.16,1.3,3800000
1996-08-01 00:00:00,1.31,1.31,1.22,1.22,1640000
1996-09-01 00:00:00,1.2,1.26,1.15,1.15,700000
1996-10-01 00:00:00,1.1,1.16,1.0,1.09,980000
1996-11-01 00:00:00,1.09,1.1,0.96,0.96,460000
1996-12-01 00:00:00,0.9,0.9,0.74,0.77,700000
1997-01-01 00:00:00,0.81,0.91,0.8,0.88,740000
1997-02-01 00:00:00,0.86,0.93,0.86,0.9,440000
1997-03-01 00:00:00,0.99,1.01,0.95,0.95,400000
1997-04-01 00:00:00,0.94,1.04,0.91,1.04,620000
1997-05-01 00:00:00,1.06,1.27,1.06,1.1,1200000
1997-06-01 00:00:00,1.11,1.35,1.11,1.34,35740000
1997-07-01 00:00:00,1.37,2.55,1.37,2.43,23880000
1997-08-01 00:00:00,2.44,3.44,2.37,2.76,33600000
1997-09-01 00:00:00,2.74,3.97,2.74,3.91,34720000
1997-10-01 00:00:00,3.83,12.15,3.49,4.34,27473333
1997-11-01 00:00:00,4.35,4.38,3.02,3.71,18013332
1997-12-01 00:00:00,3.71,4.09,3.46,3.6,8653334
1998-01-01 00:00:00,3.58,3.83,3.42,3.74,16453332
1998-02-01 00:00:00,3.71,4.57,3.68,4.5,6786666
1998-03-01 00:00:00,4.54,5.94,4.43,5.55,11326664
1998-04-01 00:00:00,5.64,11.9,5.64,10.35,31113332
1998-05-01 00:00:00,10.69,15.37,10.05,13.89,25720001
1998-06-01 00:00:00,14.25,14.91,11.89,14.2,160453335
1998-07-01 00:00:00,13.88,15.82,12.82,14.91,81999998
1998-08-01 00:00:00,15.38,15.38,12.64,13.82,14406666
1998-09-01 00:00:00,13.57,13.83,12.53,13.53,12233332
1998-10-01 00:00:00,13.43,15.34,11.49,14.62,26753334
1998-11-01 00:00:00,14.27,15.0,12.44,12.63,3460001
1998-12-01 00:00:00,12.52,14.2,12.3,13.88,16847867
1999-01-01 00:00:00,13.69,32.17,13.69,27.85,12000933
1999-02-01 00:00:00,27.41,27.86,22.35,25.54,11832130
1999-03-01 00:00:00,28.42,33.0,26.81,30.04,15166532
1999-04-01 00:00:00,30.56,30.56,22.66,27.73,8018800
1999-05-01 00:00:00,29.84,37.5,28.88,30.74,17154533
1999-06-01 00:00:00,30.67,32.95,29.25,31.17,8735199
1999-07-01 00:00:00,31.09,40.12,30.38,38.44,18751467
1999-08-01 00:00:00,38.25,41.25,35.7,40.27,17234800
1999-09-01 00:00:00,40.88,58.46,9.29,50.42,51064826
1999-10-01 00:00:00,49.54,56.25,40.91,41.52,24007281
1999-11-01 00:00:00,42.38,50.17,35.15,46.63,17601413
1999-12-01 00:00:00,48.7,97.5,47.44,94.59,36450374
2000-01-01 00:00:00,102.15,159.0,90.19,142.69,20307015
2000-02-01 00:00:00,149.81,388.12,148.5,248.13,31166372
2000-03-01 00:00:00,267.3,288.75,158.57,209.71,48420988
2000-04-01 00:00:00,210.0,222.15,126.81,126.81,33691653
2000-05-01 00:00:00,121.84,132.34,55.57,70.04,145591495
2000-06-01 00:00:00,68.81,116.18,65.25,109.91,228143763
2000-07-01 00:00:00,111.38,124.65,79.95,90.42,208337440
2000-08-01 00:00:00,91.12,126.26,79.12,122.3,298084345
2000-09-01 00:00:00,123.71,130.12,90.94,99.62,288678136
2000-10-01 00:00:00,98.47,103.12,69.6,88.07,245867173
2000-11-01 00:00:00,90.94,98.81,81.06,96.66,301483761
2000-12-01 00:00:00,96.04,116.24,79.91,89.97,395504240
2001-01-01 00:00:00,89.33,112.16,87.38,104.64,476207413
2001-02-01 00:00:00,103.91,115.19,83.4,95.34,436341173
2001-03-01 00:00:00,95.62,99.0,49.77,50.19,325673362
2001-04-01 00:00:00,49.17,59.55,28.47,53.14,361014827
2001-05-01 00:00:00,57.13,70.05,54.41,62.76,503205546
2001-06-01 00:00:00,63.34,66.53,45.79,52.72,637441520
