,Open,High,Low,Close,Volume
2002-07-01 00:00:00,10.8,12.38,7.76,8.07,19385710
2002-08-01 00:00:00,8.2,10.35,7.64,9.73,40232440
2002-09-01 00:00:00,9.82,49.42,8.44,43.95,28405640
2002-10-01 00:00:00,8.6,47.2,7.51,41.62,14576722
2002-11-01 00:00:00,7.7,46.45,7.45,46.12,13202920
2002-12-01 00:00:00,9.49,53.25,9.23,50.38,38558880
2003-01-01 00:00:00,10.17,11.43,8.1,9.1,32074410
2003-02-01 00:00:00,9.06,10.13,8.15,8.58,16298910
2003-03-01 00:00:00,8.8,8.8,6.57,6.62,9319820
2003-04-01 00:00:00,6.7,39.67,6.5,34.08,8149324
2003-05-01 00:00:00,7.0,39.8,6.86,34.75,10447608
2003-06-01 00:00:00,7.0,43.75,6.6,40.95,24257542
2003-07-01 00:00:00,8.15,8.73,7.53,8.07,21329300
2003-08-01 00:00:00,8.17,43.5,7.7,42.17,26899896
2003-09-01 00:00:00,9.17,54.3,8.65,46.3,41366320
2003-10-01 00:00:00,9.3,10.0,8.07,8.33,14657330
2003-11-01 00:00:00,8.4,59.92,7.72,58.22,53779632
2003-12-01 00:00:00,11.6,14.4,10.69,13.61,55291590
2004-01-01 00:00:00,13.84,16.97,9.66,10.65,43474300
2004-02-01 00:00:00,10.7,60.28,9.57,49.95,17557896
2004-03-01 00:00:00,10.15,55.0,6.2,39.62,5707814
2004-04-01 00:00:00,7.56,9.39,7.56,8.43,6802940
2004-05-01 00:00:00,8.67,46.0,6.53,40.05,9239358
2004-06-01 00:00:00,8.3,44.22,7.2,43.08,6087238
2004-07-01 00:00:00,8.4,11.65,7.45,11.46,20283640
2004-08-01 00:00:00,11.61,68.15,11.16,61.67,31059608
2004-09-01 00:00:00,12.4,68.43,11.0,62.62,13280524
2004-10-01 00:00:00,12.6,14.35,12.56,13.05,23772390
2004-11-01 00:00:00,13.12,17.39,12.6,16.75,25322080
2004-12-01 00:00:00,16.93,84.82,14.52,82.03,11086080
2005-01-01 00:00:00,17.89,96.0,14.0,91.95,10481388
2005-02-01 00:00:00,19.4,20.29,17.5,18.07,11295230
