,Open,High,Low,Close,Volume
2020-04-21 09:15:00,123.9,123.9,101.6,115.15,4877
2020-04-22 09:15:00,104.0,117.9,104.0,113.8,3341
2020-04-23 09:15:00,121.5,121.5,106.7,112.1,3879
2020-04-24 09:15:00,111.0,119.7,106.6,110.05,5271
2020-04-27 09:15:00,119.85,120.0,108.55,113.0,1304
2020-04-28 09:15:00,113.05,118.8,111.35,115.4,616
2020-04-29 09:15:00,115.4,120.0,113.9,115.65,2321
2020-04-30 09:15:00,124.85,124.85,117.4,120.4,6400
2020-05-04 09:15:00,120.4,120.95,113.0,119.85,2855
2020-05-05 09:15:00,124.0,124.0,112.35,116.55,721
2020-05-06 09:15:00,112.45,119.9,112.45,114.5,2473
2020-05-07 09:15:00,117.5,117.5,113.9,115.6,794
2020-05-08 09:15:00,119.7,119.75,113.2,114.15,310
2020-05-11 09:15:00,115.0,120.0,111.05,115.55,1755
2020-05-12 09:15:00,110.4,114.95,105.5,107.5,3669
2020-05-13 09:15:00,112.95,113.75,107.6,110.55,2265
2020-05-14 09:15:00,111.65,113.9,106.65,112.15,1256
2020-05-15 09:15:00,112.1,112.15,108.1,109.85,39
2020-05-18 09:15:00,104.25,115.0,104.2,106.3,1090
2020-05-19 09:15:00,110.95,111.0,106.0,106.15,808
2020-05-20 09:15:00,105.85,110.45,102.5,104.95,2303
2020-05-21 09:15:00,109.45,109.45,92.4,100.2,3498
2020-05-22 09:15:00,98.05,103.45,90.7,95.6,12200
2020-05-26 09:15:00,94.0,101.85,92.0,95.95,3855
2020-05-27 09:15:00,99.45,99.5,94.0,99.4,2698
2020-05-28 09:15:00,97.0,104.0,95.8,102.85,3835
2020-05-29 09:15:00,96.4,115.0,96.35,104.8,9328
2020-06-01 09:15:00,110.0,114.0,105.6,111.8,4435
2020-06-02 09:15:00,119.0,119.95,115.0,115.3,7723
2020-06-03 09:15:00,115.0,124.9,112.3,119.35,14632
2020-06-04 09:15:00,117.7,122.45,110.0,113.05,11543
2020-06-05 09:15:00,117.6,124.9,106.0,119.45,10656
2020-06-08 09:15:00,122.95,122.95,114.4,117.75,6832
2020-06-09 09:15:00,123.8,123.8,112.15,113.3,2271
2020-06-10 09:15:00,120.9,120.9,112.95,117.3,3252
2020-06-11 09:15:00,112.15,120.65,112.15,115.25,2032
2020-06-12 09:15:00,114.9,115.0,107.1,111.85,2271
2020-06-15 09:15:00,107.3,122.0,107.3,120.25,7893
2020-06-16 09:15:00,118.05,122.9,110.15,112.65,8586
2020-06-17 09:15:00,114.0,120.0,110.25,113.1,2843
2020-06-18 09:15:00,116.65,117.95,113.4,114.25,2572
2020-06-19 09:15:00,115.05,122.0,114.25,117.2,4225
2020-06-22 09:15:00,123.0,139.9,111.1,135.25,32356
2020-06-23 09:15:00,135.25,161.85,130.0,148.05,316014
2020-06-24 09:15:00,145.65,145.65,128.8,137.4,43171
2020-06-25 09:15:00,137.0,137.0,131.35,133.6,9568
2020-06-26 09:15:00,132.85,136.85,127.6,130.9,10017
2020-06-29 09:15:00,131.9,133.0,128.0,128.9,6288
2020-06-30 09:15:00,130.15,133.0,127.0,129.6,8127
2020-07-01 09:15:00,129.1,130.0,125.0,125.7,6035
2020-07-02 09:15:00,127.95,130.0,125.25,129.25,14098
2020-07-03 09:15:00,130.9,130.9,125.35,126.05,5330
2020-07-06 09:15:00,126.55,128.85,126.25,127.05,5853
2020-07-07 09:15:00,127.05,130.0,126.2,128.5,7963
2020-07-08 09:15:00,128.0,129.5,127.05,128.4,2269
2020-07-09 09:15:00,127.3,128.1,125.3,126.1,2721
2020-07-10 09:15:00,126.0,126.15,123.2,123.55,3707
2020-07-13 09:15:00,123.55,130.0,120.35,127.75,14563
2020-07-14 09:15:00,128.55,128.55,120.0,120.45,7277
2020-07-15 12:54:39,120.5,124.95,120.5,121.8,688
