,Open,High,Low,Close,Volume
2020-05-08 09:15:00,468.0,475.0,440.65,442.95,41093
2020-05-11 09:15:00,445.0,447.35,430.2,431.5,21791
2020-05-12 09:15:00,431.0,435.6,426.0,432.45,22385
2020-05-13 09:15:00,438.0,455.05,436.0,442.6,27310
2020-05-14 09:15:00,438.6,441.0,430.15,432.35,10607
2020-05-15 09:15:00,434.0,440.55,420.0,426.35,43279
2020-05-18 09:15:00,422.1,425.0,383.55,385.4,49502
2020-05-19 09:15:00,386.4,403.0,385.0,390.5,31334
2020-05-20 09:15:00,390.0,396.95,389.05,392.7,18697
2020-05-21 09:15:00,394.0,394.95,385.15,386.25,41839
2020-05-22 09:15:00,388.95,405.0,384.1,392.2,24835
2020-05-26 09:15:00,389.0,414.95,389.0,404.5,48540
2020-05-27 09:15:00,404.5,412.45,398.0,406.0,113264
2020-05-28 09:15:00,411.25,419.7,407.0,416.8,28689
2020-05-29 09:15:00,416.8,419.8,392.1,396.5,152347
2020-06-01 09:15:00,398.0,410.85,397.65,406.35,42222
2020-06-02 09:15:00,408.0,418.85,402.8,410.55,65689
2020-06-03 09:15:00,414.8,430.3,411.0,419.95,219622
2020-06-04 09:15:00,423.8,430.0,413.0,414.9,78684
2020-06-05 09:15:00,416.15,425.0,411.5,416.6,87832
2020-06-08 09:15:00,426.9,436.0,423.5,431.15,168335
2020-06-09 09:15:00,436.7,444.45,427.0,429.0,180384
2020-06-10 09:15:00,425.0,425.0,404.0,408.0,156683
2020-06-11 09:15:00,410.0,418.05,398.55,400.8,71419
2020-06-12 09:15:00,393.85,404.8,390.0,399.85,54400
2020-06-15 09:15:00,403.8,408.45,400.1,405.05,30119
2020-06-16 09:15:00,406.2,429.6,405.0,425.4,149975
2020-06-17 09:15:00,426.8,435.0,420.0,426.0,1763038
2020-06-18 09:15:00,445.55,488.0,445.0,461.05,619640
2020-06-19 09:15:00,460.1,473.8,445.25,448.05,93769
2020-06-22 09:15:00,454.0,461.8,436.0,452.65,109204
2020-06-23 09:15:00,452.65,459.85,446.0,454.4,46943
2020-06-24 09:15:00,459.95,459.95,444.1,451.2,72369
2020-06-25 09:15:00,437.0,449.0,437.0,439.75,33184
2020-06-26 09:15:00,445.0,455.95,441.5,445.05,79209
2020-06-29 09:15:00,450.0,450.95,436.6,445.35,31729
2020-06-30 09:15:00,445.0,457.0,440.55,446.25,38667
2020-07-01 09:15:00,446.35,455.4,440.15,452.0,37827
2020-07-02 09:15:00,455.0,494.95,453.95,471.75,601494
2020-07-03 09:15:00,471.7,483.6,463.0,476.65,144255
2020-07-06 09:15:00,507.0,527.9,463.1,479.6,1566366
2020-07-07 09:15:00,469.75,480.1,468.0,474.9,230434
2020-07-08 09:15:00,478.75,478.75,460.0,463.5,174144
2020-07-09 09:15:00,464.9,484.0,460.0,479.5,351981
2020-07-10 09:15:00,476.0,483.0,468.0,475.25,222582
2020-07-13 09:15:00,482.75,489.0,479.15,480.15,164073
2020-07-14 09:15:00,480.15,489.0,475.55,484.95,132733
2020-07-15 09:15:00,485.95,512.0,484.0,500.3,371658
2020-07-16 09:15:00,503.0,528.7,502.05,524.1,1959456
2020-07-17 09:15:00,524.1,524.1,510.15,514.0,265616
2020-07-20 09:15:00,520.9,522.0,510.0,514.7,156895
2020-07-21 09:15:00,515.4,528.0,511.1,523.45,369070
2020-07-22 09:15:00,523.0,534.9,493.0,497.0,333903
2020-07-23 09:15:00,496.0,504.8,480.0,482.8,222753
2020-07-24 09:15:00,478.05,489.9,472.0,476.6,117446
2020-07-27 09:15:00,476.6,488.9,476.6,481.25,104735
2020-07-28 09:15:00,489.0,489.0,476.5,478.35,67876
2020-07-29 09:15:00,480.0,484.3,475.15,477.75,46495
2020-07-30 09:15:00,478.1,483.0,464.0,466.4,37582
2020-07-31 11:55:26,465.0,482.0,465.0,475.1,44390
